model,N,wins,losses,win_pct,avg_R,total_R,profit_factor,max_drawdown_R,largest_win_R,largest_loss_R,max_consecutive_wins,max_consecutive_losses
Control,133,54,79,40.6015037593985,0.018667306369129652,2.4827517470942437,1.0358926498552308,9.0,2.0,-1.0,5,9
BOS,97,38,59,39.175257731958766,-0.020607312787504863,-1.9989093403879716,0.9614790420736659,11.91678688290079,2.0,-1.0,3,9
Retest,59,27,32,45.76271186440678,0.0961916263964898,5.675305957392898,1.2006528961642262,7.163577908689657,2.0,-1.0,6,6
Confirm,42,17,25,40.476190476190474,0.01088303879835464,0.4570876295308949,1.0215195659953697,8.035309332921912,2.0,-1.0,5,5
