model,direction,setup_timestamp,bos_timestamp,retest_timestamp,confirm_timestamp,entry_timestamp,exit_timestamp,entry_price,stop_price,target_price,exit_price,result_R,score,htf_regime,session_bucket,exit_reason
Control,Long,2021-01-04 06:00:00-06:00,,,,2021-01-04 06:00:00-06:00,2021-01-04 07:00:00-06:00,12934.0,12926.235323740922,12949.529352518153,12949.529352518153,2.0,75.0,1,1,TARGET
BOS,Long,2021-01-04 06:55:00-06:00,2021-01-04 06:55:00-06:00,,,2021-01-04 06:55:00-06:00,2021-01-04 07:05:00-06:00,12948.75,12941.665297769232,12962.919404461534,12941.665297769232,-1.0,90.0,1,1,STOP
Control,Long,2021-01-04 08:05:00-06:00,,,,2021-01-04 08:05:00-06:00,2021-01-04 08:25:00-06:00,12934.5,12926.06075859294,12951.37848281412,12926.06075859294,-1.0,75.0,1,1,STOP
BOS,Short,2021-01-04 13:45:00-06:00,2021-01-04 13:45:00-06:00,,,2021-01-04 13:45:00-06:00,2021-01-04 13:55:00-06:00,12613.75,12646.697122726982,12547.855754546035,12646.697122726982,-1.0,75.0,-1,4,STOP
Control,Short,2021-01-04 13:45:00-06:00,,,,2021-01-04 13:45:00-06:00,2021-01-04 13:55:00-06:00,12613.75,12646.697122726982,12547.855754546035,12646.697122726982,-1.0,75.0,-1,4,STOP
Control,Short,2021-01-04 18:05:00-06:00,,,,2021-01-04 18:05:00-06:00,2021-01-04 19:05:00-06:00,12686.75,12706.618341249738,12647.013317500527,12700.25,-0.6794729278257637,75.0,-1,0,TIME
BOS,Short,2021-01-04 21:40:00-06:00,2021-01-04 21:40:00-06:00,,,2021-01-04 21:40:00-06:00,2021-01-04 21:45:00-06:00,12702.25,12712.233441785591,12682.283116428818,12682.283116428818,2.0,90.0,-1,0,TARGET
Control,Short,2021-01-04 21:40:00-06:00,,,,2021-01-04 21:40:00-06:00,2021-01-04 21:45:00-06:00,12702.25,12712.233441785591,12682.283116428818,12682.283116428818,2.0,90.0,-1,0,TARGET
Control,Long,2021-01-05 05:45:00-06:00,,,,2021-01-05 05:45:00-06:00,2021-01-05 05:55:00-06:00,12695.75,12683.614081750775,12720.021836498448,12683.614081750775,-1.0,75.0,-1,1,STOP
BOS,Long,2021-01-05 08:30:00-06:00,2021-01-05 08:30:00-06:00,,,2021-01-05 08:30:00-06:00,2021-01-05 08:40:00-06:00,12690.75,12668.558257302144,12735.133485395714,12735.133485395714,2.0,90.0,-1,1,TARGET
Control,Long,2021-01-05 08:30:00-06:00,,,,2021-01-05 08:30:00-06:00,2021-01-05 08:40:00-06:00,12690.75,12668.558257302144,12735.133485395714,12735.133485395714,2.0,90.0,-1,1,TARGET
Control,Long,2021-01-06 01:45:00-06:00,,,,2021-01-06 01:45:00-06:00,2021-01-06 01:50:00-06:00,12613.25,12586.367953820838,12667.014092358326,12586.367953820838,-1.0,75.0,-1,0,STOP
BOS,Long,2021-01-06 06:00:00-06:00,2021-01-06 06:00:00-06:00,,,2021-01-06 06:00:00-06:00,2021-01-06 06:55:00-06:00,12616.25,12583.623544955188,12681.502910089623,12583.623544955188,-1.0,90.0,-1,1,STOP
Control,Long,2021-01-06 06:00:00-06:00,,,,2021-01-06 06:00:00-06:00,2021-01-06 06:55:00-06:00,12616.25,12583.623544955188,12681.502910089623,12583.623544955188,-1.0,90.0,-1,1,STOP
Retest,Long,2021-01-06 06:00:00-06:00,2021-01-06 06:00:00-06:00,2021-01-06 06:35:00-06:00,,2021-01-06 06:35:00-06:00,2021-01-06 07:35:00-06:00,12604.25,12574.402280681428,12663.945438637144,12610.0,0.19264453470058984,90.0,-1,1,TIME
Confirm,Long,2021-01-06 06:00:00-06:00,2021-01-06 06:00:00-06:00,2021-01-06 06:35:00-06:00,2021-01-06 06:40:00-06:00,2021-01-06 06:40:00-06:00,2021-01-06 07:40:00-06:00,12605.0,12576.078903489897,12662.842193020204,12604.5,-0.01728841781034656,90.0,-1,1,TIME
Control,Short,2021-01-07 06:00:00-06:00,,,,2021-01-07 06:00:00-06:00,2021-01-07 07:00:00-06:00,12704.5,12724.462461472218,12664.575077055562,12721.75,-0.8641218931846825,75.0,-1,1,TIME
BOS,Long,2021-01-07 10:35:00-06:00,2021-01-07 10:35:00-06:00,,,2021-01-07 10:35:00-06:00,2021-01-07 10:55:00-06:00,12910.0,12884.601171499518,12960.797657000965,12884.601171499518,-1.0,75.0,1,3,STOP
Control,Long,2021-01-07 10:35:00-06:00,,,,2021-01-07 10:35:00-06:00,2021-01-07 10:55:00-06:00,12910.0,12884.601171499518,12960.797657000965,12884.601171499518,-1.0,75.0,1,3,STOP
