model,N,wins,losses,win_pct,avg_R,total_R,profit_factor,max_drawdown_R,largest_win_R,largest_loss_R,max_consecutive_wins,max_consecutive_losses
Control,2730,1122,1604,41.0989010989011,-0.00947143917435055,-25.857028945977,0.9819525069248175,51.00044708091403,2.0,-1.0,10,21
BOS,1867,779,1087,41.72469201928227,0.003366851758669066,6.2859122334351465,1.0064744130534202,39.72730633611094,2.0,-1.0,9,16
Retest,1061,429,629,40.433553251649386,-0.03000160778502951,-31.83170585991631,0.9419130896856236,39.51823392333088,2.0,-1.0,7,10
Confirm,705,289,415,40.99290780141844,-0.03634126434069508,-25.620591360190033,0.9304045369352899,42.43787130874263,2.0,-1.0,5,10
