model,dimension,bucket,N,wins,losses,win_pct,avg_R,total_R,profit_factor,max_drawdown_R,largest_win_R,largest_loss_R,max_consecutive_wins,max_consecutive_losses
Retest,quarter,2024Q1,111,47,64,42.34234234234234,0.04410572360170275,4.895735319789005,1.0810994776297107,13.99536866105272,2.0,-1.0,4,7
Retest,quarter,2024Q2,112,41,70,36.607142857142854,-0.10802028207599666,-12.098271592511626,0.8031020056713883,15.457131414462348,2.0,-1.0,3,7
Retest,quarter,2024Q3,107,37,70,34.57943925233645,-0.08730741202266999,-9.341893086425689,0.8353575644819556,14.906931181628977,2.0,-1.0,5,10
Retest,quarter,2024Q4,106,43,63,40.56603773584906,-0.0699768668207493,-7.4175478829994255,0.8650068053427217,14.791842831278547,2.0,-1.0,4,8
Retest,quarter,2025Q1,102,41,60,40.19607843137255,0.06819734280307042,6.956128965913183,1.1381759965348275,7.241372934161692,2.0,-1.0,3,7
Retest,quarter,2025Q2,105,50,55,47.61904761904762,0.05392482843761241,5.662106985949303,1.1192739666177343,10.212281181200346,2.0,-1.0,4,5
Retest,quarter,2025Q3,100,39,61,39.0,-0.07272976740331977,-7.272976740331977,0.8548699328891265,20.343339791037884,2.0,-1.0,5,9
Retest,quarter,2025Q4,105,42,63,40.0,-0.11434076736118712,-12.005780572924648,0.7920450124820212,20.082718304780542,2.0,-1.0,7,8
Retest,quarter,2026Q1,98,45,52,45.91836734693877,0.07280328521967584,7.134721951528233,1.1596718903293524,11.315473613438346,2.0,-1.0,5,6
Retest,quarter,2026Q2,115,44,71,38.26086956521739,-0.07255590615567538,-8.343929207902669,0.8699475467141337,19.57492442284849,2.0,-1.0,5,9
