year,N,AvgR,PF,TotalR,MaxDD,WinRate,LongAvgR,ShortAvgR
2017,2224,0.21016179349279646,1.2866352778333607,467.3998287279793,271.0505333901152,0.6767086330935251,0.1677161836699574,0.2617391281380788
2018,9003,1.2926707347838833,5.526298283061582,11637.914625259302,44.92970156053881,0.8293902032655781,1.26579992675094,1.3225481990288166
2019,9053,1.2553177032603327,5.210618813887903,11364.391167615791,30.36957195796822,0.8213851761846902,1.2582902222449064,1.2518554507558233
2020,8946,1.715843977825375,10.138163833288374,15349.940225625804,10.70132774735066,0.8534540576794097,1.6986500980023855,1.736433553884592
2021,8904,1.6177273001010721,8.380722837201942,14404.243880099946,10.038167958170561,0.8350179694519317,1.5978004487520938,1.6404823550333794
2022,8583,1.756635065968655,10.278343988202495,15077.198771208965,7.5549439932037785,0.8423628102062216,1.7395954995443337,1.7743343590740128
2023,8616,1.6199399487214219,8.61482599372968,13957.402598183771,9.515487468049287,0.8383240482822656,1.6205095290644083,1.6192957016503176
2024,8770,1.6850443482963724,9.379967169401734,14777.838934559186,7.966382776352475,0.8411630558722919,1.6612315665170538,1.7114330319508575
2025,8386,1.7215366373321799,9.560342560505276,14436.80624066766,6.005831988601585,0.8295969472931075,1.717310122598664,1.7261643700518903
2026,4137,1.8339296812574648,11.567127328165254,7586.967091362132,5.198147275275005,0.8450568044476674,1.811961817291193,1.8590504459069788
