scenario,N,win_rate,AvgR,TotalR,PF,MaxDD,mean_mfe_r,mean_mae_r
top_half,4484,0.41971454058876,0.004011004309476484,17.985343323692554,1.0077955231431504,95.39643602046333,,
exclude_best_trade,4483,0.41958509926388576,0.0035657692000207646,15.985343323693087,1.0069286480434816,2307.137442019692,,
exclude_top3,4481,0.4193260432939076,0.0026747028171598053,11.985343323693087,1.0051948978441443,2307.137442019692,,
exclude_top1pct,4440,0.42252252252252254,0.0101454237730659,45.045681552412596,1.0198297059311143,95.39643602046334,,
year_2023,1256,0.4307324840764331,0.034733376691589914,43.625121124636934,1.068191038542395,52.53480801492325,,
year_2024,1299,0.4210931485758276,-0.00991804945898036,-12.883546247215488,0.9809283668694359,73.89282078810402,,
year_2025,1286,0.4237947122861586,0.014303944084398983,18.394872092537092,1.0285217881005648,48.65270966374061,,
year_2026,643,0.38724727838258166,-0.048446506448314136,-31.15110364626599,0.9102049278582196,63.47689412534114,,
