feature,winner_mean,loser_mean,winner_median,loser_median,cohens_d,auc_win,big_winner_mean,big_loser_mean
minutes_from_rth_open,95.47277441659465,63.66001209921355,95.0,50.0,0.08454597354115576,0.5242030716876483,33.03286101899307,37.397230636088274
momentum_3_atr,0.03930976636093971,-0.06963177255997083,0.27577410032617977,-0.022503445364746275,0.06206646649875867,0.5182903407801331,-0.08891085691942793,-0.08957002047524572
direction_code,0.5381158167675022,0.5015124016938899,1.0,1.0,0.0733082033730421,0.5179727866089742,0.5046728971962616,0.49747584018462426
distance_from_crt_atr,4.927611296899314,4.62631393422323,1.4358633686836821,1.3487600863574338,0.013472064430166214,0.5148183679343337,5.11202123345756,4.797180156319837
atr_ratio_6_72,1.0645519698205685,1.0449563721179367,1.0197562819663173,1.0074529905508163,0.050118148723642834,0.5141528515891464,1.0418936523566176,1.0404333234602288
dist_onl_atr,5.310580512227907,4.933013609253301,3.9727681762698692,3.701335948447811,0.057807648663288476,0.5138759907871464,4.525829293345462,4.774702027260103
body_range_ratio,0.5811223514675746,0.56822425544327,0.625,0.616822429906542,0.05066179797426989,0.5134071885852651,0.5842950717399076,0.5678037360107294
session_bucket,1.7853068280034572,1.7196612220205687,1.0,1.0,0.03606794286834795,0.5091915535363215,1.5586373228821224,1.6349343718448002
trend_aligned,0.5215211754537598,0.5033272837265578,1.0,1.0,0.03640237786721891,0.508952051435585,0.5007536930961712,0.49920669262945333
close_location,0.7213463840813334,0.7158746165779929,0.7945205479452054,0.7868852459016393,0.0229336221149632,0.5087320675628726,0.7170156332313703,0.7170668244964269
normalized_atr,0.0010630792924565407,0.0010162739932421427,0.0008566678072336203,0.0008315742875169466,0.06228030601704413,0.507305298641394,0.0009780974058111382,0.0010009709352368954
volatility_regime_code,1.0741573033707865,1.0569872958257713,1.0,1.0,0.029892303658684744,0.5071712033086575,1.04009647271631,1.0512043848261936
body_to_atr,0.8954447951608446,0.8754774606753919,0.7793820196288256,0.7517121077935287,0.02912825014084292,0.5070603151803045,0.9717874965934378,0.9086914761701902
body_atr_pct,0.5027903478107822,0.49840205560301487,0.5039775552240926,0.4975495418708715,0.015220382515351271,0.5046763089978301,0.5304743081285813,0.5081849390245583
stop_distance_atr,1.500000860299818,1.500116332447954,1.5000000000000018,1.5000000000000007,-0.036975782527536416,0.5046316244480342,1.5000015182457562,1.5001377894011603
htf_regime,0.16646499567847883,0.1628554143980641,1.0,1.0,0.0036749245205510354,0.5008657214689463,0.1799819113656919,0.1678926871484206
bos_present,0.5699222126188418,0.569751966122202,1.0,1.0,0.00034383845417950787,0.49999607134438595,0.5646668676514923,0.5661329871628443
time_since_retest_bars,0.9489795918367347,0.5503706934147405,0.0,0.0,0.03492032674727346,0.49828903400715163,1.2569124423963134,0.553146483342147
confirmation_present,0.10751944684528954,0.11082879612825167,0.0,0.0,-0.010611105256813476,0.4981773747368478,0.10250226107928852,0.10976489254291072
model_code,0.9484874675885911,0.9580157289776164,1.0,1.0,-0.009389073635861332,0.4978878317760087,0.9288513717214351,0.9486513774700707
dist_pdl_atr,15.128717916968117,15.556543593032504,10.943053559893718,11.19622080121578,-0.02922422177890859,0.4972778376512767,15.950908995697127,15.547956720385212
dist_pdh_atr,12.637780578047765,12.14154052577873,6.410221697456171,6.774335280310143,0.021294362142946,0.49693300172839994,12.852049380555366,12.280747615645563
retest_present,0.27104580812445983,0.2774349667271627,0.0,0.0,-0.014320587391762887,0.4965067478046943,0.2616822429906542,0.27275349776431557
accel_3,5.954454101714238,4.875096456360395,0.40643078512396696,0.4309094696330976,0.013022404039270996,0.4963985378314947,6.902715206381563,4.771709240915929
time_since_bos_bars,1.6093418259023355,1.1756211509874708,0.0,0.0,0.03365774327865643,0.49523281088118803,1.9620928990923652,1.1582165605095542
dist_onh_atr,5.992179918198586,6.49831616764705,3.1079003257576767,3.2328189419573357,-0.0278931283753238,0.4942877034746614,6.052822758547247,6.420072626780984
time_since_setup_bars,1.102333621434745,0.9549909255898367,0.0,0.0,0.012319705467694985,0.49336580327251806,1.3240880313536327,0.8398961488533102
range_atr,1.4413030427205902,1.4707486752448833,1.2767431399051699,1.2816329609321493,-0.03548120796950943,0.49310603264348085,1.559034284211916,1.5185002049854661
lower_wick_ratio,0.21546180845763363,0.22064736672080326,0.16593886462882096,0.1694915254237288,-0.026863463223114625,0.49304706112592145,0.21590847580529474,0.22195650520774493
day_of_week,2.0687986171132238,2.1090139140955837,2.0,2.0,-0.026492131043679867,0.4911993737493693,2.078987036478746,2.1140920236549836
score,82.93258426966293,83.20689655172414,85.0,85.0,-0.03186832767270349,0.4910345265261368,83.10220078384081,83.30953411221694
upper_wick_ratio,0.20341584007479163,0.2111283778359266,0.15121951219512195,0.15714285714285714,-0.04162155230225102,0.48910835982483825,0.1997964524547978,0.21023975878152573
