N,win_rate,AvgR,TotalR,PF,MaxDD,mean_mfe_r,mean_mae_r,retention_pct,signals_rejected_pct,trades_per_month
8969,0.4143159772549894,-0.0018542342043844841,-16.63062657912444,0.9964196024320909,143.11512363635472,,,100.0,0.0,
8072,0.41501486620416256,0.0010950204523179617,8.839005091110586,1.0021137190025067,143.11512363635472,,,90.0,10.0,193.62622537431048
7175,0.41533101045296167,0.001574608016565188,11.297812518855224,1.0030419654862277,143.11512363635472,,,80.0,20.0,172.10953506698186
6278,0.41334820006371453,-0.006395585409405571,-40.151485200248175,0.9877157569244613,143.11512363635472,,,70.0,30.0,150.59284475965327
5381,0.41349191600074336,-0.008047344837910773,-43.302762572797874,0.9845168633650873,124.54869513565971,,,60.0,40.0,129.07615445232466
4484,0.41971454058876,0.004011004309476484,17.985343323692554,1.0077955231431504,95.39643602046333,,,50.0,50.0,107.55946414499606
3588,0.4197324414715719,0.0027497441527285643,9.866082019990088,1.0053677750932943,95.39643602046333,,,40.0,60.0,86.06676122931442
2691,0.4288368636194723,0.016632584007255608,44.75828356352484,1.0332056288272229,95.39643602046333,,,30.0,70.0,64.55007092198582
1794,0.4175027870680045,-0.009236579687412124,-16.57042395921735,0.9818955842355757,95.39643602046333,,,20.0,80.0,43.03338061465721
897,0.43924191750278707,0.04106416918784577,36.83455976149766,1.0843836365986703,34.060338228720056,,,10.0,90.0,21.516690307328606
