model,direction,setup_timestamp,bos_timestamp,retest_timestamp,confirm_timestamp,entry_timestamp,exit_timestamp,entry_price,stop_price,target_price,exit_price,result_R,score,htf_regime,session_bucket,exit_reason,source_window,atr,body,body_sma,normalized_atr,volatility_q33,volatility_q67,volatility_regime,trend_regime,crt_high,crt_low,sweep_above,sweep_below,volume,volume_zscore,direction_name,htf_regime_name,session_name,score_band,date_third,bos_present,retest_present,confirmation_present,stop_distance_points,target_distance_points,stop_distance_atr,stop_distance_pct,body_to_atr,time_since_setup_bars,time_since_bos_bars,time_since_retest_bars,relevant_crt_level,distance_from_crt_points,distance_from_crt_atr,outcome,split,range_atr,body_range_ratio,close_location,upper_wick_ratio,lower_wick_ratio,momentum_3_atr,accel_3,atr_ratio_6_72,body_atr_pct,minutes_from_rth_open,day_of_week,volatility_regime_code,trend_aligned,dist_pdh_atr,dist_pdl_atr,dist_onh_atr,dist_onl_atr,model_code,direction_code,win,large_winner,large_loser,mfe_r,mae_r,bars_to_mfe,bars_to_mae,good_entry,strong_entry,bad_entry,very_bad_entry,bars_in_trade
Control,Long,2021-01-04 06:00:00-06:00,,,,2021-01-04 06:00:00-06:00,2021-01-04 07:00:00-06:00,12934.0,12926.235323740922,12949.529352518151,12949.529352518151,2.0,75.0,1,1,TARGET,2018-2023,,,,,,,,,,,,,,,Long,Bull,Premarket,75-79,Early third,False,False,False,7.7646762590775324,15.529352518151427,,0.06003306215461213,,0.0,,,,,,Win,Research,1.0625040535792603,0.45454545454545453,0.2727272727272727,0.2727272727272727,0.2727272727272727,-1.7386429967660622,,0.8046055866249179,0.3078343632360253,-210,0,1.0,1,,,,,0,1,1,1,0,2.0606139220929798,0.4507592954578393,12.0,1.0,True,False,False,False,12
BOS,Long,2021-01-04 06:55:00-06:00,2021-01-04 06:55:00-06:00,,,2021-01-04 06:55:00-06:00,2021-01-04 07:05:00-06:00,12948.75,12941.665297769232,12962.919404461534,12941.665297769232,-1.0,90.0,1,1,STOP,2018-2023,,,,,,,,,,,,,,,Long,Bull,Premarket,90-94,Early third,True,False,False,7.084702230768016,14.169404461534214,,0.0547134065509645,,0.0,0.0,,,,,Loss,Research,1.058618944834282,0.9,0.9,0.1,0.0,1.7467212589765655,,0.7219688393791349,0.6234817813765182,-155,0,1.0,1,,,,,1,1,0,0,1,0.1764364908056967,1.1644808393175983,1.0,2.0,False,False,True,False,2
Control,Long,2021-01-04 08:05:00-06:00,,,,2021-01-04 08:05:00-06:00,2021-01-04 08:25:00-06:00,12934.5,12926.06075859294,12951.37848281412,12926.06075859294,-1.0,75.0,1,1,STOP,2018-2023,,,,,,,,,,,,,,,Long,Bull,Premarket,75-79,Early third,False,False,False,8.439241407060763,16.878482814119707,,0.06524598095837306,,0.0,,,,,,Loss,Research,1.333058204803624,0.43333333333333335,0.5,0.06666666666666667,0.5,-1.1108818373363534,,0.846815945944321,0.3685631081752965,-85,0,1.0,1,,,,,0,1,0,0,1,0.0,1.244187657816624,,4.0,False,False,True,False,4
BOS,Short,2021-01-04 13:45:00-06:00,2021-01-04 13:45:00-06:00,,,2021-01-04 13:45:00-06:00,2021-01-04 13:55:00-06:00,12613.75,12646.697122726982,12547.855754546035,12646.697122726982,-1.0,75.0,-1,4,STOP,2018-2023,,,,,,,,,,,,,,,Short,Bear,Midday,75-79,Early third,True,False,False,32.94712272698234,65.89424545396469,,0.2612000612584072,,0.0,0.0,,,,,Loss,Research,0.990223039211899,0.8505747126436781,0.9655172413793104,0.11494252873563218,0.034482758620689655,-0.8877861730865302,,1.3038926927714074,0.5473755238298175,255,0,1.0,1,,,,,1,0,0,0,1,0.3414562204178974,1.5782865299316147,1.0,2.0,False,False,True,True,2
Control,Short,2021-01-04 13:45:00-06:00,,,,2021-01-04 13:45:00-06:00,2021-01-04 13:55:00-06:00,12613.75,12646.697122726982,12547.855754546035,12646.697122726982,-1.0,75.0,-1,4,STOP,2018-2023,,,,,,,,,,,,,,,Short,Bear,Midday,75-79,Early third,False,False,False,32.94712272698234,65.89424545396469,,0.2612000612584072,,0.0,,,,,,Loss,Research,0.990223039211899,0.8505747126436781,0.9655172413793104,0.11494252873563218,0.034482758620689655,-0.8877861730865302,0.0,1.3038926927714074,0.5473755238298175,255,0,1.0,1,,,,,0,0,0,0,1,0.3414562204178974,1.5782865299316147,1.0,2.0,False,False,True,True,2
Control,Short,2021-01-04 18:05:00-06:00,,,,2021-01-04 18:05:00-06:00,2021-01-04 19:05:00-06:00,12686.75,12706.618341249738,12647.013317500529,12700.25,-0.6794729278257637,75.0,-1,0,TIME,2018-2023,,,,,,,,,,,,,,,Short,Bear,Overnight,75-79,Early third,False,False,False,19.86834124973757,39.7366824994715,,0.1566070211026273,,0.0,,,,,,Loss,Research,1.1890776236950866,0.6825396825396826,0.19047619047619047,0.19047619047619047,0.12698412698412698,1.5288140876079683,0.6537313432835821,0.781309136496207,0.5271681227359898,515,0,1.0,1,,,,,0,0,0,0,0,0.553644607858006,0.7675527518031446,2.0,12.0,True,False,False,False,12
BOS,Short,2021-01-04 21:40:00-06:00,2021-01-04 21:40:00-06:00,,,2021-01-04 21:40:00-06:00,2021-01-04 21:45:00-06:00,12702.25,12712.233441785593,12682.283116428818,12682.283116428818,2.0,90.0,-1,0,TARGET,2018-2023,,,,,,,,,,,,,,,Short,Bear,Overnight,90-94,Early third,True,False,False,9.983441785592731,19.966883571181825,,0.07859585337710037,,0.0,0.0,,,,,Win,Research,3.7186574327085253,0.4444444444444444,0.45454545454545453,0.010101010101010102,0.5454545454545454,-2.817164721748883,0.1180952380952381,0.4311789480887506,0.8869593010867249,730,0,1.0,1,,,,,1,0,1,1,0,2.178607384818709,0.050082928386636985,1.0,1.0,True,True,False,False,1
Control,Short,2021-01-04 21:40:00-06:00,,,,2021-01-04 21:40:00-06:00,2021-01-04 21:45:00-06:00,12702.25,12712.233441785593,12682.283116428818,12682.283116428818,2.0,90.0,-1,0,TARGET,2018-2023,,,,,,,,,,,,,,,Short,Bear,Overnight,90-94,Early third,False,False,False,9.983441785592731,19.966883571181825,,0.07859585337710037,,0.0,,,,,,Win,Research,3.7186574327085253,0.4444444444444444,0.45454545454545453,0.010101010101010102,0.5454545454545454,-2.817164721748883,0.0,0.4311789480887506,0.8869593010867249,730,0,1.0,1,,,,,0,0,1,1,0,2.178607384818709,0.050082928386636985,1.0,1.0,True,True,False,False,1
Control,Long,2021-01-05 05:45:00-06:00,,,,2021-01-05 05:45:00-06:00,2021-01-05 05:55:00-06:00,12695.75,12683.614081750777,12720.021836498448,12683.614081750777,-1.0,75.0,-1,1,STOP,2018-2023,,,,,,,,,,,,,,,Long,Bear,Premarket,75-79,Early third,False,False,False,12.135918249223323,24.271836498448465,,0.09559040032470176,,0.0,,,,,,Loss,Research,0.8961003013261706,0.06896551724137931,0.7931034482758621,0.20689655172413793,0.7241379310344828,-1.6995005714806684,0.22033898305084745,0.7613340629665964,0.04829888486398182,-225,1,1.0,0,,,,,0,1,0,0,1,0.5562001870300987,1.8128006095795808,1.0,2.0,True,False,False,False,2
BOS,Long,2021-01-05 08:30:00-06:00,2021-01-05 08:30:00-06:00,,,2021-01-05 08:30:00-06:00,2021-01-05 08:40:00-06:00,12690.75,12668.558257302144,12735.133485395714,12735.133485395714,2.0,90.0,-1,1,TARGET,2018-2023,,,,,,,,,,,,,,,Long,Bear,Premarket,90-94,Early third,True,False,False,22.19174269785617,44.38348539571416,,0.17486549414223881,,0.0,0.0,,,,,Win,Research,3.1937554866677744,0.9206349206349206,0.9365079365079365,0.06349206349206349,0.015873015873015872,3.396533612805411,0.6818181818181819,1.159183506753701,0.9859009872860288,-60,1,1.0,0,,,,,1,1,1,1,0,2.636115639789361,0.14645086887718672,2.0,1.0,True,True,False,False,2
