family,auc_good_entry,validation_n,delta_auc
all,0.5012297263288712,8969,
structure,0.5035279258777114,8969,0.002298199548840252
price_quality,0.5026681918035063,8969,0.0014384654746351089
volatility,0.5028140649204169,8969,0.0015843385915457198
session,0.5005761389868689,8969,-0.0006535873420022709
liquidity,0.5057229024981295,8969,0.004493176169258262
trend,0.4953720183255721,8969,-0.0058577080032991
