decile,N,win_rate,AvgR,TotalR,PF,MaxDD,mean_mfe_r,mean_mae_r
1,897,0.4080267558528428,-0.028394238205390186,-25.469631670234996,0.9450112799039034,89.01679416134843,3.861929250956713,3.4769782377579648
2,897,0.41917502787068006,0.030922783636925025,27.737736922321748,1.0606217033974703,34.65638785603673,2.767316786108753,1.4811356026530051
3,897,0.42251950947603123,0.023693147568603152,21.252753369037027,1.0466436089929096,43.874411720853224,1.5358182737444528,0.89341096842188
4,897,0.4214046822742475,0.027756664659959473,24.897728199983646,1.0532569908260425,53.49396024575639,1.0686480859165812,0.9989105488092095
5,897,0.3734671125975474,-0.09256918252388446,-83.03455672392437,0.8318786331972589,99.4367254602623,1.3822098588743392,0.9341480003884672
6,896,0.41964285714285715,0.009061675562167951,8.119261303702483,1.0173075516118342,77.9464882298696,2.1299099842599927,1.0811975803630827
7,897,0.4057971014492754,-0.0006165887212857072,-0.5530800829932794,0.9988301606016811,54.651180287489815,1.3983193883152365,1.2578474717434704
8,897,0.43812709030100333,0.030088724707024225,26.98958606220073,1.0599811107634352,33.460332271797434,2.1495694644534598,2.889645456415761
9,897,0.4013377926421405,-0.03797856744854153,-34.06677500134175,0.9276356362959037,52.91857700049338,1.152576254253612,1.312240010034823
10,897,0.4336677814938685,0.019505408073717256,17.496351042124378,1.0393616519342401,38.6249773748611,1.1534566410329272,1.4018420202414197
