event_id,direction,opportunity_time,take_time,entry_time,marker_time,causal_known_time,delta_bars,signal_entry_delta,pass_fail
P60-000001,SHORT,122,122,123,123,123,0,1,PASS
P60-000002,SHORT,253,253,254,254,254,0,1,PASS
P60-000003,LONG,313,313,314,314,314,0,1,PASS
P60-000004,LONG,342,342,343,343,343,0,1,PASS
P60-000005,SHORT,361,361,362,362,362,0,1,PASS
P60-000006,LONG,442,442,443,443,443,0,1,PASS
P60-000007,LONG,475,475,476,476,476,0,1,PASS
P60-000008,SHORT,500,500,501,501,501,0,1,PASS
P60-000009,SHORT,552,552,553,553,553,0,1,PASS
P60-000010,SHORT,626,626,627,627,627,0,1,PASS
P60-000011,LONG,799,799,800,800,800,0,1,PASS
P60-000012,LONG,1215,1215,1216,1216,1216,0,1,PASS
P60-000013,SHORT,1260,1260,1261,1261,1261,0,1,PASS
P60-000014,LONG,1274,1274,1275,1275,1275,0,1,PASS
P60-000015,SHORT,1466,1466,1467,1467,1467,0,1,PASS
P60-000016,LONG,1707,1707,1708,1708,1708,0,1,PASS
P60-000017,LONG,1763,1763,1764,1764,1764,0,1,PASS
P60-000018,SHORT,1920,1920,1921,1921,1921,0,1,PASS
P60-000019,SHORT,2010,2010,2011,2011,2011,0,1,PASS
P60-000020,SHORT,2141,2141,2142,2142,2142,0,1,PASS
P60-000021,LONG,2235,2235,2236,2236,2236,0,1,PASS
P60-000022,SHORT,2353,2353,2354,2354,2354,0,1,PASS
P60-000023,LONG,2364,2364,2365,2365,2365,0,1,PASS
P60-000024,LONG,2661,2661,2662,2662,2662,0,1,PASS
P60-000025,SHORT,2697,2697,2698,2698,2698,0,1,PASS
P60-000026,SHORT,2789,2789,2790,2790,2790,0,1,PASS
P60-000027,SHORT,2847,2847,2848,2848,2848,0,1,PASS
P60-000028,LONG,2961,2961,2962,2962,2962,0,1,PASS
P60-000029,LONG,3014,3014,3015,3015,3015,0,1,PASS
P60-000030,LONG,3065,3065,3066,3066,3066,0,1,PASS
P60-000031,SHORT,3098,3098,3099,3099,3099,0,1,PASS
P60-000032,LONG,3182,3182,3183,3183,3183,0,1,PASS
P60-000033,LONG,3240,3240,3241,3241,3241,0,1,PASS
P60-000034,SHORT,3269,3269,3270,3270,3270,0,1,PASS
P60-000035,SHORT,3316,3316,3317,3317,3317,0,1,PASS
P60-000036,SHORT,3455,3455,3456,3456,3456,0,1,PASS
P60-000037,SHORT,3548,3548,3549,3549,3549,0,1,PASS
P60-000038,SHORT,3577,3577,3578,3578,3578,0,1,PASS
P60-000039,LONG,3591,3591,3592,3592,3592,0,1,PASS
P60-000040,SHORT,3600,3600,3601,3601,3601,0,1,PASS
P60-000041,SHORT,3637,3637,3638,3638,3638,0,1,PASS
P60-000042,SHORT,3923,3923,3924,3924,3924,0,1,PASS
P60-000043,LONG,3940,3940,3941,3941,3941,0,1,PASS
P60-000044,LONG,3994,3994,3995,3995,3995,0,1,PASS
P60-000045,LONG,4061,4061,4062,4062,4062,0,1,PASS
P60-000046,LONG,4123,4123,4124,4124,4124,0,1,PASS
P60-000047,SHORT,4164,4164,4165,4165,4165,0,1,PASS
P60-000048,LONG,4237,4237,4238,4238,4238,0,1,PASS
P60-000049,LONG,4268,4268,4269,4269,4269,0,1,PASS
P60-000050,LONG,4369,4369,4370,4370,4370,0,1,PASS
P60-000051,SHORT,4383,4383,4384,4384,4384,0,1,PASS
P60-000052,LONG,4505,4505,4506,4506,4506,0,1,PASS
P60-000053,SHORT,4668,4668,4669,4669,4669,0,1,PASS
P60-000054,LONG,4816,4816,4817,4817,4817,0,1,PASS
P60-000055,SHORT,4955,4955,4956,4956,4956,0,1,PASS
P60-000056,SHORT,4990,4990,4991,4991,4991,0,1,PASS
P60-000057,LONG,5266,5266,5267,5267,5267,0,1,PASS
P60-000058,LONG,5435,5435,5436,5436,5436,0,1,PASS
P60-000059,LONG,5493,5493,5494,5494,5494,0,1,PASS
P60-000060,SHORT,5529,5529,5530,5530,5530,0,1,PASS
P60-000061,LONG,5699,5699,5700,5700,5700,0,1,PASS
P60-000062,SHORT,5720,5720,5721,5721,5721,0,1,PASS
P60-000063,LONG,5730,5730,5731,5731,5731,0,1,PASS
P60-000064,LONG,5793,5793,5794,5794,5794,0,1,PASS
P60-000065,LONG,5864,5864,5865,5865,5865,0,1,PASS
P60-000066,SHORT,5899,5899,5900,5900,5900,0,1,PASS
P60-000067,SHORT,5930,5930,5931,5931,5931,0,1,PASS
P60-000068,SHORT,6285,6285,6286,6286,6286,0,1,PASS
P60-000069,SHORT,6305,6305,6306,6306,6306,0,1,PASS
P60-000070,SHORT,6348,6348,6349,6349,6349,0,1,PASS
P60-000071,LONG,6358,6358,6359,6359,6359,0,1,PASS
P60-000072,LONG,6386,6386,6387,6387,6387,0,1,PASS
P60-000073,LONG,6491,6491,6492,6492,6492,0,1,PASS
P60-000074,SHORT,6569,6569,6570,6570,6570,0,1,PASS
P60-000075,LONG,6642,6642,6643,6643,6643,0,1,PASS
P60-000076,LONG,6727,6727,6728,6728,6728,0,1,PASS
P60-000077,LONG,6757,6757,6758,6758,6758,0,1,PASS
P60-000078,LONG,6829,6829,6830,6830,6830,0,1,PASS
P60-000079,LONG,6886,6886,6887,6887,6887,0,1,PASS
P60-000080,LONG,6966,6966,6967,6967,6967,0,1,PASS
P60-000081,SHORT,6999,6999,7000,7000,7000,0,1,PASS
P60-000082,SHORT,7035,7035,7036,7036,7036,0,1,PASS
P60-000083,SHORT,7132,7132,7133,7133,7133,0,1,PASS
P60-000084,SHORT,7165,7165,7166,7166,7166,0,1,PASS
P60-000085,LONG,7266,7266,7267,7267,7267,0,1,PASS
P60-000086,LONG,7338,7338,7339,7339,7339,0,1,PASS
P60-000087,SHORT,7346,7346,7347,7347,7347,0,1,PASS
P60-000088,LONG,7363,7363,7364,7364,7364,0,1,PASS
