feature,success_mean,fail_mean,delta
bars_since_low,104.70349170005724,105.67587209302326,-0.9723803929660164
bars_since_high,60.00772753291356,60.60287467700258,-0.5951471440890188
breakout_down_atr,-4.513707568452132,-4.762311693283795,0.2486041248316635
range_width_atr,8.233915889847692,8.47855668301513,-0.24464079316743792
dist_swing_high_atr,1.2259941439400601,1.1671974145031707,0.058796729436889406
ret_6_atr,-0.14750613922288375,-0.08935336277954072,-0.05815277644334303
ret_3_atr,-0.061678643189632544,-0.010897599119655191,-0.050781044069977355
dist_swing_low_atr,0.8839218008938637,0.9313751989495399,-0.047453398055676166
atr_percentile,0.28028753196424133,0.24440818896471103,0.0358793429995303
vol_percentile,0.2694332437334931,0.2335818137408139,0.03585142999267918
accel_atr,0.04272829658479647,0.07783417730359833,-0.035105880718801864
ret_1_atr,0.012808366359716978,0.04543153519951355,-0.03262316883979657
range_position,0.5131678675076807,0.5416537477011979,-0.028485880193517166
range_atr,0.7406138911075288,0.7633413884914362,-0.022727497383907336
close_location,0.4667807616221819,0.48471097482459863,-0.017930213202416723
atr_ratio_6_72,0.7104810302122087,0.692910999019507,0.01757003119270162
overlap_ratio,0.672758798393411,0.6879519279802144,-0.015193129586803411
body_range,0.5009495194817938,0.49024828945706866,0.010701230024725117
lower_wick,0.22587345807982753,0.2365658483736655,-0.010692390293837978
consec_dir,1.9020329994107248,1.8955910650046013,0.006441934406123506
expansion,0.16857469948483114,0.17474160206718345,-0.006166902582352307
breakout_up_atr,-3.7202083213955617,-3.7162449897313365,-0.003963331664225134
compression,0.3700629650829994,0.37395025839793283,-0.0038872933149334266
range_percentile,0.2122509947539497,0.20981384522303165,0.002437149530918059
body_atr,0.3988975846724782,0.40108038021083875,-0.002182795538360538
p_short,0.5010418113691013,0.5023315324902333,-0.0012897211211320148
realized_vol,0.001539409763396446,0.0004108189954958284,0.0011285907679006175
p_long,0.5071851337611891,0.5063035347311898,0.0008815990299992915
edge_score,0.5200830657613958,0.5202801909150374,-0.00019712515364156413
upper_wick,0.27317702243837866,0.2731858621692658,-8.83973088716683e-06
