N,target_hit_rate,win_rate,Avg_MFE,Avg_MAE,median_MFE,median_MAE,MFE_MAE,gross_AvgR,net_AvgR,net_TotalR,net_PF,MaxDD,decile,monotonic_hint
38745,0.30969157310620726,0.31098206220157437,0.8646471122285059,0.8543560399093425,0.6716171268081657,0.6861284361790602,6.118855271185479,-0.06815951767055996,-0.1485571977334283,-5755.84862618168,0.800468962913932,5758.799296147961,1,-0.5750486826027952
38744,0.325624612843279,0.3282314680982862,0.742602167351577,0.7124802803041292,0.5649257000299344,0.6223120171574084,6.924083089078795,-0.018078032152713707,-0.09900224502182026,-3835.742981125404,0.8636101312335048,3851.471743460989,2,-0.5750486826027952
38744,0.33225789799710925,0.3341162502581045,0.7344622699594047,0.69669956123468,0.5652134747094948,0.6181227469891988,6.081990581114811,0.0006101496527194545,-0.0903963610054126,-3502.3166107937054,0.8754943571766903,3583.4452608875226,3,-0.5750486826027952
38745,0.33436572460962705,0.3366369854174732,0.7340346474160019,0.6922712659534361,0.5713352786479641,0.6146138801373666,6.043587711961497,0.007947647140578409,-0.09709013029101492,-3761.757098125373,0.8674458949471692,3767.267327885627,4,-0.5750486826027952
38744,0.33094156514557094,0.3323869502374561,0.7267702611175618,0.692370718499037,0.5586296242309938,0.6211090353586628,5.980717928212767,-0.003866093170543378,-0.12414142205418331,-4809.735256067278,0.8339285559960503,4829.076830209558,5,-0.5750486826027952
38744,0.3324901920297336,0.334013008465827,0.7278406234191998,0.6941318946277351,0.5598801642800899,0.6171442337842068,5.401981372032087,0.0008100264879177774,-0.13308874519116135,-5156.390343686356,0.8237323669866177,5166.107043431963,6,-0.5750486826027952
38745,0.3381339527680991,0.3394502516453736,0.7354660547941516,0.6893988466153903,0.5653765264772123,0.6138173582580525,5.667818902821622,0.016940833638145945,-0.12926650728145656,-5008.430824620034,0.8292670129872156,5042.735521047828,7,-0.5750486826027952
38744,0.33592298162296097,0.3373167458187074,0.7327495455556869,0.697343841274861,0.5677928315783536,0.6140794549636454,5.732841020027465,0.010709218588581388,-0.1482569612301765,-5744.067705901959,0.8070290993451228,5774.587169344634,8,-0.5750486826027952
38744,0.34085277720421225,0.3419884369192649,0.7458417662948356,0.6858201463474901,0.5779800899528209,0.6133117926793159,6.174566082428808,0.025122590711590863,-0.15075299086007782,-5840.773877882855,0.8052625115461008,5849.844543643636,9,-0.5750486826027952
38745,0.354084397986837,0.35632984901277587,0.7733626930387217,0.6862074117728654,0.6172650924352509,0.6026568983514585,7.9722019301655935,0.06648800744490004,-0.1456595786933425,-5643.580376473556,0.813653356537859,5703.092451266981,10,-0.5750486826027952
