direction,conditions,N_top,net_AvgR
LONG,dist_swing_high_atr >= 1.7909 AND upper_wick >= 0.4390 AND breakout_down_atr >= -2.8906,11241,-0.10947111600440201
SHORT,ret_1_atr >= 0.4341 AND ret_3_atr >= 0.5376 AND range_position >= 0.7363,8131,-0.18458068997259872
