feature,side,auc,cohens_d,pos_mean,neg_mean
consec_dir,long,0.49830408760495426,-0.005060822156702804,1.8873985485130793,1.893855535911036
consec_dir,short,0.4982857925547548,-0.006020531487882349,1.8865142680988802,1.8941918157403614
dist_pdh_atr,short,0.49817200064427625,0.00440712602421735,10.184686647407714,10.103955733359404
dist_pdl_atr,long,0.49771294820457224,0.0003440568660904429,14.472193235538036,14.467392556952095
accel_atr,long,0.49737511774407006,-0.01776580811898239,-0.011355996616680724,0.005627423515385041
atr_ratio_6_72,short,0.49704541203155084,-0.0066514110729005245,0.9867918208634018,0.9892578333758002
vol_accel,long,0.49695719437853586,-0.002510804974368112,1.198645421974143,1.2303721434722263
range_percentile,short,0.49678334915856026,-0.01114872719981034,0.49781046759715275,0.5010271661559629
dist_session_open_atr,long,0.49662077041300406,0.00024806914675913323,5.014544578719667,5.012861209892106
breakout_down_atr,short,0.4965631018854493,-0.006667471141831513,-4.301452073515126,-4.2796108120375225
dist_pdl_atr,short,0.4965288823289197,-0.005961384377328602,14.41268845974537,14.495776455236271
volume_z,short,0.4964703774900401,-0.025134306485732352,-0.017166857360226374,0.009452928117475928
volume_percentile,short,0.49630122773934426,-0.012820422053711976,0.4974906306345981,0.5011894614680232
expansion,long,0.49624956540989745,-0.01694729002401802,0.2636727322258265,0.27117360140603164
upper_wick,short,0.4957498513319198,-0.014477959329717703,0.2672349142548786,0.2702452737990487
body_atr,short,0.49561695390367755,-0.01996032543142086,0.4707895129191734,0.4794230628865766
lower_wick,long,0.4954450668644047,-0.015402161841793258,0.27509153447422113,0.27834861189886534
atr_ratio_6_72,long,0.4953843280183036,-0.014128820766279616,0.9849667761611562,0.9901950793503456
dist_onl_atr,long,0.4952471380135886,0.005160093165906718,5.189351757042804,5.163136071137635
dist_session_open_atr,short,0.4952335661311345,-0.014557861973661674,4.952572035500027,5.042377964717419
range_atr,short,0.49503252368749706,-0.02933604894823187,0.9668715583417418,0.9814626820816856
breakout_up_atr,long,0.4944340573167031,-0.007787341369292271,-3.407216700610634,-3.3852161562952587
dist_onh_atr,short,0.4941301940474935,-0.0054604400528182355,4.0492415144085525,4.070468415461975
body_atr,long,0.4928708420318565,-0.027228096900012357,0.4687678588674405,0.4805398032232923
close_location,long,0.4928568799947878,-0.024594334421656833,0.5048335539124237,0.5121648837700191
ret_6_atr,long,0.49280674437069016,-0.022312375570550585,0.018597824215194767,0.05305828675033944
ret_1_atr,long,0.49222614022345784,-0.03421314805326565,-0.01094157233619177,0.0118543145131099
ret_3_atr,long,0.4920516948325415,-0.027447718326850955,-0.0036231951600987225,0.026962613709733196
volume_z,long,0.4919379163101998,-0.02824706612670017,-0.01928694810900102,0.010856340894712364
dist_swing_high_atr,short,0.4918631103109372,-0.024213777552176886,0.9982895804534285,1.0403314750422605
volume_percentile,long,0.4917012942311288,-0.02874599511144628,0.49444778571423326,0.5027466140698191
range_percentile,long,0.49169576787669356,-0.028759799455418386,0.49443801425850903,0.5027422021983013
dist_swing_low_atr,long,0.4908986646156161,-0.02562851458574816,1.1753016412352972,1.220806780900233
range_position,long,0.48949578676723704,-0.03431289003558029,0.5370654185761181,0.5479587362168222
range_atr,long,0.4891385157437816,-0.045021836753931864,0.9617843976181495,0.9841804501377724
