feature,side,auc,cohens_d,pos_mean,neg_mean
ret_1_atr,short,0.5112305839290097,0.04679339754228874,0.02544321186181729,-0.005761641023625456
ret_3_atr,short,0.5105101879293659,0.03849593943870876,0.0458969654805733,0.0029928759161309978
range_position,short,0.5099427834594477,0.03306940003713136,0.551461870208798,0.5409640044991882
close_location,short,0.5095655315101478,0.033246725126678346,0.5164448862691053,0.5065416298440351
dist_swing_high_atr,long,0.5077677551851023,0.022002665952465503,1.0523404819902555,1.014105102853159
ret_6_atr,short,0.507220058625935,0.023842406377913374,0.066573842468098,0.029772694061735213
dist_swing_low_atr,short,0.5069275859875001,0.020419176143350037,1.2302796920827799,1.1940437930688135
upper_wick,long,0.5059056353271303,0.019038973193341437,0.2719239591351587,0.26796114093432455
breakout_up_atr,short,0.5056484729495643,0.0096977333400781,-3.37354922878968,-3.4015282598233756
breakout_down_atr,long,0.5053424127738219,0.010509384708749434,-4.263539867549824,-4.298107826115696
lower_wick,short,0.5050145849586992,0.016454810891884046,0.2796289799008841,0.2761459773237767
disp_per_volume,long,0.5047377635413539,0.01640365799019485,0.503152475454612,0.49841475189188084
accel_atr,short,0.5047261749606547,0.02387593604517162,0.015478161914082404,-0.007366765662419971
disp_per_volume,short,0.5035922179377565,0.012454407800555827,0.5024188008385339,0.4988266818521221
bars_since_low,long,0.5034033867054494,0.007907346308324237,74.80299460708395,74.1921993244848
compression,long,0.5028165930898759,0.012713598833170693,0.27114916028916924,0.26551597410941746
bars_since_high,long,0.5027334544175224,0.004584562095006668,58.704489388214284,58.41489933523504
overlap_ratio,long,0.5024000567576026,0.007292420576394063,0.6233492336561648,0.6213038784509498
minutes_from_open,long,0.502353628348999,0.008969054823265352,136.67793343860197,132.8846774052416
minute_of_day,long,0.502353628348999,0.008969054823265219,706.6779334386019,702.8846774052416
atr_percentile,short,0.5020037048209438,0.0069297600327759,0.5013448568566058,0.4993410025106544
bars_since_high,short,0.501580914677759,0.004856885986448329,58.718949098242106,58.41182000083886
range_width_atr,short,0.5013136899530213,-0.001823649664828809,7.675996112610687,7.68148021743891
minute_of_day,short,0.5012239464425049,0.00480551255470924,705.5187116707534,703.4861946199604
minutes_from_open,short,0.5012239464425049,0.004805512554709307,135.5187116707534,133.48619461996037
day_of_week,short,0.5011938274877701,0.003218133076320582,2.124649431573709,2.1193522043457773
vol_accel,short,0.5010726611286098,-0.0037032719111073096,1.1887374657738197,1.2346711446710734
dist_pdh_atr,long,0.5004078807321243,0.002092893471215587,10.15811234867291,10.116052598471185
realized_vol,short,0.5003907770733576,0.06507925517118004,0.0010583456436899033,0.000860079975841104
vol_percentile,short,0.5003907770733576,0.0013523040447043703,0.5002533604158717,0.49986248632135377
atr_percentile,long,0.500192080474679,0.0006649311233621326,0.5001156973921956,0.49992347352546396
dist_onh_atr,long,0.5000690721054509,-0.008905190187027252,4.04083623517386,4.074869007975749
is_rth,long,0.5000265341791462,0.00011884033034064848,0.2750992568975346,0.2750461885392421
bars_since_low,short,0.4997348726230671,-0.0016058405131929275,74.31046495352538,74.43462953322494
body_range,short,0.49955503159942205,-0.0018217894507429615,0.45313610584423714,0.4536087488771746
is_rth,short,0.49949472425017083,-0.002263493472382119,0.27437908564496816,0.2753896371446265
range_width_atr,long,0.49939647795171743,-0.00450757251755609,7.670756568160458,7.684150047127478
day_of_week,long,0.4993581375258277,-9.592141895009637e-05,2.120954682352704,2.1211127250363133
compression,short,0.49930233668156027,-0.0031535395667783646,0.2664371879876206,0.2678325146245001
body_range,long,0.4991885816263296,-0.0027189484798920624,0.45298450639062016,0.45369024716681017
dist_onl_atr,short,0.49915385773207915,-0.014955791378838167,5.120866761454802,5.19582767768629
realized_vol,long,0.4989397882204981,0.06651972705097882,0.0010590466243837685,0.0008571005768531545
vol_percentile,long,0.4989397882204981,-0.003666184121244387,0.49927970988021303,0.5003397788226387
overlap_ratio,short,0.49873295990820976,-0.0059205424516116725,0.6208557563735191,0.622517681456465
expansion,short,0.4983694886865243,-0.00736168002526279,0.2664786600380506,0.2697396826650021
