direction,N,target_hit_rate,win_rate,Avg_MFE,Avg_MAE,median_MFE,median_MAE,MFE_MAE,gross_AvgR,net_AvgR,net_TotalR,net_PF,MaxDD
LONG,190481,0.3374089804232443,0.3395299268693466,0.7488228425450855,0.7169517285225632,0.5873674962470429,0.6194079390276738,6.638016657664088,0.016700644164658725,-0.11818947607709585,-22512.849592641294,0.8422624576724113,22552.1647740615
SHORT,196963,0.32959489853424245,0.3309047892243721,0.7546358513902932,0.7034899133654725,0.5768012297521968,0.6217681900999199,5.7912615831806304,-0.008572808825289154,-0.13477553707151554,-26545.794108216916,0.8210602432262404,26586.975462820534
