trade_id,direction,entry_ts,net_R_m0,exit_reason_m0,market_state,15m_state,5m_state,total_evidence,reason_codes,bar_regime,efficiency,atr_ratio,overlap_ratio
LW-063142,LONG,2026-08-26T18:46:00-05:00,2.2925925925926234,TARGET,UNCERTAIN,BULLISH,,6,CONF_ACTIVE_ALIGNED|CONF_STRUCTURE_ALIGNED|CONF_HTF_SUPPORT|INSUFFICIENT_EVIDENCE|FALSE_REVERSAL_LOW|OPPOSITE_STRENGTHEN,CHOP,0.15331491712707182,0.5927601809954752,0.7666666666666667
LW-063143,SHORT,2026-08-26T19:04:00-05:00,-1.0845833333333437,STOP,PULLBACK,BEARISH,,4,CONF_ACTIVE_OPPOSED|CONF_STRUCTURE_OPPOSED|CONF_HTF_SUPPORT|FALSE_REVERSAL_HIGH|CONF_REVERSAL_SUPPORT_STRONG|PULLBACK_DE,CHOP,0.043137254901960784,1.5253837072018892,0.6666666666666666
LW-063144,LONG,2026-08-26T20:22:00-05:00,2.430598290598284,TARGET,UNCERTAIN,NEUTRAL,,4,CONF_ACTIVE_ALIGNED|CONF_STRUCTURE_ALIGNED|INSUFFICIENT_EVIDENCE|FALSE_REVERSAL_LOW|OPPOSITE_STRENGTHENING|COUNTERTREND_,CHOP,0.09661229611041405,1.0891364902506964,0.6666666666666666
LW-063145,LONG,2026-08-26T21:48:00-05:00,2.3689265536723165,TARGET,UNCERTAIN,BULLISH,,7,CONF_ACTIVE_ALIGNED|CONF_STRUCTURE_ALIGNED|CONF_HTF_SUPPORT|INSUFFICIENT_EVIDENCE|FALSE_REVERSAL_LOW|OPPOSITE_STRENGTHEN,CHOP,0.04319654427645788,0.7634408602150536,0.7666666666666667
LW-063146,SHORT,2026-08-26T22:34:00-05:00,2.3639865996650316,TARGET,REVERSAL_TRANSITION,TRANSITION,,5,CONF_ACTIVE_OPPOSED|CONF_STRUCTURE_ALIGNED|CONF_COUNTERTREND_STRONG|CONF_REVERSAL_SUPPORT_STRONG|PRIOR_MOVE_WEAKENING|OP,UNCERTAIN,0.033128834355828224,0.9432213209733489,0.6
LW-063147,LONG,2026-08-27T02:02:00-05:00,2.3940639269406394,TARGET,UNCERTAIN,BULLISH,,6,CONF_ACTIVE_ALIGNED|CONF_STRUCTURE_ALIGNED|CONF_HTF_SUPPORT|INSUFFICIENT_EVIDENCE|FALSE_REVERSAL_LOW|COUNTERTREND_STRONG,CHOP,0.18935516888433981,1.0277777777777777,0.7
LW-063148,SHORT,2026-08-27T02:45:00-05:00,-1.1069828722002553,STOP,UNCERTAIN,TRANSITION,,4,CONF_ACTIVE_ALIGNED|CONF_STRUCTURE_ALIGNED|INSUFFICIENT_EVIDENCE|FALSE_REVERSAL_LOW|OPPOSITE_STRENGTHENING,CHOP,0.09566787003610108,1.0,0.8
LW-063149,LONG,2026-08-27T02:54:00-05:00,2.3755555555555223,TARGET,REVERSAL_TRANSITION,BULLISH,,4,CONF_ACTIVE_OPPOSED|CONF_STRUCTURE_OPPOSED|CONF_HTF_SUPPORT|CONF_COUNTERTREND_STRONG|CONF_REVERSAL_SUPPORT_STRONG|PRIOR_,CHOP,0.016172506738544475,0.9313131313131314,0.6333333333333333
LW-063150,LONG,2026-08-27T03:49:00-05:00,-1.0805555555555555,STOP,UNCERTAIN,BULLISH,,6,CONF_ACTIVE_ALIGNED|CONF_STRUCTURE_ALIGNED|CONF_HTF_SUPPORT|INSUFFICIENT_EVIDENCE|FALSE_REVERSAL_LOW|COUNTERTREND_STRONG,CHOP,0.1303370786516854,1.194736842105263,0.6666666666666666
LW-063151,SHORT,2026-08-27T04:05:00-05:00,-1.075185185185173,STOP,UNCERTAIN,BEARISH,,7,CONF_ACTIVE_ALIGNED|CONF_STRUCTURE_ALIGNED|CONF_HTF_SUPPORT|INSUFFICIENT_EVIDENCE|FALSE_REVERSAL_LOW|OPPOSITE_STRENGTHEN,CHOP,0.1029113067027759,1.2408510638297874,0.7
LW-063152,SHORT,2026-08-27T05:18:00-05:00,2.3646666666666274,TARGET,UNCERTAIN,BEARISH,,7,CONF_ACTIVE_ALIGNED|CONF_STRUCTURE_ALIGNED|CONF_HTF_SUPPORT|INSUFFICIENT_EVIDENCE|FALSE_REVERSAL_LOW|OPPOSITE_STRENGTHEN,CHOP,0.0939060939060939,0.7171806167400882,0.7
LW-063153,LONG,2026-08-27T05:43:00-05:00,-1.1208333333333331,STOP,UNCERTAIN,TRANSITION,,5,CONF_ACTIVE_ALIGNED|CONF_STRUCTURE_ALIGNED|INSUFFICIENT_EVIDENCE|FALSE_REVERSAL_LOW|OPPOSITE_STRENGTHENING|COUNTERTREND_,CHOP,0.007927519818799546,0.9481481481481482,0.8
LW-063154,SHORT,2026-08-27T06:28:00-05:00,2.3958974358974436,TARGET,UNCERTAIN,BEARISH,,6,CONF_ACTIVE_ALIGNED|CONF_STRUCTURE_ALIGNED|CONF_HTF_SUPPORT|INSUFFICIENT_EVIDENCE|FALSE_REVERSAL_LOW|OPPOSITE_STRENGTHEN,CHOP,0.030165912518853696,1.1471535982814178,0.7333333333333333
LW-063155,LONG,2026-08-27T07:02:00-05:00,-1.1041025641025564,STOP,UNCERTAIN,NEUTRAL,,5,CONF_ACTIVE_ALIGNED|CONF_STRUCTURE_ALIGNED|INSUFFICIENT_EVIDENCE|FALSE_REVERSAL_LOW|OPPOSITE_STRENGTHENING|COUNTERTREND_,UNCERTAIN,0.006661115736885929,0.944696282864914,0.5666666666666667
LW-063156,SHORT,2026-08-27T07:39:00-05:00,-1.096666666666667,STOP,UNCERTAIN,BEARISH,,7,CONF_ACTIVE_ALIGNED|CONF_STRUCTURE_ALIGNED|CONF_HTF_SUPPORT|INSUFFICIENT_EVIDENCE|FALSE_REVERSAL_LOW|OPPOSITE_STRENGTHEN,CHOP,0.05143853530950305,0.9876760563380281,0.7666666666666667
LW-063157,LONG,2026-08-27T08:10:00-05:00,2.4045267489711932,TARGET,UNCERTAIN,TRANSITION,,4,CONF_ACTIVE_ALIGNED|CONF_STRUCTURE_ALIGNED|INSUFFICIENT_EVIDENCE|FALSE_REVERSAL_LOW|OPPOSITE_STRENGTHENING|COUNTERTREND_,CHOP,0.00933852140077821,0.9818181818181818,0.6666666666666666
LW-063158,SHORT,2026-08-27T08:19:00-05:00,-1.0944735311227265,STOP,REVERSAL_TRANSITION,NEUTRAL,,5,CONF_ACTIVE_OPPOSED|CONF_STRUCTURE_ALIGNED|CONF_COUNTERTREND_STRONG|CONF_REVERSAL_SUPPORT_STRONG|PRIOR_MOVE_WEAKENING|OP,CHOP,0.05508145849495733,0.9991311902693308,0.7333333333333333
LW-063159,LONG,2026-08-27T08:39:00-05:00,2.474573352121495,TARGET,REVERSAL_TRANSITION,BULLISH,,5,CONF_ACTIVE_OPPOSED|CONF_STRUCTURE_ALIGNED|CONF_HTF_SUPPORT|CONF_COUNTERTREND_STRONG|CONF_REVERSAL_SUPPORT_STRONG|COUNTE,CHOP,0.08573436401967674,3.664371772805508,0.8
LW-063160,SHORT,2026-08-27T08:50:00-05:00,-1.022267928150281,STOP,UNCERTAIN,BEARISH,,8,CONF_ACTIVE_ALIGNED|CONF_STRUCTURE_ALIGNED|CONF_HTF_SUPPORT|INSUFFICIENT_EVIDENCE|FALSE_REVERSAL_LOW|OPPOSITE_STRENGTHEN,CHOP,0.008430166324903166,4.1289228159457165,0.5666666666666667
LW-063161,LONG,2026-08-27T09:04:00-05:00,-1.029198130169002,STOP,UNCERTAIN,BULLISH,,7,CONF_ACTIVE_ALIGNED|CONF_STRUCTURE_ALIGNED|CONF_HTF_SUPPORT|INSUFFICIENT_EVIDENCE|FALSE_REVERSAL_LOW|OPPOSITE_STRENGTHEN,UNCERTAIN,0.06387181738366988,2.9616613418530346,0.5333333333333333
LW-063162,SHORT,2026-08-27T10:31:00-05:00,-1.0758169934640522,STOP,UNCERTAIN,BEARISH,,5,CONF_ACTIVE_ALIGNED|CONF_STRUCTURE_ALIGNED|CONF_HTF_SUPPORT|INSUFFICIENT_EVIDENCE|FALSE_REVERSAL_LOW|OPPOSITE_STRENGTHEN,CHOP,0.08554763447828904,0.57429718875502,0.7666666666666667
LW-063163,LONG,2026-08-27T11:04:00-05:00,-1.066831275720168,STOP,CONTINUATION,TRANSITION,,5,CONF_ACTIVE_ALIGNED|CONF_STRUCTURE_ALIGNED|CONF_COUNTERTREND_WEAK|ACTIVE_ALIGNED|STRUCTURE_INTACT|COUNTERTREND_WEAK|FALS,CHOP,0.08319280494659921,0.8733153638814015,0.6666666666666666
LW-063164,SHORT,2026-08-27T11:22:00-05:00,-1.0830265848670906,STOP,UNCERTAIN,NEUTRAL,,5,CONF_ACTIVE_ALIGNED|CONF_STRUCTURE_ALIGNED|INSUFFICIENT_EVIDENCE|FALSE_REVERSAL_LOW|OPPOSITE_STRENGTHENING|COUNTERTREND_,CHOP,0.023224043715846996,0.7893462469733655,0.8333333333333334
