mode,slice,N,AvgR,PF,TotalR,WinRate,MaxDD,LONG,SHORT
original,ALL,61335,0.5304306286063961,1.945802793022555,32533.962605573302,0.43862395043612945,22.00103516942181,31434,29901
causal_a,ALL,34691,0.021530153351427963,1.0304882058490135,746.9025499143875,0.29321726096105616,419.11755143787775,18400,16291
causal_b,ALL,64502,0.1818089473597549,1.2752907452088529,11727.04072259891,0.33895073020991595,56.526093392213625,33141,31361
