ts_chicago,ts_ny,unix_ms,open,high,low,close,atr,py_p58State,py_p58Dir,py_p58InTrade,py_decision,py_m5_src,py_m5_OHLC,py_m15_src,py_ctxSc,py_locSc,py_reactSc,py_contra,py_total,py_rawTake,py_ctxRs,py_reactRs,tv_m5_src,tv_m5_OHLC,tv_m15_src,tv_ctxSc,tv_locSc,tv_reactSc,tv_contra,tv_total,tv_rawTake,tv_ctxRs,m5_src_match,total_match,rawTake_match
2026-08-26 13:35:00-05:00,2026-08-26 14:35:00-04:00,1787769300000,29297.25,29299.75,29293.0,29297.25,7.178571428571429,WATCH,,False,WATCH,2026-08-26 13:35:00-05:00,29297.25/29299.75/29290.00/29292.00,2026-08-26 13:30:00-05:00,2,1,0,0,3,False,SWING_HL|MOM_BULL|M5_BEAR|M15_BULL,,2026-08-26 13:30:00-05:00,29279.75/29303.50/29275.75/29297.25,2026-08-26 13:15:00-05:00,2,1,0,0,3,False,SWING_HL|MOM_BULL|M5_BULL,False,True,True
2026-08-26 13:36:00-05:00,2026-08-26 14:36:00-04:00,1787769360000,29297.25,29298.25,29293.5,29298.0,7.196428571428571,ARMED_LONG,LONG,False,ARMED,2026-08-26 13:35:00-05:00,29297.25/29299.75/29290.00/29292.00,2026-08-26 13:30:00-05:00,2,0,1,0,3,False,SWING_HL|MOM_BULL|M5_BEAR|M15_BULL,REJECTION,2026-08-26 13:30:00-05:00,29279.75/29303.50/29275.75/29297.25,2026-08-26 13:15:00-05:00,2,0,1,0,3,False,SWING_HL|MOM_BULL|M5_BULL,False,True,True
2026-08-26 13:37:00-05:00,2026-08-26 14:37:00-04:00,1787769420000,29298.0,29298.25,29292.75,29293.75,7.035714285714286,ARMED_LONG,LONG,False,ARMED,2026-08-26 13:35:00-05:00,29297.25/29299.75/29290.00/29292.00,2026-08-26 13:30:00-05:00,2,1,0,0,3,False,SWING_HL|MOM_BULL|M5_BEAR|M15_BULL,,2026-08-26 13:30:00-05:00,29279.75/29303.50/29275.75/29297.25,2026-08-26 13:15:00-05:00,2,1,0,0,3,False,SWING_HL|MOM_BULL|M5_BULL,False,True,True
2026-08-26 13:38:00-05:00,2026-08-26 14:38:00-04:00,1787769480000,29294.0,29296.5,29290.0,29295.5,7.089285714285714,ARMED_LONG,LONG,False,WAIT,2026-08-26 13:35:00-05:00,29297.25/29299.75/29290.00/29292.00,2026-08-26 13:30:00-05:00,2,1,1,-1,3,False,SWING_HH|SWING_HL|MOM_BEAR|M5_BEAR|M15_BULL,REJECTION,2026-08-26 13:30:00-05:00,29279.75/29303.50/29275.75/29297.25,2026-08-26 13:15:00-05:00,2,1,1,0,4,True,SWING_HH|SWING_HL|MOM_BEAR|M5_BULL,False,False,False
2026-08-26 13:39:00-05:00,2026-08-26 14:39:00-04:00,1787769540000,29295.0,29296.75,29290.75,29292.0,6.803571428571429,ARMED_LONG,LONG,False,ARMED,2026-08-26 13:35:00-05:00,29297.25/29299.75/29290.00/29292.00,2026-08-26 13:30:00-05:00,2,1,0,-1,2,False,SWING_HH|SWING_HL|MOM_BEAR|M5_BEAR|M15_BULL,,2026-08-26 13:35:00-05:00,29297.25/29299.75/29290.00/29292.00,2026-08-26 13:15:00-05:00,2,1,0,-1,2,False,SWING_HH|SWING_HL|MOM_BEAR|M5_BEAR,True,True,True
2026-08-26 13:40:00-05:00,2026-08-26 14:40:00-04:00,1787769600000,29292.0,29293.75,29288.5,29293.5,6.875,IN_LONG,LONG,True,TAKE_LONG,2026-08-26 13:40:00-05:00,29292.00/29298.00/29288.00/29295.00,2026-08-26 13:30:00-05:00,2,1,1,0,4,True,SWING_HH|MOM_BEAR|M5_BULL|M15_BULL,REJECTION,2026-08-26 13:35:00-05:00,29297.25/29299.75/29290.00/29292.00,2026-08-26 13:15:00-05:00,1,1,1,-1,2,False,SWING_HH|MOM_BEAR|M5_BEAR,False,False,False
2026-08-26 13:41:00-05:00,2026-08-26 14:41:00-04:00,1787769660000,29293.25,29294.75,29290.75,29293.75,6.678571428571429,IN_LONG,LONG,True,HOLD,2026-08-26 13:40:00-05:00,29292.00/29298.00/29288.00/29295.00,2026-08-26 13:30:00-05:00,2,1,2,0,5,True,SWING_HH|MOM_BEAR|M5_BULL|M15_BULL,MICRO_SHIFT|REJECTION,2026-08-26 13:35:00-05:00,29297.25/29299.75/29290.00/29292.00,2026-08-26 13:15:00-05:00,1,1,2,-1,3,False,SWING_HH|MOM_BEAR|M5_BEAR,False,False,False
2026-08-26 13:42:00-05:00,2026-08-26 14:42:00-04:00,1787769720000,29293.5,29298.0,29292.5,29292.75,6.839285714285714,IN_LONG,LONG,True,HOLD,2026-08-26 13:40:00-05:00,29292.00/29298.00/29288.00/29295.00,2026-08-26 13:30:00-05:00,2,1,0,0,3,False,SWING_HH|M5_BULL|M15_BULL,,2026-08-26 13:35:00-05:00,29297.25/29299.75/29290.00/29292.00,2026-08-26 13:15:00-05:00,1,1,0,0,2,False,SWING_HH|M5_BEAR,False,False,True
2026-08-26 13:43:00-05:00,2026-08-26 14:43:00-04:00,1787769780000,29292.0,29294.25,29288.0,29289.25,6.803571428571429,COOLDOWN,,False,EXIT_STOP,2026-08-26 13:40:00-05:00,29292.00/29298.00/29288.00/29295.00,2026-08-26 13:30:00-05:00,2,1,0,0,3,False,SWING_HH|MOM_BEAR|M5_BULL|M15_BULL,,2026-08-26 13:35:00-05:00,29297.25/29299.75/29290.00/29292.00,2026-08-26 13:15:00-05:00,1,1,0,-1,1,False,SWING_HH|MOM_BEAR|M5_BEAR,False,False,True
2026-08-26 13:44:00-05:00,2026-08-26 14:44:00-04:00,1787769840000,29289.5,29295.25,29288.5,29295.0,6.732142857142857,COOLDOWN,,False,WATCH,2026-08-26 13:40:00-05:00,29292.00/29298.00/29288.00/29295.00,2026-08-26 13:30:00-05:00,2,1,2,0,5,True,SWING_HH|MOM_BULL|M5_BULL|M15_BULL,RECLAIM|DIR_RESPONSE,2026-08-26 13:40:00-05:00,29292.00/29298.00/29288.00/29295.00,2026-08-26 13:30:00-05:00,2,1,2,0,5,True,SWING_HH|MOM_BULL|M5_BULL|M15_BULL,True,True,True
