ts,side,state
2026-08-26 13:21:00-05:00,python,"(False, 3, 'WATCH')"
2026-08-26 13:23:00-05:00,python,"(False, 0, 'WATCH')"
2026-08-26 13:24:00-05:00,python,"(False, -1, 'ARMED')"
2026-08-26 13:26:00-05:00,python,"(True, -2, 'TAKE_SHORT')"
2026-08-26 13:27:00-05:00,python,"(True, -2, 'HOLD')"
2026-08-26 13:27:00-05:00,pine,"(True, -2, '')"
2026-08-26 13:29:00-05:00,pine,"(False, 3, 'STOP')"
2026-08-26 13:30:00-05:00,pine,"(False, 3, '')"
2026-08-26 13:31:00-05:00,pine,"(False, 0, '')"
2026-08-26 13:32:00-05:00,python,"(False, 3, 'EXIT_STOP')"
2026-08-26 13:33:00-05:00,python,"(False, 3, 'WATCH')"
2026-08-26 13:35:00-05:00,python,"(False, 0, 'WATCH')"
2026-08-26 13:36:00-05:00,python,"(False, 1, 'ARMED')"
2026-08-26 13:38:00-05:00,python,"(False, 1, 'WAIT')"
2026-08-26 13:39:00-05:00,python,"(False, 1, 'ARMED')"
2026-08-26 13:40:00-05:00,python,"(True, 2, 'TAKE_LONG')"
2026-08-26 13:41:00-05:00,python,"(True, 2, 'HOLD')"
2026-08-26 13:41:00-05:00,pine,"(True, 2, '')"
2026-08-26 13:43:00-05:00,python,"(False, 3, 'EXIT_STOP')"
2026-08-26 13:43:00-05:00,pine,"(False, 3, 'STOP')"
2026-08-26 13:44:00-05:00,python,"(False, 3, 'WATCH')"
2026-08-26 13:44:00-05:00,pine,"(False, 3, '')"
2026-08-26 13:45:00-05:00,pine,"(False, 0, '')"
