mode,slice,N,AvgR,PF,TotalR,WinRate,MaxDD,LONG,SHORT
original,market_state=CONTINUATION,1390,0.4978651251557598,1.8790233364699527,692.0325239665061,0.4309352517985611,18.602403485171976,785,605
original,market_state=PULLBACK,4378,0.7405378241653536,2.481774719212866,3242.074594195918,0.4990863407948835,12.000555075562716,2294,2084
original,market_state=REVERSAL_TRANSITION,9238,0.5369048416365367,1.9597723791006285,4959.9269270383265,0.4400303095908205,21.503792263320292,4754,4484
original,market_state=UNCERTAIN,46329,0.5102620078217218,1.900390539851438,23639.92856037255,0.4328606272529085,27.502802795635034,23601,22728
original,high_subtype=(empty),43413,0.6495871298578616,2.233418006827887,28200.526068519346,0.4727155460345979,18.001127491803345,22330,21083
original,high_subtype=HIGH_CLEAN,29,0.20683552165673094,1.3156760998003858,5.998230128045197,0.3448275862068966,4.000406047760491,18,11
original,high_subtype=HIGH_CONFLICTED,12071,0.1258542061905209,1.1859314832106926,1519.186122925778,0.3229227073150526,54.519224797587185,6105,5966
original,high_subtype=HIGH_REVERSAL,5822,0.48235180075577666,1.839574501064248,2808.252184000132,0.4247681209206458,18.502135194543087,2981,2841
original,direction_confidence_band=HIGH,17922,0.24179424936134106,1.375692508883654,4333.436537053954,0.35604285236022765,52.925068510920255,9104,8818
original,direction_confidence_band=LOW,3216,0.7067426186974057,2.3872989351355436,2272.884261730857,0.4894278606965174,12.00096739758942,1740,1476
original,direction_confidence_band=MEDIUM,3444,0.7292070495382867,2.4440692611319377,2511.3890786098596,0.49477351916376305,12.000632890363704,1757,1687
original,direction_confidence_band=VERY_HIGH,35333,0.6400063630350046,2.209034796675564,22613.344825115815,0.470013868055359,17.127067456707664,18096,17237
original,direction_confidence_band=VERY_LOW,1420,0.5654281007484631,2.0259107204657787,802.9079030628175,0.44859154929577466,10.000699808163546,737,683
original,15m_state=BEARISH,21346,0.6672236238335151,2.2782492248715305,14242.555474350213,0.47737280989412534,20.001663840616857,996,20350
