signal_i,entry_i,direction,atr,decision,delay_bars,reason,reaction_dir,orig_dir,year
10575,10577,LONG,1.375,TAKE,1,DISPLACEMENT,LONG,SHORT,2017
10616,10618,SHORT,0.4107142857142857,TAKE,1,DISPLACEMENT,SHORT,SHORT,2017
10793,10795,LONG,0.5357142857142857,TAKE,1,DISPLACEMENT,LONG,SHORT,2017
10824,10826,SHORT,0.375,TAKE,1,DISPLACEMENT,SHORT,LONG,2017
10850,10852,LONG,0.35714285714285715,TAKE,1,DISPLACEMENT,LONG,SHORT,2017
10867,10869,SHORT,0.39285714285714285,TAKE,1,DISPLACEMENT,SHORT,LONG,2017
11208,11210,LONG,0.23214285714285715,TAKE,1,DISPLACEMENT,LONG,SHORT,2017
11319,11321,LONG,0.3392857142857143,TAKE,1,DISPLACEMENT,LONG,SHORT,2017
11337,11339,SHORT,0.2857142857142857,TAKE,1,DISPLACEMENT,SHORT,LONG,2017
11415,11417,SHORT,0.625,TAKE,1,DISPLACEMENT,SHORT,LONG,2017
11531,11533,LONG,3.0535714285714284,TAKE,1,DISPLACEMENT,LONG,SHORT,2017
11547,11549,SHORT,3.0714285714285716,TAKE,1,DISPLACEMENT,SHORT,LONG,2017
11621,11623,SHORT,1.2857142857142858,TAKE,1,DISPLACEMENT,SHORT,LONG,2017
11695,11697,LONG,1.1428571428571428,TAKE,1,DISPLACEMENT,LONG,SHORT,2017
11766,11768,LONG,1.1607142857142858,TAKE,1,DISPLACEMENT,LONG,SHORT,2017
11858,11860,SHORT,1.3035714285714286,TAKE,1,DISPLACEMENT,SHORT,LONG,2017
12105,12107,LONG,0.48214285714285715,TAKE,1,DISPLACEMENT,LONG,LONG,2017
12208,12210,SHORT,0.23214285714285715,TAKE,1,DISPLACEMENT,SHORT,SHORT,2017
12215,12217,LONG,0.17857142857142858,TAKE,1,DISPLACEMENT,LONG,LONG,2017
12298,12300,SHORT,0.39285714285714285,TAKE,1,DISPLACEMENT,SHORT,LONG,2017
12416,12418,LONG,0.2857142857142857,TAKE,1,DISPLACEMENT,LONG,LONG,2017
12435,12437,LONG,0.42857142857142855,TAKE,1,DISPLACEMENT,LONG,SHORT,2017
12501,12503,LONG,0.5714285714285714,TAKE,1,DISPLACEMENT,LONG,SHORT,2017
12515,12517,LONG,0.5,TAKE,1,DISPLACEMENT,LONG,LONG,2017
12547,12549,SHORT,0.5,TAKE,1,DISPLACEMENT,SHORT,SHORT,2017
12839,12841,LONG,0.8571428571428571,TAKE,1,DISPLACEMENT,LONG,SHORT,2017
12875,12877,LONG,3.0,TAKE,1,DISPLACEMENT,LONG,SHORT,2017
12939,12941,LONG,1.9285714285714286,TAKE,1,DISPLACEMENT,LONG,SHORT,2017
13191,13193,LONG,0.8571428571428571,TAKE,1,DISPLACEMENT,LONG,LONG,2017
13454,13456,LONG,0.42857142857142855,TAKE,1,DISPLACEMENT,LONG,LONG,2017
13938,13940,LONG,0.44642857142857145,TAKE,1,DISPLACEMENT,LONG,SHORT,2017
14519,14521,SHORT,0.625,TAKE,1,DISPLACEMENT,SHORT,LONG,2017
14651,14653,SHORT,0.7142857142857143,TAKE,1,DISPLACEMENT,SHORT,LONG,2017
14752,14754,LONG,0.30357142857142855,TAKE,1,DISPLACEMENT,LONG,SHORT,2017
14783,14785,SHORT,0.23214285714285715,TAKE,1,DISPLACEMENT,SHORT,LONG,2017
14888,14890,SHORT,0.5357142857142857,TAKE,1,DISPLACEMENT,SHORT,LONG,2017
