model,dimension,bucket,N,wins,losses,win_pct,avg_R,total_R,profit_factor,max_drawdown_R,largest_win_R,largest_loss_R,max_consecutive_wins,max_consecutive_losses
Retest,quarter,2021Q1,88,47,41,53.40909090909091,0.258425496509089,22.741443692799834,1.606199126944318,7.862286908794481,2.0,-1.0,8,6
Retest,quarter,2021Q2,104,43,60,41.34615384615385,0.04243798655593386,4.413550601817121,1.083914464329519,13.330233165656889,2.0,-1.0,7,8
Retest,quarter,2021Q3,118,52,66,44.067796610169495,0.09556760119247593,11.27697694071216,1.2115315275092267,7.274840732575436,2.0,-1.0,5,6
Retest,quarter,2021Q4,108,34,74,31.48148148148148,-0.22822018322637264,-24.647779788448243,0.6392704412798131,28.73512506071023,2.0,-1.0,4,9
Retest,quarter,2022Q1,95,38,57,40.0,-0.002768210494815698,-0.2629799970074913,0.9945147068861742,11.679228014745217,2.0,-1.0,3,6
Retest,quarter,2022Q2,97,33,64,34.02061855670103,-0.21152343335497048,-20.517773035432135,0.6463514714353941,23.290988279433847,2.0,-1.0,3,8
Retest,quarter,2022Q3,110,45,65,40.90909090909091,-0.026535775194475607,-2.918935271392317,0.9494193471281749,13.482498315995274,2.0,-1.0,4,7
Retest,quarter,2022Q4,105,40,64,38.095238095238095,-0.14024263885771698,-14.725477080060283,0.7218734583569194,18.05600834012165,2.0,-1.0,3,5
Retest,quarter,2023Q1,113,49,64,43.36283185840708,0.0931465753730273,10.525563017152084,1.1886353211682041,8.103777420856943,2.0,-1.0,4,6
Retest,quarter,2023Q2,92,46,46,50.0,0.1540320691005476,14.170950357250378,1.3603427445705205,7.371748152696423,2.0,-1.0,6,4
Retest,quarter,2023Q3,127,44,81,34.645669291338585,-0.15288725826408495,-19.41668179953879,0.7269951895188586,28.297079283441036,2.0,-1.0,5,5
Retest,quarter,2023Q4,112,46,66,41.07142857142857,-0.0572500942671832,-6.412010557924519,0.894591865207756,13.80661520074304,2.0,-1.0,8,7
