model,N,wins,losses,win_pct,avg_R,total_R,profit_factor,max_drawdown_R,largest_win_R,largest_loss_R,max_consecutive_wins,max_consecutive_losses
Control,3325,1366,1952,41.08270676691729,0.004016812904879845,13.355902908725486,1.0076919812410583,111.10362862359871,2.0,-1.0,8,15
BOS,2283,950,1329,41.61191414805081,0.018376047024813887,41.9525153576501,1.0357224914294905,55.71690374578103,2.0,-1.0,7,18
Retest,1269,517,748,40.74074074074074,-0.02030981317578582,-25.773152920072206,0.960678117909358,74.88830679708921,2.0,-1.0,8,9
Confirm,839,333,501,39.69010727056019,-0.043585728535789875,-36.5684262415277,0.9174386133374536,56.7434382118645,2.0,-1.0,7,14
