model,month,N,wins,losses,win_pct,avg_R,total_R,profit_factor,max_drawdown_R,largest_win_R,largest_loss_R,max_consecutive_wins,max_consecutive_losses
Retest,2021-01,27,15,12,55.55555555555556,0.3202453798662442,8.646625256388592,1.7445917047372776,3.6125726372945235,2.0,-1.0,4,4
Retest,2021-02,28,16,12,57.142857142857146,0.2671405012775705,7.479934035771974,1.698241570925804,4.934177939665425,2.0,-1.0,6,3
Retest,2021-03,33,16,17,48.484848484848484,0.20045104244361403,6.614884400639263,1.4354847261914208,7.862286908794479,2.0,-1.0,4,6
Retest,2021-04,38,13,24,34.21052631578947,-0.008837946331631777,-0.33584196060200755,0.9847318002383737,10.522522647144362,2.0,-1.0,2,7
Retest,2021-05,32,19,13,59.375,0.4056453173645143,12.980650155664458,2.1586605561258114,7.288154839468483,2.0,-1.0,7,8
Retest,2021-06,34,11,23,32.35294117647059,-0.24209581156603904,-8.231257593245328,0.5756318489261092,10.663390657912883,2.0,-1.0,2,6
Retest,2021-07,32,13,19,40.625,-0.015922950724860274,-0.5095344231955288,0.9650220337648394,6.318589931354108,2.0,-1.0,3,6
Retest,2021-08,40,18,22,45.0,0.24662032489119454,9.864812995647782,1.5650037564725638,4.0610889733267985,2.0,-1.0,5,3
Retest,2021-09,45,21,24,46.666666666666664,0.06492663040577577,2.92169836825991,1.1440390874586572,7.274840732575436,2.0,-1.0,3,3
Retest,2021-10,32,9,23,28.125,-0.3254602612197727,-10.414728359032726,0.5135905406667856,11.541128184418874,2.0,-1.0,2,8
Retest,2021-11,37,13,24,35.13513513513514,-0.1389897883779388,-5.142622169983735,0.769723433351398,10.742718090547218,2.0,-1.0,4,6
Retest,2021-12,39,12,27,30.76923076923077,-0.23308792972902012,-9.090429259431785,0.6302263906388418,12.051374706307625,2.0,-1.0,3,6
Retest,2022-01,31,11,20,35.483870967741936,-0.2658134617122979,-8.240217313081235,0.5703863376932513,9.403741797870396,2.0,-1.0,3,6
Retest,2022-02,35,13,22,37.142857142857146,0.05693190177796302,1.9926165622287058,1.1360159702178263,5.999947370478299,2.0,-1.0,3,5
Retest,2022-03,30,14,16,46.666666666666664,0.16615402512816804,4.984620753845041,1.3298377471788663,5.739885891829054,2.0,-1.0,2,5
Retest,2022-04,43,10,33,23.25581395348837,-0.4264392494813038,-18.336887727696062,0.386185785660448,18.336887727696062,2.0,-1.0,1,8
Retest,2022-05,26,11,15,42.30769230769231,-0.0749063747690329,-1.9475657439948555,0.8575930688866923,3.839613465020255,2.0,-1.0,2,3
Retest,2022-06,28,12,16,42.857142857142854,-0.008332841562186158,-0.23331956374121243,0.9838730453146831,7.6878439907656455,2.0,-1.0,3,6
Retest,2022-07,41,16,25,39.02439024390244,-0.12286292630250234,-5.037379978402596,0.7962006716330526,10.75442535204062,2.0,-1.0,2,5
Retest,2022-08,36,17,19,47.22222222222222,0.21056169906605257,7.580221166377893,1.5319913298461303,5.106133812436264,2.0,-1.0,4,7
Retest,2022-09,33,12,21,36.36363636363637,-0.16550837755659437,-5.461776459367614,0.7085873148157854,12.12419904157543,2.0,-1.0,3,6
Retest,2022-10,39,13,26,33.333333333333336,-0.3581619480755195,-13.968315974945261,0.352856046847081,15.91831559878641,2.0,-1.0,2,5
Retest,2022-11,33,16,17,48.484848484848484,0.1180667451630972,3.8962025903822077,1.2650424067038657,3.6613753388640173,2.0,-1.0,3,4
Retest,2022-12,33,11,21,33.333333333333336,-0.14101102107567365,-4.65336369549723,0.720692916871824,7.2540665168956595,2.0,-1.0,2,4
Retest,2023-01,38,16,22,42.10526315789474,0.015200193895729072,0.5776073680377047,1.0306360578069917,4.0,2.0,-1.0,3,4
Retest,2023-02,29,13,16,44.827586206896555,0.034428740554278456,0.9984334760740752,1.0731843993443066,6.899142272694265,2.0,-1.0,4,5
Retest,2023-03,46,20,26,43.47826086956522,0.19455482984870237,8.94952217304031,1.3840679593429355,8.103777420856943,2.0,-1.0,4,6
Retest,2023-04,23,9,14,39.130434782608695,-0.10483638281603903,-2.411236804768898,0.8128604901039785,5.659595332061026,2.0,-1.0,2,4
Retest,2023-05,37,21,16,56.75675675675676,0.37856714629824334,14.006984413035003,2.1203206384008113,2.820401766922114,2.0,-1.0,6,3
Retest,2023-06,31,16,15,51.61290322580645,0.11532912093497659,3.575202748984274,1.2763131848910394,4.969682298068345,2.0,-1.0,4,3
Retest,2023-07,35,12,23,34.285714285714285,-0.12136540418824236,-4.247789146588483,0.7952988343664298,6.646270482593794,2.0,-1.0,2,5
Retest,2023-08,57,20,36,35.08771929824562,-0.2569192064817058,-14.64439476945723,0.5494215096969197,19.286592323143104,2.0,-1.0,5,5
Retest,2023-09,36,12,23,33.333333333333336,-0.04234716343036336,-1.5244978834930811,0.9192089283403296,8.782012068181851,2.0,-1.0,2,5
Retest,2023-10,42,16,26,38.095238095238095,-0.10565333562826572,-4.43744009638716,0.8111652723431895,11.236469034402802,2.0,-1.0,8,7
Retest,2023-11,38,14,24,36.8421052631579,-0.18693607292782138,-7.103570771257212,0.6765509422594533,12.470792144971266,2.0,-1.0,3,6
Retest,2023-12,32,16,16,50.0,0.16028125967874543,5.129000309719854,1.3337171088578164,3.747391484098052,2.0,-1.0,4,3
