timestamp,signal_type,direction,entry,phase40_impulse,ret_1_atr,ret_2_atr,ret_3_atr,body_atr,pre_entry_move_3_atr,impulse_margin,simple_raw,quality_score,confidence,accepted,reason,stop,target,net_R,signal_id
2017-10-02 16:30:00+00:00,RL,Long,5974.90516475333,1.4208646649295518,0.0003765690376569264,0.002053646269907894,0.001801726305204143,0.29739027870618523,1.4208646649295518,0.7708646649295517,0.0042319416127689635,35.969116010975064,C,False,QUALITY_FILTER,5969.230803078356,5989.091068940763,0.7701016426117412,2
2017-10-04 15:00:00+00:00,L,Long,5991.553896764904,0.8364087660481822,0.0007094862484871013,0.0016709833737154065,0.0007930214115781097,0.7043442240405745,0.8364087660481822,0.18640876604818213,0.0031734910337806177,31.829891286470403,C,False,QUALITY_FILTER,5987.294615723611,6004.331739888781,2.8297834791901897,5
2017-10-05 15:30:00+00:00,L,Long,6032.144615791485,1.7250811473732348,0.0003731188590854195,0.0019931899343907933,0.0018683828108780887,0.38335136608294107,1.7250811473732348,1.075081147373235,0.0042346916043543015,35.979870252493924,C,False,QUALITY_FILTER,6027.253541529357,6046.81783857787,2.8517708051145965,7
2017-10-06 15:30:00+00:00,L,Long,6054.25,0.9642559585324192,-0.0007427274602846978,0.00045443278525980624,0.0011161637040100203,0.6071241220389305,0.9642559585324191,0.31425595853241917,0.0008278690289851287,22.656995745261955,C,False,QUALITY_FILTER,6048.999837991455,6070.000486025635,2.480875824174754,9
2017-10-06 15:45:00+00:00,RS,Short,6058.0,0.9503637727181776,-0.0006193995953256425,0.00012378791004741263,-0.0010741138560688146,0.5117343391559417,-0.9503637727181775,0.3003637727181776,-0.0015697255413470446,13.280853937731848,C,False,QUALITY_FILTER,6063.12961472222,6045.17596319445,-1.1413361508145028,10
2017-10-06 20:00:00+00:00,L,Long,6064.5,0.9501027459721508,-0.0004944375772558685,0.0004949269982676974,0.0009077405512460946,0.5182378614393549,0.9501027459721507,0.3001027459721508,0.0009082299722579236,22.971258886009814,C,False,QUALITY_FILTER,6060.1583643006115,6077.524907098166,-1.1669877553526933,11
2017-10-09 16:30:00+00:00,S,Short,6072.25,0.9422458131571724,-4.117259552050001e-05,0.0006171823568137391,0.0006994157821114122,0.05542622430336308,0.9422458131571724,0.29224581315717235,0.0012754255434046513,24.40723050054836,C,False,QUALITY_FILTER,6075.632875206757,6062.101374379729,-0.6577245283999928,13
2017-10-09 19:30:00+00:00,RL,Long,6059.0,1.0682132607089003,-0.0004948861761794321,0.0004953764861295173,-0.0009069173056310831,0.582661778568491,-1.0682132607089003,0.4182132607089003,-0.0009064269956809978,15.874779241805134,C,False,QUALITY_FILTER,6055.138411540349,6068.653971149129,-1.1877465730943024,15
2017-10-10 15:15:00+00:00,RS,Short,6061.908891035345,1.6361663479982322,0.0004951720722951025,0.0014017150395778666,0.0017309594460930278,0.5064324410470719,1.6361663479982322,0.9861663479982322,0.003627846557965997,33.60671455697296,C,False,QUALITY_FILTER,6066.72197132491,6049.876190311432,2.3493688124065035,17
2017-10-10 16:45:00+00:00,L,Long,6055.0,1.4307329737048475,-0.0002889338341519609,0.0011574074074074403,0.0017371163867978545,0.2384554956174746,1.4307329737048475,0.7807329737048475,0.002605589960053334,29.60903165248403,C,False,QUALITY_FILTER,6049.495828260945,6071.512515217164,-0.2225584625763007,18
2017-10-11 16:00:00+00:00,RL,Long,6069.5319569253825,0.8671188495141074,8.238250195669039e-05,0.00045327179825283004,0.0007419314949919098,0.0,0.8671188495141074,0.21711884951410743,0.0012775857952014302,24.415678478966896,C,False,QUALITY_FILTER,6065.639756909328,6079.262456965519,0.5120608053020346,20
