window_id,timestamp,signal_type,entry,quality_score,confidence,accepted,stop,target
A+_CONT_L,2018-02-06 17:15:00+00:00,L,6523.4107079993155,100.0,A+,True,6484.871848718368,6639.0272858421595
A+_CONT_L,2018-02-06 19:45:00+00:00,L,6533.459863220132,100.0,A+,True,6497.136708651351,6642.429326926475
A+_CONT_S,2017-12-04 15:45:00+00:00,S,6311.336477690327,86.20287197248784,A+,True,6321.435115204122,6281.040565148945
A+_CONT_S,2018-01-24 16:15:00+00:00,S,6930.8609147635525,63.468574868230164,A+,True,6939.851865517383,6903.888062502061
A_REV,2017-12-05 16:45:00+00:00,RS,6327.38445847087,48.753832162074744,A,True,6337.818586977306,6301.299137204781
A_REV,2018-01-16 20:15:00+00:00,RL,6738.335800052431,49.52209328755936,A,True,6727.278442544424,6765.979193822448
B_ACCEPTED,2017-10-05 18:45:00+00:00,L,6055.866750467382,37.038322391948874,B,True,6051.183131140972,6069.917608446612
B_ACCEPTED,2017-10-09 19:00:00+00:00,S,6064.047120392457,41.97559517484841,B,True,6067.736817659272,6052.978028592013
QUALITY_REJECTED,2024-01-10 16:15:00+00:00,RS,16654.80624754911,30.558694173016438,C,False,16672.96363068923,16609.412789698807
QUALITY_REJECTED,2024-01-16 21:00:00+00:00,L,16752.0,34.04001681115118,C,False,16728.23273998712,16823.301780038637
