trade_id,direction,entry,stop_time,stop_price,later_2p5_time,later_max_mfe,minutes_stop_to_2p5,mfe_c,median_post_stop_mfe
P60-000001,SHORT,5992.75,124,5993.214285714285,129,7.538461538461538,5,0.0,7.000000000000001
P60-000003,LONG,5991.0,328,5990.678571428572,338,6.222222222222221,10,2.333333333333333,7.000000000000001
P60-000008,SHORT,5989.5,502,5989.714285714285,514,18.666666666666668,12,0.0,7.000000000000001
P60-000014,LONG,5981.75,1276,5980.196428571428,1292,3.057471264367816,16,0.16091954022988506,7.000000000000001
P60-000015,SHORT,5981.75,1474,5982.089285714285,1477,8.842105263157894,3,1.4736842105263157,7.000000000000001
P60-000017,LONG,5994.0,1765,5993.660714285715,1805,2.9473684210526314,40,0.0,7.000000000000001
P60-000019,SHORT,5988.25,2021,5988.875,2049,8.4,28,0.8,7.000000000000001
P60-000021,LONG,5991.75,2239,5991.125,2258,20.8,19,0.0,7.000000000000001
P60-000023,LONG,5992.0,2391,5989.785714285715,2418,3.2741935483870965,27,2.032258064516129,7.000000000000001
P60-000026,SHORT,5994.0,2792,5994.25,2807,10.0,15,1.0,7.000000000000001
P60-000027,SHORT,5993.25,2851,5993.517857142857,2856,4.666666666666667,5,0.9333333333333333,7.000000000000001
P60-000028,LONG,5996.25,2964,5995.910714285715,3011,3.6842105263157894,47,0.0,7.000000000000001
P60-000030,LONG,5996.0,3067,5995.875,3077,6.0,10,0.0,7.000000000000001
P60-000032,LONG,5996.0,3184,5995.785714285715,3191,5.833333333333334,7,0.0,7.000000000000001
P60-000034,SHORT,5994.75,3272,5995.285714285715,3320,9.333333333333334,48,0.0,7.000000000000001
P60-000037,SHORT,5985.0,3550,5985.785714285715,3598,7.0,48,0.0,7.000000000000001
P60-000038,SHORT,5985.5,3580,5986.267857142857,3598,7.813953488372093,18,0.3255813953488372,7.000000000000001
P60-000039,LONG,5992.5,3598,5990.0,3704,4.8,106,1.7,7.000000000000001
P60-000041,SHORT,5988.25,3640,5990.607142857143,3654,3.1818181818181817,14,0.0,7.000000000000001
P60-000043,LONG,6003.75,3942,6003.017857142857,4006,3.414634146341464,64,0.0,7.000000000000001
P60-000047,SHORT,6001.75,4166,6002.035714285715,4185,2.625,19,0.0,7.000000000000001
P60-000048,LONG,6003.75,4240,6003.517857142857,4247,16.153846153846153,7,2.1538461538461537,7.000000000000001
P60-000051,SHORT,6005.0,4387,6005.160714285715,4405,15.555555555555554,18,1.5555555555555554,7.000000000000001
P60-000052,LONG,6005.0,4507,6004.607142857143,4526,8.90909090909091,19,0.0,7.000000000000001
P60-000057,LONG,6062.75,5271,6061.285714285715,5286,3.5853658536585367,15,0.17073170731707318,7.000000000000001
P60-000058,LONG,6063.5,5439,6063.25,5445,13.0,6,2.0,7.000000000000001
P60-000059,LONG,6064.75,5496,6064.517857142857,5511,21.538461538461537,15,1.0769230769230769,7.000000000000001
P60-000061,LONG,6066.5,5701,6066.392857142857,5731,11.666666666666668,30,0.0,7.000000000000001
P60-000063,LONG,6066.75,5733,6066.535714285715,5742,9.333333333333334,9,1.1666666666666667,7.000000000000001
P60-000064,LONG,6066.5,5795,6066.160714285715,5815,6.63157894736842,20,0.0,7.000000000000001
P60-000067,SHORT,6064.0,5932,6064.428571428572,5948,4.083333333333334,16,0.0,7.000000000000001
P60-000070,SHORT,6054.75,6350,6056.160714285715,6351,3.012658227848101,1,0.35443037974683544,7.000000000000001
P60-000071,LONG,6056.25,6370,6054.446428571428,6394,6.792079207920792,24,1.386138613861386,7.000000000000001
P60-000072,LONG,6057.75,6391,6056.089285714285,6398,6.473118279569892,7,0.45161290322580644,7.000000000000001
P60-000073,LONG,6061.75,6493,6060.678571428572,6495,7.0,2,0.23333333333333334,7.000000000000001
P60-000074,SHORT,6059.5,6572,6060.517857142857,6574,2.7017543859649122,2,0.0,7.000000000000001
P60-000075,LONG,6065.0,6652,6064.232142857143,6654,6.511627906976744,2,1.9534883720930232,7.000000000000001
P60-000076,LONG,6067.25,6730,6066.982142857143,6747,33.6,17,0.9333333333333333,7.000000000000001
P60-000077,LONG,6069.25,6763,6068.982142857143,6771,26.133333333333333,8,0.9333333333333333,7.000000000000001
P60-000081,SHORT,6075.0,7001,6075.160714285715,7023,15.555555555555554,22,0.0,7.000000000000001
P60-000083,SHORT,6072.5,7134,6072.803571428572,7162,7.411764705882353,28,0.0,7.000000000000001
P60-000086,LONG,6075.5,7345,6075.035714285715,7363,8.615384615384615,18,1.0769230769230769,7.000000000000001
P60-000090,LONG,6080.5,7535,6079.732142857143,7598,4.558139534883721,63,0.0,7.000000000000001
P60-000096,SHORT,6062.5,7981,6062.982142857143,7994,2.5925925925925926,13,0.0,7.000000000000001
P60-000097,LONG,6063.5,8028,6063.392857142857,8035,74.66666666666667,7,0.0,7.000000000000001
P60-000098,LONG,6064.5,8083,6064.375,8087,64.0,4,0.0,7.000000000000001
P60-000101,SHORT,6069.0,8207,6069.517857142857,8219,5.310344827586206,12,0.0,7.000000000000001
P60-000103,LONG,6069.0,8285,6068.678571428572,8378,5.444444444444444,93,0.7777777777777777,7.000000000000001
P60-000106,LONG,6071.5,8451,6071.125,8484,11.333333333333334,33,0.0,7.000000000000001
P60-000108,LONG,6076.0,8795,6075.535714285715,8802,26.923076923076923,7,1.6153846153846154,7.000000000000001
P60-000110,SHORT,6058.0,8983,6060.571428571428,9030,7.388888888888888,47,1.0694444444444444,7.000000000000001
P60-000113,LONG,6063.25,9268,6061.910714285715,9273,3.9200000000000004,5,1.6800000000000002,7.000000000000001
P60-000114,LONG,6064.5,9377,6064.339285714285,9387,20.22222222222222,10,0.0,7.000000000000001
P60-000119,SHORT,6058.0,9974,6058.464285714285,10091,3.769230769230769,117,0.0,7.000000000000001
P60-000123,LONG,6074.5,10522,6073.267857142857,10536,9.333333333333332,14,0.20289855072463767,7.000000000000001
P60-000125,SHORT,6080.75,10748,6081.142857142857,10754,6.363636363636364,6,0.0,7.000000000000001
P60-000129,LONG,6082.75,11549,6079.625,11646,3.2,97,0.08,7.000000000000001
P60-000130,LONG,6087.0,11623,6085.696428571428,11646,7.671232876712328,23,0.0,7.000000000000001
P60-000133,SHORT,6074.5,11881,6076.107142857143,11895,4.977777777777778,14,0.6222222222222222,7.000000000000001
P60-000134,SHORT,6072.0,11984,6072.339285714285,12059,10.31578947368421,75,1.4736842105263157,7.000000000000001
P60-000135,SHORT,6073.0,12024,6073.142857142857,12029,31.5,5,0.0,7.000000000000001
P60-000136,LONG,6075.25,12192,6074.821428571428,12225,11.666666666666668,33,0.0,7.000000000000001
P60-000137,LONG,6075.75,12221,6075.535714285715,12225,21.0,4,1.1666666666666667,7.000000000000001
P60-000143,LONG,6079.25,12695,6078.625,12714,30.8,19,0.0,7.000000000000001
P60-000145,LONG,6097.25,12863,6096.339285714285,12914,6.588235294117647,51,1.0980392156862746,7.000000000000001
P60-000147,LONG,6096.75,12976,6095.25,13016,4.833333333333333,40,0.8333333333333334,7.000000000000001
P60-000148,LONG,6101.5,13049,6100.660714285715,13089,2.978723404255319,40,0.5957446808510638,7.000000000000001
P60-000150,LONG,6100.5,13066,6099.107142857143,13089,2.5128205128205128,23,0.5384615384615384,7.000000000000001
P60-000153,LONG,6106.25,13400,6106.089285714285,13445,21.777777777777775,45,1.5555555555555554,7.000000000000001
P60-000154,LONG,6108.25,13458,6107.821428571428,13463,15.75,5,0.5833333333333334,7.000000000000001
P60-000156,SHORT,6109.75,13706,6109.982142857143,13711,17.23076923076923,5,1.0769230769230769,7.000000000000001
P60-000159,SHORT,6106.75,13940,6107.196428571428,13971,2.8,31,0.0,7.000000000000001
P60-000164,LONG,6109.5,14521,6108.928571428572,14528,21.0,7,0.4375,7.000000000000001
P60-000165,LONG,6114.75,14585,6113.785714285715,14594,7.0,9,1.5555555555555556,7.000000000000001
P60-000166,LONG,6118.5,14654,6117.785714285715,14700,8.4,46,0.0,7.000000000000001
P60-000167,LONG,6121.25,14713,6120.839285714285,14748,9.130434782608695,35,1.2173913043478262,7.000000000000001
P60-000168,LONG,6124.25,14785,6124.017857142857,14798,3.230769230769231,13,0.0,7.000000000000001
P60-000176,LONG,6116.0,15763,6115.035714285715,15847,3.888888888888889,84,1.5555555555555556,7.000000000000001
P60-000177,LONG,6116.0,15782,6114.696428571428,15859,5.36986301369863,77,0.0,7.000000000000001
P60-000179,LONG,6124.0,16024,6123.625,16049,12.666666666666666,25,0.6666666666666666,7.000000000000001
P60-000186,LONG,6128.25,16639,6127.642857142857,16675,5.352941176470589,36,0.0,7.000000000000001
P60-000187,SHORT,6126.25,16735,6126.607142857143,16828,37.1,93,0.0,7.000000000000001
P60-000190,SHORT,6119.5,17241,6119.892857142857,17284,8.272727272727273,43,0.0,7.000000000000001
