direction,N,trades_per_day,AvgR,median_R,PF,TotalR,MaxDD,win_rate,MAE,MFE
LONG,278649,152.68438356164384,-0.25468720708823794,-1.134660033167621,0.7159437182572707,-70968.33556793042,70988.46948177544,0.28635667093727235,1.2651168533123003,1.4852534063704217
SHORT,263813,144.55506849315069,-0.28196580771705365,-1.1307568438003628,0.6883461884978764,-74386.24563125908,74397.1827366268,0.2771356983924219,1.272114371282028,1.4732872049823587
