feature_a,feature_b,correlation
m15_range_pos_8,m5_range_pos_4,0.6315178675631974
mom_5,m5_range_pos_12,0.6180613609509689
m15_range_pos_20,m5_range_pos_4,0.6098297316591891
dist_swing_high_atr,mom_1,0.6056992631735466
dist_swing_high_atr,m5_range_pos_8,0.6048171234999483
m15_range_pos_4,m5_range_pos_4,0.6028356064677596
mom_5,m5_range_pos_8,0.6026189884852164
mom_5,m5_mom,0.5930930681135996
dist_swing_low_atr,m5_range_pos_8,-0.5898885570461625
dist_swing_low_atr,mom_1,-0.5838442328034384
dist_swing_high_atr,m15_range_pos_20,0.5775717299337483
dist_swing_low_atr,m15_range_pos_20,-0.5702130244968973
m5_mom,m5_range_pos_4,0.5670335748022508
mom_10,m15_range_pos_20,0.5613891300482695
mom_5,m5_range_pos_4,0.5493598141373548
m5_mom,m5_range_pos_8,0.5458197805213706
break_dist_atr,mom_1,0.5440893171901628
dist_swing_high_atr,m15_range_pos_12,0.540926492818027
mom_3,m5_range_pos_12,0.539525999076539
mom_10,m15_range_pos_12,0.5379381958750474
mom_3,m5_range_pos_8,0.5342010998767199
dist_swing_low_atr,m15_range_pos_12,-0.5328637849622508
close_loc,mom_1,0.5310264463867619
m5_mom,m5_range_pos_12,0.5282005345346088
mom_10,m5_range_pos_4,0.5225044122245746
mom_10,m5_mom,0.5150272354131121
mom_3,m5_range_pos_4,0.5129609593598328
mom_10,m15_range_pos_8,0.5052470548595376
dist_swing_high_atr,m15_range_pos_8,0.4986463127191017
dist_swing_high_atr,m5_range_pos_4,0.49608685520687895
dist_swing_low_atr,m15_range_pos_8,-0.4898202122769922
mom_5,m15_range_pos_20,0.4880300028633172
dist_swing_low_atr,m5_range_pos_4,-0.48185690283513966
ext_30min_atr,ext_60min_atr,0.4735016196129775
mom_5,m15_range_pos_12,0.4733981584335395
dist_swing_high_atr,m5_mom,0.47225431790183825
core_b1_active,core_authorized,0.457911979067414
dist_swing_low_atr,m5_mom,-0.45657961748737524
mom_5,m15_range_pos_8,0.45271606822609
close_loc,m5_range_pos_4,0.4480570458624716
mom_10,m15_range_pos_4,0.44221864041409664
break_dist_atr,mom_3,0.43617154519652007
close_loc,mom_3,0.4327582035304752
dist_swing_high_atr,m15_range_pos_4,0.4279992264290426
dist_swing_low_atr,m15_range_pos_4,-0.4191494244849123
close_loc,m5_range_pos_8,0.41259427648609487
atr_ratio,m15_body_atr,0.41098901693879714
mom_5,m15_range_pos_4,0.4092727416649576
mom_3,m15_range_pos_20,0.4085739122440003
mom_3,m15_range_pos_12,0.40126711931021086
m15_mom_4,m15_range_pos_8,0.3928937928934297
m15_mom_4,m15_range_pos_12,0.3890282782050301
m15_mom_4,m15_range_pos_4,0.38836010521026126
close_loc,m5_range_pos_12,0.38728858046482584
mom_3,m15_range_pos_8,0.38705647483305017
break_dist_atr,mom_5,0.3851150393534367
close_loc,mom_5,0.3850449220381791
m5_mom,m15_range_pos_8,0.37447760773101657
m15_mom_4,m15_range_pos_20,0.3730390901438854
m5_mom,m15_range_pos_4,0.3706784758685939
m5_mom,m15_range_pos_12,0.37054395149916
m5_mom,m15_range_pos_20,0.3672269894371614
mom_1,m5_range_pos_8,0.36482999249515896
mom_1,m5_range_pos_4,0.36479733389859453
mom_1,m5_range_pos_12,0.3600194265840151
mom_3,m15_range_pos_4,0.35692093121352997
break_dist_atr,ext_30min_atr,0.35590815724999514
break_dist_atr,m5_mom,0.34971090299381336
swing_high,atr,0.3341104125744914
swing_low,atr,0.33143980355606384
close_loc,mom_10,0.3286615043837284
m5_mom,m15_mom_4,0.327477843006432
break_dist_atr,body_atr,0.3208349252165898
break_dist_atr,mom_10,0.31710853426833924
close_loc,m5_mom,0.3165048023370821
break_dist_atr,body_vs_avg,0.30380046949909234
atr,atr_ratio,0.300205311345829
dist_swing_high_atr,close_loc,0.29896475640494374
mom_1,ext_30min_atr,0.29576302547191435
dist_swing_low_atr,close_loc,-0.2861163557540158
dist_swing_high_atr,break_dist_atr,0.2832072252216478
close_loc,m15_range_pos_8,0.2665652002282699
m15_mom_4,m5_range_pos_4,0.2644966393249362
close_loc,m15_range_pos_12,0.263494142531138
dist_swing_low_atr,break_dist_atr,-0.26296846382851213
m15_mom_4,m5_range_pos_8,0.26068628154667506
close_loc,m15_range_pos_4,0.2591627784035912
dist_swing_low_atr,ext_30min_atr,-0.25873580755381226
mom_1,m15_range_pos_12,0.25518342544755246
m15_mom_4,m5_range_pos_12,0.2546299825026927
mom_1,m15_range_pos_20,0.2545896348294798
mom_3,ext_30min_atr,0.25408428188515136
mom_1,m15_range_pos_8,0.2496610028104374
break_dist_atr,ext_60min_atr,0.24423915628382173
close_loc,m15_range_pos_20,0.24414521092109237
break_dist_atr,range_atr,0.23837967424341436
mom_1,m15_range_pos_4,0.23421490644959214
atr,m15_body_atr,0.23292179600679674
mom_5,ext_30min_atr,0.23254016941788536
mom_3,m15_mom_4,0.2324269083134072
mom_5,m15_mom_4,0.21961321468963627
atr_ratio,session_minute,-0.21894740257940817
mom_10,ext_30min_atr,0.21773618315986845
mtf_1m_5m_align,mtf_1m_15m_align,0.20386446975567482
mom_1,ext_60min_atr,0.2014852302929015
m5_mom,ext_30min_atr,0.1997440416634404
m15_body_atr,session_minute,-0.19548424036975987
mom_10,m15_mom_4,0.1904778555916519
mom_1,m15_mom_4,0.18958384178159235
mom_3,ext_60min_atr,0.17785826606381833
dist_swing_high_atr,m15_mom_4,0.17748902840395017
ext_30min_atr,is_reversal,-0.17703895186357696
dist_swing_low_atr,ext_60min_atr,-0.17597703449877478
dist_swing_high_atr,ext_30min_atr,0.1736605747997078
dist_swing_low_atr,m15_mom_4,-0.17082114022992967
range_atr,mtf_1m_15m_align,0.16792452301400887
mtf_1m_15m_align,countertrend_15m,-0.1660155740174426
mom_5,ext_60min_atr,0.16594787330794702
mom_10,ext_60min_atr,0.15734465080326562
body_vs_avg,mtf_1m_5m_align,0.15182264991974004
body_atr,mtf_1m_5m_align,0.15100283778767074
swing_low,min_since_p44,0.14952595459969356
swing_high,min_since_p44,0.14902546379535792
range_atr,m15_body_atr,0.14385176474524813
body_vs_avg,m15_body_atr,0.14306522976271463
range_atr,mtf_1m_5m_align,0.14304208301617946
close_loc,m15_mom_4,0.14295100791130605
range_atr,min_since_prev_event,0.13598033224383707
m5_mom,ext_60min_atr,0.13584678886191276
body_vs_avg,mtf_1m_15m_align,0.13376147203527072
body_atr,mtf_1m_15m_align,0.13266782991932227
dist_swing_high_atr,ext_60min_atr,0.13082932586096668
atr,min_since_core_entry,-0.13019279660168184
atr,core_authorized,0.128092439822574
m15_body_atr,is_reversal,-0.12403920078023387
body_atr,m15_body_atr,0.12147392124526525
core_authorized,min_since_core_entry,-0.1173592401299745
core_authorized,min_since_p44,-0.11533227134133818
min_since_p44,dow,-0.11385367242666436
min_since_core_entry,dow,-0.10990494348534215
atr_ratio,ext_60min_atr,-0.10881848452110975
body_vs_avg,atr_ratio,0.10424676797763431
atr,min_since_p44,-0.10231189371570876
dist_swing_low_atr,atr_ratio,0.10169193423400227
atr,core_b1_active,0.0922157807457859
range_atr,atr_ratio,0.09154475500118918
ext_60min_atr,core_authorized,0.0908800363627413
min_since_p44,session_minute,-0.09076592727671247
session_minute,dow,0.08746217365277743
body_vs_avg,min_since_prev_event,0.08438806074059477
m15_body_atr,ext_30min_atr,0.08101004134457622
atr,session_minute,-0.08054669082718083
range_atr,atr,-0.08047234737195233
break_dist_atr,min_since_prev_event,0.07696716724122357
body_atr,atr,-0.07686175169651357
range_atr,ext_30min_atr,0.07651479850154104
core_b1_active,min_since_p44,-0.07555716418010187
break_dist_atr,mtf_1m_5m_align,0.07381611243301861
m15_body_atr,countertrend_15m,-0.07249771926384017
body_atr,min_since_prev_event,0.07229166039711242
m15_body_atr,mtf_1m_5m_align,0.07196945905688644
ext_60min_atr,is_reversal,-0.06759502745191277
body_atr,ext_30min_atr,0.06666291846989904
ext_60min_atr,session_minute,0.06474276443602399
m15_body_atr,mtf_1m_15m_align,0.06462812773593266
min_since_core_entry,session_minute,-0.06439530841387113
atr_ratio,m15_range_pos_20,-0.06414413844417036
swing_high,body_atr,-0.06298920012363174
swing_low,min_since_core_entry,0.06283627185384665
swing_low,body_atr,-0.06271456763314529
body_atr,atr_ratio,0.062502580847473
swing_high,min_since_core_entry,0.06228649484100747
mom_10,atr_ratio,-0.05804371326544446
dist_swing_low_atr,body_vs_avg,0.05656944867253311
dist_swing_low_atr,range_atr,0.05392647024612082
mtf_1m_5m_align,is_reversal,-0.053703880299951566
atr_ratio,min_since_p44,0.05322471800460251
range_atr,is_reversal,-0.05312834165438143
break_dist_atr,mtf_1m_15m_align,0.052144384605454876
atr_ratio,m5_range_pos_12,-0.05189170355370634
atr_ratio,m15_range_pos_12,-0.0504903080106981
dow,min_since_prev_event,0.05029765105844785
swing_high,range_atr,-0.050294402426821726
swing_low,range_atr,-0.0499441197704767
core_b1_active,min_since_core_entry,-0.04852869142733016
range_atr,m5_range_pos_12,-0.0474320216399299
ext_30min_atr,core_b1_active,0.047268527225358924
break_dist_atr,atr,-0.04654610320344399
swing_high,phase44_active,0.04636152030697402
swing_low,phase44_active,0.046317957179155815
dist_swing_low_atr,atr,0.04593185476704746
ext_60min_atr,core_b1_active,0.04571669853383558
range_atr,m5_range_pos_8,-0.045189181933418886
m15_body_atr,m15_range_pos_20,-0.045030392753778015
swing_high,body_vs_avg,-0.04413674900992135
swing_low,body_vs_avg,-0.04388551829206704
dist_swing_low_atr,m15_body_atr,0.04366401063057504
atr_ratio,m5_range_pos_8,-0.043502717553113114
mom_5,atr_ratio,-0.0433646756584358
range_atr,ext_60min_atr,0.04317116528133904
countertrend_15m,is_reversal,0.04310668770821396
atr_ratio,m15_range_pos_8,-0.04216874191692142
body_vs_avg,atr,-0.04196336684806346
dist_swing_high_atr,atr_ratio,-0.04162827781970097
body_atr,ext_60min_atr,0.04063648477925443
atr_ratio,is_reversal,-0.040433399507982755
body_vs_avg,ext_30min_atr,0.04043119609785079
dist_swing_low_atr,body_atr,0.03983207510209849
m15_body_atr,min_since_p44,0.03956626757030525
m15_body_atr,m15_range_pos_12,-0.039512718656812676
mtf_1m_5m_align,countertrend_15m,-0.03940756539682249
body_vs_avg,m5_range_pos_12,-0.03907118112720051
range_atr,m5_range_pos_4,-0.038295111906490015
range_atr,mom_10,-0.03720619212477824
atr_ratio,min_since_core_entry,0.037168302066550044
range_atr,m15_range_pos_20,-0.037027250909993495
range_atr,m15_range_pos_12,-0.03661177342637876
m15_body_atr,m15_range_pos_8,-0.036589576237815585
mtf_1m_15m_align,min_since_prev_event,0.03611241475203863
body_vs_avg,m5_range_pos_8,-0.03605969955328379
atr,ext_60min_atr,-0.0360292159139489
body_atr,m5_range_pos_12,-0.03554550531665549
range_atr,m15_range_pos_8,-0.03471492767677042
body_vs_avg,mom_10,-0.03337995526095048
body_atr,m5_range_pos_8,-0.033293406716653234
ext_30min_atr,m15_range_pos_20,0.03327371714341307
ext_60min_atr,m15_range_pos_20,0.03316548217423957
ext_30min_atr,core_authorized,0.03304831875925227
break_dist_atr,is_reversal,0.03282184829459684
m15_body_atr,m15_range_pos_4,-0.032765418258349596
atr_ratio,m15_range_pos_4,-0.03250490085092868
mom_3,atr_ratio,-0.03245356809108637
range_atr,mom_5,-0.03219998582790398
ext_30min_atr,m5_range_pos_12,0.03203256441793374
