feature,bin_lo,bin_hi,N,AvgR,PF,win_rate,MFE,MAE,opp_rate
swing_high,5849.25,6488.5,25184,-1.2045097760064882,0.25658769269601844,0.24872935196950444,1.4596541114723638,1.3892765355354932,0.0991502541296061
swing_high,6488.5,6734.0,25216,-0.5854327461408293,0.4809566429872751,0.2712166878172589,1.4746358674152096,1.3135077698447952,0.10636104060913705
swing_high,6734.0,6937.0,25186,-0.5741048420730188,0.4847186088867479,0.27455729373461446,1.4667525449335674,1.3013184296495606,0.109187643929167
swing_high,6937.0,7125.25,25261,-0.6055215931892336,0.46690580712425495,0.273623371996358,1.4542202492282037,1.3090487353212468,0.10961561300027711
swing_high,7125.25,7378.5,25178,-0.5878393081048405,0.47887647547913836,0.2773850186670903,1.4564846622817806,1.2963240009735981,0.10969894352212249
swing_high,7378.5,7559.5,25233,-0.6141241747337328,0.462076671122794,0.2752348115562953,1.4846993926730843,1.2921177667446129,0.10949946498632743
swing_high,7559.5,7741.0,25202,-0.6330523223261324,0.45023237376904457,0.26628838981033254,1.480795551523698,1.3175564042996843,0.10725339258788985
swing_high,7741.0,7984.5,25184,-0.6011368718834501,0.47203699412298866,0.28057496823379924,1.5023269317258157,1.3316096882529962,0.11423919949174079
swing_high,7984.5,8740.25,25203,-0.632564535207149,0.4546211923568575,0.27314208625957226,1.5703497800976842,1.3167159529128858,0.11145498551759711
swing_high,8740.25,9760.5,30946,-0.3735524997899172,0.6162491524822729,0.28029470690880887,1.4930534194531013,1.2720881579705945,0.11271246687778712
swing_low,5820.5,6477.5,25176,-1.1911201602629313,0.25950586279157845,0.24853034636161422,1.4546246048936926,1.3872503019517561,0.09930092151255164
swing_low,6477.5,6724.0,25207,-0.5992798304221136,0.4735405648980521,0.26968699170865235,1.4740231286810719,1.3158522542013644,0.10584361486888563
swing_low,6724.0,6928.25,25213,-0.5545548803405659,0.4967145777542822,0.2773172569706104,1.4708201978528488,1.2968084116010046,0.11022091778051006
swing_low,6928.25,7113.0,25252,-0.6107921808194341,0.4645482341063666,0.27376049421827975,1.4548874093542412,1.3075078120327084,0.11024869317281799
swing_low,7113.0,7368.25,25227,-0.5841602123023917,0.4805816263379245,0.2768065961073453,1.4586247672410182,1.2979263526335274,0.10885162722479882
swing_low,7368.25,7545.25,25198,-0.625804960374923,0.4553244376072594,0.27406937058496705,1.4795590003558925,1.293712699896398,0.10925470275418685
swing_low,7545.25,7732.0,25210,-0.6320344689565724,0.45051344356486983,0.2662832209440698,1.4799136020549786,1.315928088940966,0.10785402618008727
swing_low,7732.0,7973.5,25206,-0.6030579471099332,0.4718825127530888,0.2817583115131318,1.507744569711437,1.333739922008913,0.11429818297230818
swing_low,7973.5,8730.25,25197,-0.619266340424886,0.46072622358560295,0.2733261896257491,1.5688343485848837,1.3141304420724669,0.11068778029130452
swing_low,8730.25,9756.25,31093,-0.38651099212406165,0.607429246430993,0.2800630366963625,1.494499242003118,1.2745599290019263,0.1133052455536616
dist_swing_high_atr,-47.03448275862069,-5.2,68152,-0.4828742225669833,0.540256210512436,0.2670207770865125,1.4761613407518164,1.304854999555478,0.10046660406150956
dist_swing_high_atr,-5.2,-4.041237113402062,72324,-0.43025105195672186,0.5733996527730089,0.2713898567557104,1.4688946637024392,1.286471146832324,0.1012941762070682
dist_swing_high_atr,-4.041237113402062,-3.2199999999999998,75454,-0.40350209767200057,0.5918438471011628,0.2721790759933204,1.4525963575539647,1.2812721863866505,0.10332122882816021
dist_swing_high_atr,-3.2199999999999998,-2.382978723404255,79710,-0.36179317811723477,0.6241305938994767,0.27763141387529794,1.4612200775071018,1.2916338471493094,0.10787855977919959
dist_swing_high_atr,-2.382978723404255,-1.129032258064516,78869,-0.34521808514430186,0.6423467636430182,0.28732455083746467,1.482335645584528,1.285269176337124,0.11699146686277244
dist_swing_high_atr,-1.129032258064516,-0.28426395939086296,78199,-0.3529237457118208,0.636507721781673,0.2891597079246538,1.4952839295873244,1.2784395190455373,0.11743116919653704
dist_swing_high_atr,-0.28426395939086296,0.24347826086956523,87310,-0.28995397489235886,0.6859774800857296,0.2875730156912152,1.4692458306623937,1.2516955190914643,0.12118886725461
dist_swing_high_atr,0.24347826086956523,0.6306306306306306,72629,-0.4045236049140211,0.5947207293754603,0.28130636522601166,1.4775518045842837,1.2819050289792424,0.11551859450081924
dist_swing_high_atr,0.6306306306306306,1.4482758620689653,69727,-0.4424497379079834,0.5718239861981218,0.2796334275101467,1.4940090256272212,1.2850707937306376,0.11530683953131499
dist_swing_high_atr,1.4482758620689653,65.33333333333333,73760,-0.44044127870079014,0.5700488894201293,0.2730748373101952,1.5181906202407156,1.298285920996132,0.11742136659436009
