DECILE,N,AVGR,PF,WIN RATE,OPPORTUNITY RATE,MAE,MFE,CORE-UNAUTH AVGR
1,54248,-0.9569915912533353,0.1633175053698029,0.08451924494912255,0.006267512166347146,1.5867778264839743,0.9183128956943486,-0.9588348970507755
2,54245,-0.7718419400205938,0.2988554784530432,0.1499124343257443,0.053608627523274034,1.480238361761876,1.051472442986166,-0.7723003217463528
3,54246,-0.707941848510535,0.34339444601197866,0.16935810935368506,0.0589720901080264,1.452119134713452,1.170816131727568,-0.7079245813661013
4,54247,-0.588446300935145,0.42505373950937614,0.1982413774033587,0.06645528785001936,1.3797855681497837,1.2449324913937825,-0.5889564985882035
5,54245,-0.4716500458779971,0.5177939827721083,0.22979076412572588,0.0786063231634252,1.32158107987022,1.3457405739724575,-0.4712962457059121
6,54246,-0.3460352788664711,0.6267670330991623,0.26307930538657226,0.08749032186705011,1.2671834188556441,1.451228133283663,-0.3474580936302733
7,54246,-0.15527216789543982,0.8176487486856902,0.3140508055893522,0.10950116137595399,1.1957689357693395,1.595197295024611,-0.15259982160856303
8,54246,0.09173312272823185,1.121044268194219,0.3795487224864506,0.14773439516277698,1.1012866911089476,1.7663373346923152,0.09309361643951047
9,54246,0.4129598534254695,1.644014758483308,0.4634074401799211,0.20219002322751908,1.003724233061145,1.9526461827889763,0.41208442194087885
10,54247,0.8139497113561064,2.616489055453697,0.5668147547329806,0.3233358526738806,0.8967319340904415,2.2976554897697947,0.8076213578383081
