regime,N,trades_per_day,AvgR,median_R,PF,TotalR,MaxDD,win_rate,MAE,MFE
LOW,176148,96.51945205479453,-0.3505612067673424,-1.170767613039008,0.6340743033918117,-61750.65544965383,61771.125135514216,0.27908349796761817,1.3193912418819493,1.504905764041972
MID,183797,100.71068493150685,-0.26411143734764003,-1.1353333333333753,0.704776964537495,-48542.88985018419,48567.86133643083,0.2793897615303841,1.2468055224573515,1.4519991849980776
HIGH,182517,100.00931506849315,-0.19209737120022516,-1.1025252525253515,0.774297093038796,-35061.0358993515,35062.891562907054,0.28706367078135187,1.2412904639213298,1.482478120449962
