year,N,trades_per_day,AvgR,median_R,PF,TotalR,MaxDD,win_rate,MAE,MFE
2020,104956,288.34065934065933,-0.2614645373226183,-1.1353333333333753,0.7088364968831198,-27442.27197923273,27452.026241767973,0.2832901406303594,1.2667558745744816,1.5149128818831223
2021,105392,291.94459833795014,-0.30071810294508544,-1.158284600389816,0.6753583151440714,-31693.282305588444,31696.374974600647,0.28341809625018977,1.2632172264715609,1.4843852961858213
2022,112126,310.5983379501385,-0.19424150704973656,-1.1011838006231507,0.7708417866246364,-21779.523219458762,21823.47027919565,0.2826017159267253,1.2618240766855573,1.4713809061253724
2023,109809,305.025,-0.3285133511691455,-1.1578231292517007,0.6497369678776546,-36073.722578532695,36091.78711692443,0.27700825979655586,1.2758455291944455,1.4508238146523398
2024,110179,302.68956043956047,-0.2574517931400437,-1.1291964996024697,0.712354475653698,-28365.78111637687,28411.606606714326,0.28314833135170947,1.2747858216879535,1.4776100212364356
