feature,good_mean,bad_mean,effect_size_d
m15_body_atr,0.7350003434708056,0.48812191756780304,0.45548140881938065
mtf_1m_5m_align,0.595200540784137,0.4032124630835502,0.39125454763773465
countertrend_15m,0.029513915867663283,0.12817421411315688,-0.3723842740069356
mtf_1m_15m_align,0.2739234821525695,0.16819787667541,0.25687682537925116
m15_range_pos_4,0.5261168650714831,0.5154651470429148,0.0337807864508916
m15_range_pos_8,0.5267988891850262,0.5169026993878122,0.031153490000645816
m15_range_pos_12,0.5272741065746127,0.5181125465245378,0.028590864523254975
m15_range_pos_20,0.5285339852832229,0.5202131059348266,0.025718687230805906
m5_range_pos_4,0.5191475736834089,0.5114871827816344,0.023757699209994265
session_minute,108.46334167301208,117.85861769196929,-0.022878306115275457
m5_range_pos_8,0.5209307419983169,0.5134222498947888,0.02280709496357472
ext_30min_atr,3.047971245471123,3.102904720831908,-0.02181857513162514
m5_range_pos_12,0.5220484817035846,0.5148152610926001,0.021555715559243
phase44_active,0.9993978337554972,0.9987583160543578,0.021073110685383974
swing_high,14533.88778826281,14411.152043973929,0.020315461344591404
swing_low,14513.743160556945,14391.149751663212,0.0203131809935348
body_atr,0.8307129118787931,0.8432133658916307,-0.018950749316302532
ext_60min_atr,4.267794559453275,4.33318124745813,-0.01700178249652935
atr_ratio,1.0504220560140163,1.0437395081269445,0.016137085327007025
break_dist_atr,0.3603391507167919,0.37948997327772566,-0.015457548266699067
atr,6.249111735415367,6.166994613292347,0.014009195604660185
dist_swing_high_atr,-1.4918737632321821,-1.5330258016771594,0.013891786080472902
m5_mom,0.03716755307840707,0.015977760987659226,0.01237526496792754
is_reversal,0.3156866249164737,0.3102318060270468,0.0117639218511518
mom_10,0.07299094816334942,0.04409731890949863,0.01103541369766174
dow,2.099489518422402,2.116560640570784,-0.010569082248775752
mom_5,0.0377029010045094,0.015846953912372983,0.010159049227381717
close_loc,0.5064182605853755,0.5031747366245737,0.009752631931311017
mom_3,0.02748671101763387,0.010442751475868298,0.00899254621210997
body_vs_avg,1.6287873515734526,1.6392174041368408,-0.008187969528218372
m15_mom_4,0.004799910276926381,0.0009725576061321802,0.00802065152978453
range_atr,1.381011928363023,1.3852329514362327,-0.005679284844851919
dist_swing_low_atr,-1.8088509685334693,-1.7910986455265172,-0.005676095466643663
mom_1,0.013475652410193042,0.007526071077071257,0.003947362865643971
min_since_p44,2206.9711649135743,2213.7375653592535,-0.0027770781094448907
min_since_prev_event,5.090565803173222,4.9023722655135655,0.00275681271400475
min_since_core_entry,3236.7855381104473,3244.785175650854,-0.0023845612865580974
core_b1_active,0.0065500147627853495,0.006477175987303894,0.0009054630696940296
core_authorized,0.013010675824773507,0.01305795075604589,-0.0004168072134883526
