year,N_filtered,WinRate_filtered,AvgR_filtered,TotalR_filtered,PF_filtered,MaxDD_filtered,ReturnMaxDD_filtered,N_unfiltered,WinRate_unfiltered,AvgR_unfiltered,TotalR_unfiltered,PF_unfiltered,MaxDD_unfiltered,ReturnMaxDD_unfiltered
2017,111.0,0.46846846846846846,0.21071560527413136,23.389432185428582,1.4142527465152346,9.49051605624662,2.464505833698448,172.0,0.4127906976744186,0.07718600744389467,13.275993280349883,1.136454901861004,11.14658274376507,1.191037072575083
2018,461.0,0.5010845986984815,0.3665941722998518,168.9999134302317,1.7635999368815796,6.9836628805977625,24.199322951248504,694.0,0.47262247838616717,0.24116747614302317,167.37022844325807,1.4716445987260618,10.349264973774211,16.17218506506369
2019,424.0,0.49528301886792453,0.2939581200341055,124.63824289446072,1.6268247111666558,11.463998979087236,10.872143579376385,660.0,0.4621212121212121,0.17527554905088014,115.6818623735809,1.3522547244020875,13.28157505308414,8.709950582760001
2020,452.0,0.5265486725663717,0.4596876478600572,207.77881683274586,2.061609500443167,8.642294390316849,24.042089686917986,692.0,0.4869942196531792,0.3255636356364146,225.29003586039892,1.6909334489316454,9.672495102721019,23.291822168720607
2021,426.0,0.5305164319248826,0.35338655815653014,150.54267377468184,1.8168737631136938,9.189062911289724,16.3828102199327,675.0,0.482962962962963,0.20328206423461156,137.2153933583628,1.4321368540205919,14.178086803281786,9.677990779870363
2022,439.0,0.5056947608200456,0.3401707778735032,149.3349714864679,1.7459471976297407,6.827069724396168,21.87394848961735,630.0,0.4714285714285714,0.20524046185825412,129.3014909707001,1.4203857779896751,11.67834238067087,11.071904449788214
2023,433.0,0.49653579676674364,0.3136561386580734,135.81310803894578,1.7006239963611982,17.42566144228814,7.793856691681046,659.0,0.48254931714719274,0.22808644741151576,150.30896884418888,1.5004528537751558,13.949561710449139,10.775175017262198
2024,426.0,0.47417840375586856,0.28528219132482036,121.53021350437346,1.5992204639651137,15.523351515677202,7.828864364865975,673.0,0.4635958395245171,0.20567598792768943,138.419939875335,1.4285867630377327,13.051740719166702,10.60547729637802
2025,413.0,0.513317191283293,0.39852017611324775,164.58883273477133,1.957489958847845,8.585820283032874,19.169843685178048,634.0,0.4889589905362776,0.2965211375578659,187.99440121168698,1.6784458323894318,8.488527702312766,22.146879624421373
2026,206.0,0.4854368932038835,0.22762953110773917,46.89168340819427,1.506276024675037,10.516254109747583,4.458972074926382,323.0,0.47058823529411764,0.19714819075293458,63.67886561319787,1.4311799869098822,8.98050031655385,7.090792647244602
