timestamp,timestamp_ct,signal_type,direction,entry,impulse_3bar,atr,stop,target,signal_id
2017-10-02 16:30:00+00:00,2017-10-02 16:30:00+00:00,RL,Long,5974.90516475333,1.4208646649295518,7.5658155666310405,5969.230803078356,5989.091068940763,2
2017-10-04 15:00:00+00:00,2017-10-04 15:00:00+00:00,L,Long,5991.553896764904,0.8364087660481822,5.679041388390197,5987.294615723611,6004.331739888781,5
2017-10-05 15:30:00+00:00,2017-10-05 15:30:00+00:00,L,Long,6032.144615791485,1.7250811473732348,6.521432349504411,6027.253541529357,6046.81783857787,7
2017-10-05 18:45:00+00:00,2017-10-05 18:45:00+00:00,L,Long,6055.866750467382,1.7214251283270048,6.244825768546532,6051.183131140972,6069.917608446612,8
2017-10-06 15:30:00+00:00,2017-10-06 15:30:00+00:00,L,Long,6054.25,0.9642559585324191,7.000216011393265,6048.999837991455,6070.000486025635,9
2017-10-06 15:45:00+00:00,2017-10-06 15:45:00+00:00,RS,Short,6058.0,0.9503637727181775,6.839486296293747,6063.12961472222,6045.17596319445,10
2017-10-06 20:00:00+00:00,2017-10-06 20:00:00+00:00,L,Long,6064.5,0.9501027459721507,5.788847599185042,6060.1583643006115,6077.524907098166,11
2017-10-09 16:30:00+00:00,2017-10-09 16:30:00+00:00,S,Short,6072.25,0.9422458131571724,4.510500275676018,6075.632875206757,6062.101374379729,13
2017-10-09 19:00:00+00:00,2017-10-09 19:00:00+00:00,S,Short,6064.047120392457,2.6933103941558323,4.919596355752737,6067.736817659272,6052.978028592013,14
2017-10-09 19:30:00+00:00,2017-10-09 19:30:00+00:00,RL,Long,6059.0,1.0682132607089003,5.148784612868432,6055.138411540349,6068.653971149129,15
2017-10-10 15:15:00+00:00,2017-10-10 15:15:00+00:00,RS,Short,6061.908891035345,1.6361663479982322,6.417440386086797,6066.72197132491,6049.876190311432,17
2017-10-10 16:45:00+00:00,2017-10-10 16:45:00+00:00,L,Long,6055.0,1.4307329737048475,7.338895652073014,6049.495828260945,6071.512515217164,18
2017-10-11 16:00:00+00:00,2017-10-11 16:00:00+00:00,RL,Long,6069.5319569253825,0.8671188495141074,5.189600021406048,6065.639756909328,6079.262456965519,20
2017-10-12 17:45:00+00:00,2017-10-12 17:45:00+00:00,RS,Short,6088.014012924675,0.6901434792114847,4.7091656994473805,6091.5458871992605,6079.184327238211,25
2017-10-13 19:45:00+00:00,2017-10-13 19:45:00+00:00,S,Short,6096.0,1.0120016627427428,3.9525626757955488,6098.964422006847,6087.10673397946,27
2017-10-16 16:15:00+00:00,2017-10-16 16:15:00+00:00,S,Short,6103.820195886423,2.5049887142489227,4.491038197500669,6107.188474534549,6093.715359942046,29
2017-10-16 19:45:00+00:00,2017-10-16 19:45:00+00:00,L,Long,6116.5,1.0838853557388708,3.9210789014700076,6113.559190823898,6125.322427528307,30
2017-10-17 15:00:00+00:00,2017-10-17 15:00:00+00:00,L,Long,6116.410852467867,2.6985884166487852,4.261487201624158,6113.214737066649,6125.999198671521,32
2017-10-17 15:45:00+00:00,2017-10-17 15:45:00+00:00,RS,Short,6115.7092136035335,1.3517545508776634,4.253730824332462,6118.899511721783,6107.73346830791,33
2017-10-17 19:45:00+00:00,2017-10-17 19:45:00+00:00,L,Long,6124.25,1.8202559277137336,3.5709264291005987,6121.571805178174,6132.284584465477,34
2017-10-18 14:45:00+00:00,2017-10-18 14:45:00+00:00,L,Long,6120.75,1.8800265894836106,4.255258965351852,6117.558555775986,6130.324332672041,35
2017-10-18 19:45:00+00:00,2017-10-18 19:45:00+00:00,S,Short,6118.356476396691,1.8576200671605232,4.172004887870484,6121.4854800625935,6108.969465398982,37
2017-10-19 15:00:00+00:00,2017-10-19 15:00:00+00:00,L,Long,6081.706411134019,1.3209231011323297,9.273817673034094,6074.751047879243,6102.572500898345,38
2017-10-20 14:45:00+00:00,2017-10-20 14:45:00+00:00,S,Short,6106.441629117782,3.0535523017138786,5.649158192023771,6110.6784977618,6093.731023185729,41
2017-10-20 15:45:00+00:00,2017-10-20 15:45:00+00:00,RL,Long,6112.442044480607,0.6911006282928681,5.426127319928959,6108.372448990661,6122.616033205474,42
2017-10-20 19:00:00+00:00,2017-10-20 19:00:00+00:00,S,Short,6113.25,1.2464945843735076,4.412373763151421,6116.5592803223635,6103.322159032909,43
2017-10-23 16:30:00+00:00,2017-10-23 16:30:00+00:00,L,Long,6101.25,1.3649768564337101,5.494598655390635,6097.129051008457,6113.612846974629,45
2017-10-23 19:15:00+00:00,2017-10-23 19:15:00+00:00,S,Short,6077.644063087062,2.5201669106153304,6.447985620139882,6082.480052302167,6063.136095441747,46
2017-10-25 14:45:00+00:00,2017-10-25 14:45:00+00:00,S,Short,6063.0,0.8479111994888621,8.255581485678855,6069.191686114259,6044.424941657223,49
2017-10-26 14:45:00+00:00,2017-10-26 14:45:00+00:00,L,Long,6061.75,2.9503110553486933,8.134735473566353,6055.648948394825,6080.053154815524,51
2017-10-26 15:30:00+00:00,2017-10-26 15:30:00+00:00,RS,Short,6053.1496069923305,1.6463519851727144,8.503649356933412,6059.527344010031,6037.20526444808,52
2017-10-26 20:00:00+00:00,2017-10-26 20:00:00+00:00,S,Short,6084.75,4.069471675871227,10.075017905419474,6092.3062634290645,6062.081209712806,53
