segment,N_filtered,WinRate_filtered,AvgR_filtered,TotalR_filtered,PF_filtered,MaxDD_filtered,ReturnMaxDD_filtered,N_unfiltered,WinRate_unfiltered,AvgR_unfiltered,TotalR_unfiltered,PF_unfiltered,MaxDD_unfiltered,ReturnMaxDD_unfiltered
L,1541,0.5113562621674238,0.30463297168814907,469.4394093714377,1.6780890942094082,16.140055993586515,29.085364360444366,2075,0.4843373493975904,0.2234855880870855,463.7325952807024,1.4632130263664742,18.514471416182232,25.047034012290812
S,1345,0.4408921933085502,0.32880727005979504,442.2457782304243,1.6323785094606016,18.651632171331073,23.710835286050113,1836,0.4144880174291939,0.22236989659472456,408.2711301479143,1.4075462233034954,24.916759094385327,16.38540263608813
RL,452,0.6084070796460177,0.46139785369128816,208.55182986846225,2.355990425284624,11.965974642227437,17.428737407857387,976,0.5502049180327869,0.2904940885428227,283.52223041779496,1.7423419043528166,13.614190712313487,20.825492782421545
RS,453,0.5562913907284768,0.3824964035761085,173.27087081997715,2.004055867604085,7.012298157712877,24.709569804785794,925,0.4897297297297297,0.18703916106448396,173.01122398464767,1.4380047639739844,17.63565782123259,9.810307374888472
continuation,2886,0.4785169785169785,0.3158992334032786,911.685187601862,1.655118188015883,15.635122795060852,58.31007530621148,3911,0.45154691894656096,0.22296183212186568,872.0037254286167,1.4353704941394574,16.53897268613551,52.724177128583726
reversal,905,0.5823204419889503,0.42190353667230873,381.8227006884394,2.1699027501279207,16.46889262985934,23.184479325353433,1901,0.5207785376117833,0.24015436843894927,456.53345440244254,1.5876136381299153,21.073909327248856,21.66344399195732
ALL,3791,0.5032972830387761,0.3412049296466108,1293.5078882903015,1.7529123260601682,17.42566144228806,74.23005964934313,5812,0.4741913282863042,0.2285851995579937,1328.5371798310593,1.4779205868355416,14.178086803282326,93.7035580515344
