signal_id,marker_bar_timestamp,timestamp_ct,signal_type,direction,entry_price,stop,target,atr,close,close_3,impulse_3bar,filter_threshold,accepted,reject_reason,architecture,candidate_id,event_id
1,2017-10-02 15:00:00+00:00,2017-10-02 15:00:00+00:00,S,Short,6001.0,6004.986336834279,5989.040989497162,5.315115779039283,6001.0,6003.0,0.37628531214450867,0.65,False,IMPULSE_FILTER,MOMENTUM_DISPLACEMENT,,MOMENTUM_DISPLACEMENT_2017-10-02 09:45:00-05:00_Short
3,2017-10-03 16:15:00+00:00,2017-10-03 16:15:00+00:00,L,Long,5995.75,5990.974812205785,6010.075563382645,6.36691705895304,5995.75,5991.75,0.6282475431928668,0.65,False,IMPULSE_FILTER,MOMENTUM_DISPLACEMENT,,MOMENTUM_DISPLACEMENT_2017-10-03 11:00:00-05:00_Long
4,2017-10-03 17:15:00+00:00,2017-10-03 17:15:00+00:00,RS,Short,5994.538315715068,5998.771474127984,5983.955419682779,5.644211217220891,5994.25,5996.25,0.35434535013464014,0.65,False,IMPULSE_FILTER,DISPLACEMENT_FAILURE_REVERSAL,5.0,A_MID_4_2017-10-03 11:00:00-05:00_Short
6,2017-10-04 16:45:00+00:00,2017-10-04 16:45:00+00:00,S,Short,6005.25,6009.914795634982,5991.255613095055,6.219727513308976,6005.25,6006.25,0.16077874759950486,0.65,False,IMPULSE_FILTER,MOMENTUM_DISPLACEMENT,,MOMENTUM_DISPLACEMENT_2017-10-04 11:30:00-05:00_Short
12,2017-10-06 20:30:00+00:00,2017-10-06 20:30:00+00:00,RS,Short,6064.5,6068.652054578004,6054.11986355499,5.536072770671824,6064.5,6061.5,0.5419003911749408,0.65,False,IMPULSE_FILTER,DISPLACEMENT_FAILURE_REVERSAL,13.0,A_MID_4_2017-10-06 14:45:00-05:00_Short
16,2017-10-10 14:45:00+00:00,2017-10-10 14:45:00+00:00,L,Long,6064.0,6059.817004516244,6076.548986451268,5.577327311674629,6064.0,6065.5,0.2689460230996583,0.65,False,IMPULSE_FILTER,MOMENTUM_DISPLACEMENT,,MOMENTUM_DISPLACEMENT_2017-10-10 09:30:00-05:00_Long
19,2017-10-11 15:30:00+00:00,2017-10-11 15:30:00+00:00,S,Short,6067.0,6071.051382858856,6054.845851423432,5.401843811808197,6067.0,6069.0,0.37024395182031855,0.65,False,IMPULSE_FILTER,MOMENTUM_DISPLACEMENT,,MOMENTUM_DISPLACEMENT_2017-10-11 10:15:00-05:00_Short
21,2017-10-11 18:15:00+00:00,2017-10-11 18:15:00+00:00,L,Long,6073.0,6069.253219584381,6084.240341246855,4.995707220824481,6073.0,6070.75,0.45038668211398203,0.65,False,IMPULSE_FILTER,MOMENTUM_DISPLACEMENT,,MOMENTUM_DISPLACEMENT_2017-10-11 13:00:00-05:00_Long
22,2017-10-11 20:30:00+00:00,2017-10-11 20:30:00+00:00,RS,Short,6082.118026711053,6085.702304973362,6073.157331055282,4.779037683077967,6081.75,6081.5,0.052311786719159335,0.65,False,IMPULSE_FILTER,DISPLACEMENT_FAILURE_REVERSAL,22.0,A_MID_4_2017-10-11 14:45:00-05:00_Short
23,2017-10-12 15:15:00+00:00,2017-10-12 15:15:00+00:00,L,Long,6086.25,6082.343050431091,6097.970848706726,5.209266091878223,6086.25,6083.75,0.4799140523648341,0.65,False,IMPULSE_FILTER,MOMENTUM_DISPLACEMENT,,MOMENTUM_DISPLACEMENT_2017-10-12 10:00:00-05:00_Long
24,2017-10-12 17:15:00+00:00,2017-10-12 17:15:00+00:00,L,Long,6090.0,6086.30548900699,6101.083532979032,4.926014657347258,6090.0,6088.75,0.25375482757356355,0.65,False,IMPULSE_FILTER,MOMENTUM_DISPLACEMENT,,MOMENTUM_DISPLACEMENT_2017-10-12 12:00:00-05:00_Long
