bar_i,ts_utc,ts_chicago,ts_ny,unix_ms,open,high,low,close,atr,m5_completed_ts,m15_completed_ts,m5_open,m5_high,m5_low,m5_close,m15_open,m15_high,m15_low,m15_close,ctxDir,ctxConf,bullSc,bearSc,ctxRs,locationScore_LONG,locationScore_SHORT,reactionScore_LONG,reactionScore_SHORT,totalArm_LONG,totalArm_SHORT,would_arm_LONG,would_arm_SHORT,engine_state,engine_decision,engine_dir,armedBar,armedPrice,pbExtreme,engine_total_score,rawTake_engine,evTotal,evLoc,evDir,evReact,evContra,phase58d_decision,p4_status,h1_status,canonical_signal,canonical_entry,trade_id,signal_trade_id,entry_price_canon,stop_m1,target_m1
3134006,2026-08-26 18:00:00+00:00,2026-08-26 13:00:00-05:00,2026-08-26 14:00:00-04:00,1787767200000,29284.5,29285.0,29275.5,29279.5,7.732142857142857,2026-08-26 13:00:00-05:00,2026-08-26 13:00:00-05:00,29284.5,29285.0,29271.5,29277.5,29284.5,29296.0,29266.0,29270.0,NEUTRAL,25,2,3,SWING_HH|SWING_HL|MOM_BEAR|M5_BEAR|M15_BEAR,1,1,0,2,3,3,False,False,COOLDOWN,EXIT_STOP,LONG,-1,0.0,0.0,0,False,,,,,,,,,False,False,,,,,
3134007,2026-08-26 18:01:00+00:00,2026-08-26 13:01:00-05:00,2026-08-26 14:01:00-04:00,1787767260000,29279.5,29281.0,29271.5,29275.0,7.910714285714286,2026-08-26 13:00:00-05:00,2026-08-26 13:00:00-05:00,29284.5,29285.0,29271.5,29277.5,29284.5,29296.0,29266.0,29270.0,NEUTRAL,25,2,3,SWING_HH|SWING_HL|MOM_BEAR|M5_BEAR|M15_BEAR,1,1,0,2,3,3,False,False,COOLDOWN,WATCH,,-1,0.0,0.0,0,False,,,,,,,,,False,False,,,,,
3134008,2026-08-26 18:02:00+00:00,2026-08-26 13:02:00-05:00,2026-08-26 14:02:00-04:00,1787767320000,29275.75,29279.75,29275.5,29277.5,7.428571428571429,2026-08-26 13:00:00-05:00,2026-08-26 13:00:00-05:00,29284.5,29285.0,29271.5,29277.5,29284.5,29296.0,29266.0,29270.0,NEUTRAL,25,2,3,SWING_HH|SWING_HL|MOM_BEAR|M5_BEAR|M15_BEAR,0,1,0,0,2,3,False,False,COOLDOWN,WATCH,,-1,0.0,0.0,0,False,,,,,,,,,False,False,,,,,
3134009,2026-08-26 18:03:00+00:00,2026-08-26 13:03:00-05:00,2026-08-26 14:03:00-04:00,1787767380000,29278.75,29283.0,29276.75,29279.25,7.589285714285714,2026-08-26 13:00:00-05:00,2026-08-26 13:00:00-05:00,29284.5,29285.0,29271.5,29277.5,29284.5,29296.0,29266.0,29270.0,BEARISH,50,1,3,SWING_HH|MOM_BEAR|M5_BEAR|M15_BEAR,1,1,1,0,2,3,False,True,WATCH,WATCH,,-1,0.0,0.0,0,False,,,,,,,,,False,False,,,,,
3134010,2026-08-26 18:04:00+00:00,2026-08-26 13:04:00-05:00,2026-08-26 14:04:00-04:00,1787767440000,29279.25,29282.75,29277.0,29277.5,6.982142857142857,2026-08-26 13:00:00-05:00,2026-08-26 13:00:00-05:00,29284.5,29285.0,29271.5,29277.5,29284.5,29296.0,29266.0,29270.0,BEARISH,50,1,3,SWING_HH|MOM_BEAR|M5_BEAR|M15_BEAR,0,1,0,1,1,3,False,True,ARMED_SHORT,ARMED,SHORT,3134010,29277.5,29277.5,3,False,,,,,,,,,False,False,,,,,
3134011,2026-08-26 18:05:00+00:00,2026-08-26 13:05:00-05:00,2026-08-26 14:05:00-04:00,1787767500000,29278.25,29288.5,29277.25,29280.75,7.071428571428571,2026-08-26 13:05:00-05:00,2026-08-26 13:00:00-05:00,29278.25,29296.0,29277.25,29290.75,29284.5,29296.0,29266.0,29270.0,NEUTRAL,25,2,1,SWING_HH|M5_BULL|M15_BEAR,1,1,2,0,3,2,False,False,ARMED_SHORT,ARMED,SHORT,3134010,29277.5,29288.5,1,False,,,,,,,,,False,False,,,,,
3134012,2026-08-26 18:06:00+00:00,2026-08-26 13:06:00-05:00,2026-08-26 14:06:00-04:00,1787767560000,29280.75,29286.5,29280.75,29284.25,7.017857142857143,2026-08-26 13:05:00-05:00,2026-08-26 13:00:00-05:00,29278.25,29296.0,29277.25,29290.75,29284.5,29296.0,29266.0,29270.0,BULLISH,75,4,1,SWING_HH|SWING_HL|MOM_BULL|M5_BULL|M15_BEAR,1,0,2,0,3,1,True,False,WATCH,INVALIDATED,,-1,0.0,0.0,0,False,,,,,,,,,False,False,,,,,
3134013,2026-08-26 18:07:00+00:00,2026-08-26 13:07:00-05:00,2026-08-26 14:07:00-04:00,1787767620000,29284.75,29285.5,29280.5,29283.5,6.625,2026-08-26 13:05:00-05:00,2026-08-26 13:00:00-05:00,29278.25,29296.0,29277.25,29290.75,29284.5,29296.0,29266.0,29270.0,BULLISH,75,4,1,SWING_HH|SWING_HL|MOM_BULL|M5_BULL|M15_BEAR,1,0,0,0,3,1,True,False,ARMED_LONG,ARMED,LONG,3134013,29283.5,29283.5,3,False,,,,,,,,,False,False,,,,,
3134014,2026-08-26 18:08:00+00:00,2026-08-26 13:08:00-05:00,2026-08-26 14:08:00-04:00,1787767680000,29283.5,29289.75,29282.25,29289.0,6.696428571428571,2026-08-26 13:05:00-05:00,2026-08-26 13:00:00-05:00,29278.25,29296.0,29277.25,29290.75,29284.5,29296.0,29266.0,29270.0,BULLISH,75,4,1,SWING_HH|SWING_HL|MOM_BULL|M5_BULL|M15_BEAR,1,1,2,0,3,2,True,False,IN_LONG,TAKE_LONG,LONG,3134013,29283.5,29282.25,5,False,,,,,,,,,False,False,,,,,
3134015,2026-08-26 18:09:00+00:00,2026-08-26 13:09:00-05:00,2026-08-26 14:09:00-04:00,1787767740000,29288.75,29296.0,29288.5,29290.75,6.696428571428571,2026-08-26 13:05:00-05:00,2026-08-26 13:00:00-05:00,29278.25,29296.0,29277.25,29290.75,29284.5,29296.0,29266.0,29270.0,BULLISH,75,4,1,SWING_HH|SWING_HL|MOM_BULL|M5_BULL|M15_BEAR,1,2,1,1,3,3,True,False,IN_LONG,HOLD,LONG,3134013,29283.5,29282.25,0,False,,,,,,,,,False,False,,,,,
