ts_chicago,db_open,py_open,db_high,py_high,db_low,py_low,db_close,py_close,d_open,d_high,d_low,d_close,match
2026-08-26 13:36:00-05:00,29297.25,29297.25,29298.25,29298.25,29293.5,29293.5,29298.0,29298.0,0.0,0.0,0.0,0.0,True
2026-08-26 13:37:00-05:00,29298.0,29298.0,29298.25,29298.25,29292.75,29292.75,29293.75,29293.75,0.0,0.0,0.0,0.0,True
2026-08-26 13:38:00-05:00,29294.0,29294.0,29296.5,29296.5,29290.0,29290.0,29295.5,29295.5,0.0,0.0,0.0,0.0,True
2026-08-26 13:39:00-05:00,29295.0,29295.0,29296.75,29296.75,29290.75,29290.75,29292.0,29292.0,0.0,0.0,0.0,0.0,True
2026-08-26 13:40:00-05:00,29292.0,29292.0,29293.75,29293.75,29288.5,29288.5,29293.5,29293.5,0.0,0.0,0.0,0.0,True
2026-08-26 13:41:00-05:00,29293.25,29293.25,29294.75,29294.75,29290.75,29290.75,29293.75,29293.75,0.0,0.0,0.0,0.0,True
2026-08-26 13:42:00-05:00,29293.5,29293.5,29298.0,29298.0,29292.5,29292.5,29292.75,29292.75,0.0,0.0,0.0,0.0,True
2026-08-26 13:43:00-05:00,29292.0,29292.0,29294.25,29294.25,29288.0,29288.0,29289.25,29289.25,0.0,0.0,0.0,0.0,True
2026-08-26 13:44:00-05:00,29289.5,29289.5,29295.25,29295.25,29288.5,29288.5,29295.0,29295.0,0.0,0.0,0.0,0.0,True
2026-08-26 13:45:00-05:00,29295.0,29295.0,29313.75,29313.75,29294.75,29294.75,29311.25,29311.25,0.0,0.0,0.0,0.0,True
