level,event_type,regime_dimension,regime_value,N,mean_forward_atr,era1_mean,era2_mean,era3_mean
SESSION_OPEN,TOUCH,htf_vol_regime,high_vol,3332,-0.015102249457171748,0.06349159224109767,-0.06828064844020418,-0.036706923041510776
SESSION_OPEN,SWEEP,htf_vol_regime,high_vol,6982,0.012591810121611023,0.07114011939755636,-0.0022111751470719216,-0.029662583186028758
SESSION_OPEN,BREAK,htf_vol_regime,high_vol,4816,-0.13385958118177527,0.00558072347066755,-0.3303061965642176,0.037390389648229994
SESSION_OPEN,BREAK_HOLD,htf_vol_regime,high_vol,1745,-0.05804264076753209,-0.012862551067359474,-0.13725170559188044,-0.016692492798443384
PDH,SWEEP,htf_vol_regime,high_vol,3429,-0.05248149207652173,0.06072950257769471,-0.17463353001954987,-0.04721147445651276
PDH,BREAK,htf_vol_regime,high_vol,2507,-0.2185576914842748,0.01889944161601412,-0.44506544764989747,-0.09204536293619042
PDH,BREAK_HOLD,htf_vol_regime,high_vol,954,-0.08922155847481832,0.24549169849496774,-0.25166526353373103,-0.26346258034465014
PDH,APPROACH,htf_vol_regime,low_vol,547,0.19159956125418226,0.13391773165938647,0.2669684651584861,0.17039704360365387
PDH,TOUCH,htf_vol_regime,low_vol,1240,0.1313237697343003,-0.07320767144384485,0.2704513975221399,0.24279662807661018
SESSION_OPEN,TOUCH,htf_vol_regime,low_vol,2648,0.006845562178772038,0.18137630693392792,-0.02805701187389748,-0.15482530427004043
SESSION_OPEN,BREAK,htf_vol_regime,low_vol,3206,-0.005161099880775523,0.11519553011018596,-0.11541082221169802,0.00318716268613196
SESSION_OPEN,BREAK_HOLD,htf_vol_regime,low_vol,1351,-0.045562761903297985,0.07799228573418955,-0.15061799327423514,-0.050387275493025484
SESSION_OPEN,APPROACH,htf_vol_regime,low_vol,1146,-0.00852376049887497,0.001526070270000652,0.012535386621870637,-0.05338012955404662
SESSION_OPEN,SWEEP,htf_vol_regime,low_vol,5038,0.037771691896637684,0.10561347715955785,-0.03250687519910987,0.060527646336364135
