time_bucket,level,event_type,N,mean_forward_atr,replicated
OTHER,PDL,TOUCH,164,-0.13522280183557167,False
OTHER,PDL,BREAK,212,-0.2016413653817978,False
OTHER,PDH,SWEEP,290,-0.21671027248224745,False
OTHER,ORH,SWEEP,212,-0.2297720994330441,False
OTHER,PDL,BREAK_HOLD,128,-0.271617490819822,False
OTHER,SESSION_OPEN,BREAK_FAILURE,118,-0.2863938857377051,False
OTHER,ORH,BREAK,176,-0.30931093968090684,False
OTHER,ORH,TOUCH,114,-0.31377771562914925,False
OTHER,PRIOR_RTH_CLOSE,BREAK_HOLD,26,-0.34808950336194744,False
OTHER,PRIOR_RTH_CLOSE,BREAK,86,-0.36097160621850144,False
OTHER,PDL,APPROACH,72,-0.5237126721008132,False
OTHER,ORL,TOUCH,80,-0.5325229597102109,False
OTHER,PDH,BREAK_FAILURE,26,-0.920102506915401,False
OVERNIGHT,ORL,BREAK_FAILURE,2,1.327478988698672,False
OVERNIGHT,ONH,BREAK_FAILURE,60,1.0110537296164968,False
OVERNIGHT,ORH,BREAK_HOLD,2,0.6757621595202674,False
OVERNIGHT,PDL,APPROACH,1046,0.18614617369926476,False
OVERNIGHT,PDH,BREAK_FAILURE,676,0.17633294152801793,True
OVERNIGHT,PDH,SWEEP,4338,0.15294541912250614,True
OVERNIGHT,PDL,TOUCH,1916,0.1248796129204458,False
OVERNIGHT,PDL,SWEEP,3170,0.10476757322597327,True
OVERNIGHT,ONH,TOUCH,11256,0.10157347428617702,True
OVERNIGHT,PDH,TOUCH,2680,0.0990164045709478,True
OVERNIGHT,ONL,BREAK_FAILURE,72,0.08582278665934412,False
OVERNIGHT,PDH,APPROACH,1494,0.08382644841887782,False
OVERNIGHT,PDL,BREAK,2062,0.07561817741199515,False
OVERNIGHT,PRIOR_RTH_CLOSE,APPROACH,2894,0.07022589741911608,True
OVERNIGHT,ONH,APPROACH,3526,0.061734889287729446,False
OVERNIGHT,PRIOR_RTH_CLOSE,BREAK_HOLD,2890,0.05229412882970552,False
OVERNIGHT,PRIOR_RTH_CLOSE,TOUCH,5472,0.044781241121626396,False
OVERNIGHT,SESSION_OPEN,SWEEP,13328,0.04089720347572825,False
OVERNIGHT,PDH,BREAK_HOLD,1564,0.03906211390464999,False
OVERNIGHT,PDH,BREAK,3290,0.013648671288093476,False
OVERNIGHT,PDL,BREAK_FAILURE,384,0.003352851566064189,False
OVERNIGHT,PRIOR_RTH_CLOSE,SWEEP,9402,-0.003426672672000021,False
OVERNIGHT,SESSION_OPEN,BREAK_HOLD,4246,-0.005369050137860707,False
OVERNIGHT,ONL,TOUCH,11304,-0.006750949372783911,False
OVERNIGHT,SESSION_OPEN,TOUCH,6998,-0.008627023626540642,False
OVERNIGHT,SESSION_OPEN,BREAK,9402,-0.028914723305604583,False
