level,event_type,direction,time_bucket,displacement_quantile,horizon,N,sample_tier,mean_forward_atr,median_forward_atr,positive_return_rate,mfe_atr,mae_atr,effect_size,standard_error,ci95_low,ci95_high,raw_p_value,era1_avg_atr,era2_avg_atr,era3_avg_atr,same_sign_across_eras,replicated,fdr_q_value,fdr_survivor_5pct
SESSION_OPEN,TOUCH,continuation,OTHER,Q3,1,86,INSUFFICIENT,-0.026703869370573518,-0.01692243992180295,0.47674418604651164,0.4981031177327001,0.5164830698578114,-0.026703869370573518,0.07371153904737744,-0.17430403933259547,0.12141516477644652,1.0,-0.0969420139662141,0.021669875280590306,-0.01025082573062206,False,False,1.0,False
SESSION_OPEN,SWEEP,continuation,OTHER,Q3,1,123,WEAK_SAMPLE,-0.04324998604989824,-0.0338448798436059,0.4634146341463415,0.4853428263678831,0.513991846272143,-0.04324998604989824,0.06459539293914096,-0.1808403235445518,0.09229653421829992,1.0,-0.12263514755184322,-0.0216171717661319,-0.003622403863552258,True,False,1.0,False
SESSION_OPEN,BREAK,continuation,OTHER,Q3,1,95,INSUFFICIENT,0.019748389491196155,0.0,0.49473684210526314,0.4995806514586855,0.431581627737832,0.019748389491196155,0.05940544760684069,-0.09438827959088937,0.1383539263215029,0.7395615823642329,0.04692366483063104,-0.028525239036083158,0.05981138245761459,False,False,1.0,False
SESSION_OPEN,BREAK_HOLD,continuation,OTHER,Q2,1,82,INSUFFICIENT,0.01777070298964663,-0.0439337555919325,0.43902439024390244,0.46280963890063365,0.425065029045634,0.01777070298964663,0.0900694104170812,-0.1440359604493132,0.19137532781206576,0.8435927071120193,0.010533367454493653,0.0964835818496731,-0.08808544837255487,False,False,1.0,False
SESSION_OPEN,SWEEP,continuation,OVERNIGHT,Q1,1,1976,ANALYZABLE,0.008359557784225834,0.0,0.479251012145749,0.42867076063392434,0.4178448624709908,0.008359557784225834,0.014613752888595136,-0.020311883686038746,0.037395591673980266,0.5672992066358353,5.370485668856634e-05,0.009710568791900628,0.015978350922191978,True,False,1.0,False
PDH,SWEEP,continuation,OVERNIGHT,Q2,1,547,ANALYZABLE,0.0011464622500140258,0.0,0.48811700182815354,0.4946055247159645,0.5047383684417172,0.0011464622500140258,0.02855109010273887,-0.05556475876047408,0.05836117053097571,0.9679697425955477,-0.061043633419919446,0.07790045910529583,0.002570007049155022,False,False,1.0,False
PDH,BREAK,continuation,OVERNIGHT,Q1,1,410,ANALYZABLE,-0.3713104358691387,-0.00538530813064995,0.4146341463414634,-0.1351698968870348,0.6655126745391169,-0.3713104358691387,0.06403566712221775,-0.4929688576140165,-0.2474089005646909,1.0,0.04222351426879086,-0.6951130642134782,0.19020407655685517,False,False,1.0,False
PDH,BREAK_HOLD,continuation,OVERNIGHT,Q1,1,203,WEAK_SAMPLE,-0.07807933136086939,-0.0367498750137815,0.43842364532019706,0.3276800146956343,0.5072779445083975,-0.07807933136086939,0.05756026535683834,-0.20206375516506536,0.02347833217081192,1.0,0.0037740807700599017,-0.19862792677762842,-0.0036659553485994616,False,False,1.0,False
PDH,APPROACH,continuation,OVERNIGHT,Q4,1,170,WEAK_SAMPLE,0.08382920761975418,0.07247116628610789,0.5235294117647059,0.7377881660492026,0.5550755208517517,0.08382920761975418,0.05780369958999173,-0.01819195120270354,0.20120199167046252,0.1469917472960508,0.049062733095119555,0.13511815716086253,0.04653875497480568,True,False,1.0,False
PDH,TOUCH,continuation,OVERNIGHT,Q4,1,341,ANALYZABLE,0.022454544571719397,-0.0635807882822161,0.44574780058651026,0.7541466935287482,0.6772811165307716,0.022454544571719397,0.05506144591215362,-0.08266053729552075,0.14066295933734552,0.6834140206184729,0.12038716759419497,-0.08002637449694132,0.014634983864571549,False,False,1.0,False
