level,event_type,direction,horizon,N,full_mean_atr,era1_mean_atr,era2_mean_atr,era3_mean_atr,same_sign_across_eras,replicated,failure_reasons
ONL,APPROACH,reversal,1,1974,0.01700459815635428,-0.05125959317590108,0.08243523253742514,0.01707507399267862,False,False,not_same_sign
ONL,TOUCH,reversal,1,9635,-0.013016071296502849,-0.047992053347684936,0.011102405754189143,-0.0032767886380848867,False,False,not_same_sign
ONH,APPROACH,reversal,1,2030,-0.024033193342586287,-0.01057474310132171,0.025268037196779693,-0.09701913104392038,False,False,not_same_sign
ONH,TOUCH,reversal,1,10113,-0.018098820099391486,-0.008383068259262789,0.0012567753820460369,-0.05026435986826384,False,False,not_same_sign
PDL,TOUCH,reversal,1,2332,-0.03419026067897904,-0.061287423121161255,-0.03267645798924459,-0.008467230813658192,True,False,insufficient_positive_eras
PDL,SWEEP,reversal,1,4538,-0.00880663838656635,-0.03254055193286476,0.009163872195958623,-0.009953744135245383,False,False,not_same_sign
PDL,BREAK,reversal,1,2768,-0.015035998170408082,-0.08507745218204316,0.05577247790858735,-0.04672761033408059,False,False,not_same_sign
ONL,BREAK,reversal,1,1684,0.03861873753025404,0.020183719496486452,0.04812791199142528,0.04880182966638541,True,False,effect_too_small
PDL,BREAK_FAILURE,reversal,1,547,-0.0626310276631372,-0.04843714346854073,-0.13451979445862206,0.03466531205295821,False,False,not_same_sign
PDL,APPROACH,reversal,1,1043,-0.015702825679970524,-0.07109342466999993,0.040421057080072854,-0.033896632035158476,False,False,not_same_sign
ONL,BREAK_HOLD,reversal,1,921,0.017620343364849345,0.0676922641950991,0.01840173503237671,-0.05052622094884209,False,False,not_same_sign
ONH,SWEEP,reversal,1,2639,0.003984041970610701,0.01621748380639121,0.010018324543273378,-0.01667907111231491,False,False,not_same_sign
ORH,TOUCH,reversal,1,3548,-0.002336875809815036,-0.011444214414546435,0.017163116632698174,-0.014298603818274119,False,False,not_same_sign
ORL,TOUCH,reversal,1,3451,0.009601687437944857,-0.03230270703164823,0.025421780029275535,0.03889336796538529,False,False,not_same_sign
ORH,APPROACH,reversal,1,1837,0.019588712268791563,-0.0114292779848117,0.06978900738691299,-0.0038557470548873625,False,False,not_same_sign
ONH,BREAK,reversal,1,1985,0.07138699136810576,0.037212943627814916,0.13359759847527808,0.03267916755210435,True,False,single_era_dominance
