level,event_type,N,mean_forward_atr,era1_avg_atr,era2_avg_atr,era3_avg_atr,replicated_rows
ORL,BREAK_FAILURE,562,0.4170744772535367,0.118223510572565,0.2659403614725176,0.47762586947212926,0
SESSION_OPEN,APPROACH,2212,0.410919260093565,0.31218737497188337,0.3081030639298173,1.8901768916770998,0
ONL,BREAK,1684,0.39578299429279856,0.466896628190668,0.4330199026435982,-0.08241772465388257,2
ONL,BREAK_HOLD,921,0.3494396497377839,0.27347530702458245,0.34142247599713216,0.3792739247035661,0
ORH,BREAK_FAILURE,612,0.2984618732016056,0.2143508889197502,0.604870205197696,0.016831740025300752,0
ONL,BREAK_FAILURE,385,0.21362285269688144,0.1425216882962628,0.17402110070300916,0.47810797232756075,0
PDL,BREAK_FAILURE,547,0.20896617913682428,0.19949347286881514,0.38562370604184004,-0.005259898760144004,0
ONH,BREAK_FAILURE,420,0.20383770683946031,0.21998894287395518,-0.028592218606252624,0.14497781536723428,0
ORH,BREAK_HOLD,1396,0.18981891418120364,0.3452219108713039,0.07153865924128758,0.027817929218024784,0
ONL,SWEEP,2408,0.18958376124735032,0.17496969114361777,0.19096946161961323,0.20144804095023786,1
ONH,TOUCH,10113,0.17152661607811487,0.27189755641494984,0.12707841498538702,0.08972811208448679,2
ORL,SWEEP,3528,0.13625988034208983,0.30802583952332635,-0.08526776129168731,0.1527893707071918,1
ONH,SWEEP,2639,0.1264848287051003,0.03792772571196399,0.2258402991200165,0.13195060399049127,2
PDH,APPROACH,1289,0.1214851539092056,0.09155007047874493,0.17313512145228335,0.07207423643099158,0
ORH,APPROACH,1837,0.09598878951161514,0.08080551048759464,-0.25081844257059205,0.3086204488870904,0
PDH,BREAK_HOLD,1604,0.09068089338217697,0.3071279024898588,0.009047908076932716,-0.04226873115741043,0
ORL,BREAK_HOLD,1210,0.08765291987453884,-0.03223622451339512,-0.038856101591458914,0.19714872917908371,0
PRIOR_RTH_CLOSE,APPROACH,1799,0.08560668859794555,-0.021539601078158936,-0.29721292622788537,0.2778402287099606,0
ORL,BREAK,2308,0.08375471263215574,0.21259509778698388,-0.1369920211948155,0.19351647945281097,1
ORL,APPROACH,1713,0.08096130405020754,-0.24195334484213316,-0.09976295667541242,0.34215812802570034,0
PRIOR_RTH_CLOSE,TOUCH,4876,0.07363604348031662,0.13212138190530734,0.050244538809868115,0.09405909842636831,1
ONH,BREAK_HOLD,1080,0.058362211335877344,-0.08842916826813793,0.186688296937185,0.03521698396135932,0
SESSION_OPEN,TOUCH,5980,0.0537280483623882,0.21453430789808317,-0.02495903668089598,-0.03919593690604075,0
PDL,TOUCH,2332,0.05079143545300519,0.07315155246441811,-0.02459576674651348,0.14287292901372825,0
ORH,SWEEP,3864,0.03792439202701373,0.15492938731910247,0.11071945940356609,-0.14841481777792137,2
PDL,BREAK_HOLD,1204,0.035231156435574604,0.17703508977863652,-0.05368591241293009,0.04215507191048963,0
PDH,TOUCH,2979,0.02694824342328972,-0.09483572233733824,0.10196501764660233,0.10817975717336999,1
PDL,APPROACH,1043,0.02564598149447275,0.06107080022617774,-0.08424784042819303,0.07422909696844283,0
ONL,TOUCH,9635,0.0179960154295502,-0.04007309424149503,0.0578907094352808,0.07764440537975416,0
SESSION_OPEN,SWEEP,12020,0.015197538585664654,0.061276030833140004,-0.010700377374541565,0.007933793480757298,0
PDL,SWEEP,4538,0.014957978602867742,0.013326738829646015,-0.04408257977102766,0.08550874419708913,0
PDH,SWEEP,5606,0.008449595974432142,-0.00054599691630263,0.023667193915407662,0.0016228393894810417,1
PRIOR_RTH_CLOSE,BREAK_FAILURE,1240,0.006009079065297114,0.12763061469958334,-0.19807432133347375,0.08236269242992618,0
ORH,TOUCH,3548,0.0027475106118395763,0.05224940676987348,0.13446025322059346,-0.17380157373853963,1
PRIOR_RTH_CLOSE,SWEEP,9606,-0.005915649643812645,-0.028468850782815785,0.035844485459891336,0.0038545624502458265,0
ORL,TOUCH,3451,-0.031337131723052525,0.0016572513558351099,0.017798389791229396,-0.129844494411628,0
PDH,BREAK_FAILURE,756,-0.034377137325036285,-0.11677633507491855,0.030160574815210634,0.08020686688155464,1
PDL,BREAK,2768,-0.039471394719930365,0.0027017720630980358,-0.0779231314010129,-0.0013023914245141926,0
PDH,BREAK,3904,-0.06030862178907988,0.06542792862405457,-0.22214069892137497,0.0502987627432251,0
ONH,BREAK,1985,-0.06675838486592547,-0.05501013315742974,-0.2732508266541776,0.13470266893987454,1
ORH,BREAK,2661,-0.06801097384406954,0.11680969998420936,-0.10850457051725997,-0.22004327182478658,1
ONL,APPROACH,1974,-0.08578578483251216,-0.6044817130917676,0.347807454604748,0.3427856268612041,0
ONH,APPROACH,2030,-0.10086812792604542,0.058986659324999524,-0.4042005157575103,-0.48380540761039065,0
SESSION_OPEN,BREAK,8022,-0.1477365857383279,-0.04141223497682304,-0.3148419501867942,0.015478787520145563,0
SESSION_OPEN,BREAK_FAILURE,1465,-0.19289571625458635,-0.042413884062291136,-0.1939344036743735,-0.3529859292302855,0
PRIOR_RTH_CLOSE,BREAK_HOLD,2324,-0.2039130083090596,-0.25395556467272473,-0.1568971266523329,-0.21020118495756576,0
SESSION_OPEN,BREAK_HOLD,3096,-0.21773610170214694,-0.2761048203028436,-0.23710457312619798,-0.13622825515563577,0
PRIOR_RTH_CLOSE,BREAK,6285,-0.21818498458694405,-0.09781262893759271,-0.3467757678945433,-0.13765384025340968,0
