metric,reference,implementation,delta,status
N,10587.0,10587.0,0.0,PASS
AvgR,0.8294948177072894,0.8294948177072894,0.0,PASS
PF,2.6499530084335507,2.6499530084335507,0.0,PASS
TotalR,8781.861635067073,8781.861635067073,0.0,PASS
MaxDD,126.009088598169,126.009088598169,0.0,PASS
LONG AvgR,0.8654163109113188,0.8654163109113188,0.0,PASS
SHORT AvgR,0.7826702603127419,0.7826702603127419,0.0,PASS
CORE-UNAUTH AvgR,0.8231322210329965,,,FAIL
