CAUSE,MISMATCH COUNT,PERCENT
HTF ALIGNMENT,0,0.0
SAME-TIMESTAMP ORDER,0,0.0
WARMUP,0,0.0
BOUNDARY,0,0.0
DIRECTION CLOCK,0,0.0
OTHER,0,0.0
