layer,reference_n,implementation_n,match_pct,missing,extra,status,pass,direction_match_pct,timestamp_match_pct
STRUCTURAL EVENTS,925486,925486,1.0,0,0,PASS,True,,
SCORED EVENTS,542462,542462,1.0,0,0,PASS,True,,
D10 EVENTS,54247,54247,1.0,0,0,PASS,True,,
EPISODES,13007,13007,0.9128161759052817,1134,1134,FAIL,False,1.0,1.0
EPISODE STATE,13007,13007,0.9128161759052817,1134,1134,FAIL,False,,
ENTRIES,13007,13007,1.0,0,0,PASS,True,,
EXITS,13007,13007,1.0,0,0,PASS,True,,
