trade_id,transition,m0_r,m1_r,delta_r
E-004006,TARGET_TO_STOP,2.30386473429951,-1.0001068128722665,-3.3039715471717765
E-026450,TARGET_TO_STOP,2.439583333333333,-1.000048721481133,-3.4396320548144663
E-047063,TARGET_TO_STOP,2.025146198830571,-1.0000379979746892,-3.0251841968052604
E-013029,TARGET_TO_STOP,2.045098039215686,-1.0000939712577568,-3.0451920104734427
E-033794,TARGET_TO_STOP,2.2150877192982747,-1.0000561499397012,-3.215143869237976
E-023208,TARGET_TO_STOP,1.9476190476190476,-1.0000523692574401,-2.9476714168764877
E-030507,TARGET_TO_STOP,2.4577083333333327,-1.00005096788772,-3.457759301221053
E-050313,TARGET_TO_STOP,2.1342342342339466,-1.0000350794731512,-3.134269313707098
E-009718,TARGET_TO_STOP,2.185271317829475,-1.000100860043027,-3.1853721778725017
E-019236,TARGET_TO_STOP,2.083589743589557,-1.000066907048641,-3.083656650638198
E-055717,TARGET_TO_STOP,2.4273378076062566,-1.000030534098541,-3.4273683417047973
E-028413,TARGET_TO_STOP,2.2980099502487854,-1.0000459421536234,-3.2980558924024086
E-004710,TARGET_TO_STOP,1.7684684684685643,-1.000100059641461,-2.768568528110025
E-011441,TARGET_TO_STOP,2.324811218985987,-1.0001024809993664,-3.3249136999853537
E-015767,TARGET_TO_STOP,1.6671794871799843,-1.0000789967798112,-2.6672584839597953
E-053295,TARGET_TO_STOP,2.423540489642172,-1.0000409232115246,-3.4235814128536965
E-039194,TARGET_TO_STOP,2.2964912280701753,-1.0000552065486388,-3.296546434618814
E-020121,TARGET_TO_STOP,2.457308096740274,-1.0000620580655615,-3.4573701548058353
E-012606,TARGET_TO_STOP,2.399380421313503,-1.0000928042424797,-3.3994732255559827
E-042756,TARGET_TO_STOP,2.1133333333333333,-1.0000485266310806,-3.113381859964414
E-030751,TARGET_TO_STOP,2.440117994100296,-1.0000513225025156,-3.4401693166028116
E-002512,TARGET_TO_STOP,1.9419243986253178,-1.000110517991839,-2.942034916617157
E-048513,TARGET_TO_STOP,2.2359349593496436,-1.0000364640635875,-3.235971423413231
E-048562,TARGET_TO_STOP,2.118779342723109,-1.000036392450449,-3.118815735173558
E-022327,TARGET_TO_STOP,1.814767932489788,-1.00005644290161,-2.814824375391398
