direction_quality,management_quality,count,total_r,avg_r
GOOD,GOOD,26793,57461.45712087323,2.1446443892387275
BAD,GOOD,4713,-6184.004333259551,-1.3121163448460749
BAD,BAD,26694,-37040.90880035119,-1.3876117779407804
