direction,model,N,AvgR,PF,TotalR,WinRate,MaxDD
LONG,M0,5000,-0.241225749366076,0.7647743977998878,-1206.12874683038,0.4344,1355.6001203776405
LONG,M1_1.0,5000,0.5398874721888706,1.9672316680108952,2699.437360944353,0.4418,18.00368390050744
LONG,M2,5000,0.9605383520117237,3.5341654117245533,4802.6917600586185,0.5818,10.052623838652835
LONG,M3A,5000,0.29082921819920193,1.8001282130753562,1454.1460909960097,0.2618,17.50786824128363
LONG,M4,5000,0.58733413184143,2.0751957336807867,2936.67065920715,0.4538,18.003683185583213
SHORT,M0,5000,-0.21195359314336484,0.7876309664771123,-1059.7679657168242,0.4352,1099.1225371105677
SHORT,M1_1.0,5000,0.5724064075922731,2.0413085058561173,2862.0320379613654,0.45,30.013066328140212
SHORT,M2,5000,1.006143105620075,3.6849363400470936,5030.715528100374,0.5914,10.130770292969828
SHORT,M3A,5000,0.2977948012910453,1.8372602871478014,1488.9740064552266,0.2614,45.01532896871959
SHORT,M4,5000,0.5878905002157765,2.0762151432591627,2939.4525010788825,0.4538,37.51426416544791
