year,N,AvgR,PF,TotalR,WinRate,MaxDD
2017,1604,-0.9365276383388982,0.36194871127228373,-1502.1903318955926,0.39027431421446385,1506.8230660807365
2018,6667,-0.09006819890678694,0.9028566578134778,-600.4846821115485,0.44592770361481926,956.2136099827969
2019,6786,-0.1080479756610527,0.8835162200969634,-733.2135628359036,0.43958149130562924,763.5612530430492
2020,6688,0.2651557977610824,1.372016067555222,1773.361975426119,0.43989234449760767,84.50849866121438
2021,7033,0.27515709111562486,1.382058001115905,1935.1798218161898,0.4549978671974975,50.14260381211693
2022,6978,0.3582978113452253,1.5401440614206237,2500.202127566982,0.44411006018916593,25.80766836359453
2023,6886,0.23426081598775886,1.3185017557452587,1613.1199788917074,0.4455416787685158,148.0707487326713
2024,7032,0.31029113954601945,1.446906931753288,2181.9672932876088,0.4499431171786121,35.13068097456613
2025,7031,0.38987779792021793,1.5988414437827307,2741.2307971770524,0.4500071113639596,35.743182102849005
2026,3413,0.48996738725715033,1.8101075443896357,1672.258692708654,0.4611778493993554,18.230104471918025
