model,cost_mult,N,AvgR,PF,TotalR,WinRate,MaxDD
M0,1.0,2000,-0.9067555592379588,0.3743202326931896,-1813.5111184759176,0.394,1812.7280214422265
M0,1.5,2000,-1.6887583388569383,0.1779556965191863,-3377.5166777138766,0.3135,3373.975365496681
M0,2.0,2000,-2.4707611184759175,0.09397203754244579,-4941.522236951835,0.236,4936.358134387733
M1_1.0,1.0,2000,0.5700156647078236,2.036079097217481,1140.0313294156472,0.4495,15.001814193707988
M1_1.0,1.5,2000,0.5699585809731277,2.0359161739800062,1139.9171619462554,0.4495,15.00272129056198
M1_1.0,2.0,2000,0.5699014972384316,2.0357532693510088,1139.8029944768632,0.4495,15.003628387415976
M2,1.0,2000,0.9912989891213656,3.630392533104145,1982.5979782427312,0.584,10.423328853460703
M2,1.5,2000,0.9912419012564144,3.6300753540798065,1982.4838025128288,0.584,10.42401866921648
M2,2.0,2000,0.9911848133914632,3.629758215015651,1982.3696267829264,0.584,10.424708484972484
