split,delta_vs_m0,model,trades,AvgR,PF,TotalR,MaxDD,WinRate,stop_rate,target_rate,time_exit_rate,median_hold,mfe_capture,avg_giveback
train,0.0,M0,36070,0.09687815417204272,1.1184460739762434,3494.395020985581,2866.9139051904626,0.44280565566953145,0.5512059883559745,0.4479900194067092,0.0008039922373163294,2.0,0.35736607142889626,1.8385298378856396
train,15440.580082348695,M1_1.0,36070,0.5249507929951283,1.9333938691941537,18934.975103334276,21.62798601589384,0.4370113667868034,0.5621014693651234,0.4337953978375381,0.004103132797338508,4.0,0.5059295412123443,1.3196764105767056
train,14020.272757241286,M1_1.25,36070,0.48557437699547734,1.8523038124537985,17514.667778226867,23.47997949910041,0.42858331023010815,0.5689492653174383,0.4178264485722207,0.013224286110341004,7.0,-0.4018247236002906,1.3100098203822292
train,31810.01547800879,M2,36070,0.9787748960076067,3.5674428265210563,35304.41049899437,17.3474880402282,0.5844746326587191,0.3406986415303576,0.5286387579706127,0.13066260049902967,4.0,1.1540918619998595,0.3036893254683561
train,7313.1477925020245,M3A,36070,0.29962691470716957,1.8373696777228368,10807.542813487606,21.503525721745973,0.2630718048239534,0.736872747435542,0.262933185472692,0.00019406709176601053,2.0,-4.114765720926191e-05,1.3218002834423646
train,6847.20722684055,M3B,36070,0.2867092389194935,1.6619604141432158,10341.602247826131,24.005823537640026,0.5668699750485168,0.781563626282229,0.2181868588855004,0.00024951483227058497,2.0,0.252070299326241,1.3883679083149292
train,16997.02882115965,M3C,36070,0.5681015758842591,2.0430418947572644,20491.42384214523,19.50247837684219,0.4490158026060438,0.5584419184918215,0.44128084280565566,0.0002772387025228722,2.0,0.5413426653527995,1.3599733156029008
train,17042.543863238097,M4,36070,0.5693634290053695,2.0326916509946837,20536.938884223677,19.50247837684219,0.4486553922927641,0.551261436096479,0.4481009148877183,0.0006376490158026061,2.0,0.5563002664031128,1.3661829932466374
validation,0.0,M0,12024,0.25741104516023805,1.3567715956923332,3095.1104070067026,150.41375807584404,0.4456919494344644,0.5538922155688623,0.4443612774451098,0.001746506986027944,2.0,0.4703933747411255,1.6323245717085593
validation,3196.1851272028657,M1_1.0,12024,0.5232281715077818,1.9300027994717013,6291.295534209568,26.50216235525022,0.43679308050565535,0.562375249500998,0.43313373253493015,0.004491017964071856,4.0,0.5143914091370441,1.2909420181501294
validation,2440.6926827911325,M1_1.25,12024,0.4603961318860475,1.7997018419927762,5535.803089797835,25.453057913045996,0.42240518962075846,0.5746839654025283,0.41001330671989356,0.015302727877578177,7.0,-0.4166838677533008,1.3066578291688675
validation,8521.103131164664,M2,12024,0.9660856236004131,3.5002074622875163,11616.213538171367,14.595635114765173,0.5825848303393214,0.3488855622089155,0.5276114437791084,0.12350299401197605,4.0,1.180473664069952,0.2913934762647296
validation,678.4749905908639,M3A,12024,0.3138377742512946,1.8911736691897043,3773.5853975975665,29.00812519111514,0.2667165668662675,0.7332834331337326,0.2662175648702595,0.000499001996007984,2.0,-2.5855030391000635e-05,1.2774205943389563
validation,260.3967978372334,M3B,12024,0.2790674654727159,1.6484906747631067,3355.507204843936,24.505863658686167,0.5696107784431138,0.7873419827012641,0.21224218230206254,0.00041583499667332,2.0,0.2513968729033563,1.3513590032255431
validation,3582.384161027016,M3C,12024,0.5553471862968828,2.013902759460085,6677.494568033719,25.837515714898473,0.4461909514304724,0.5632069194943446,0.43637724550898205,0.00041583499667332,2.0,0.5448971983528115,1.3265911255330036
validation,3616.2531040084946,M4,12024,0.5581639646552892,2.0075180417784657,6711.363511015197,28.502841385402462,0.4457751164337991,0.5538922155688623,0.44461077844311375,0.0014970059880239522,2.0,0.5629851229458349,1.3317182573618505
holdout,0.0,M0,12024,0.41516356304382784,1.6480743738905241,4991.926682038986,35.743182102849914,0.4542581503659348,0.5456586826347305,0.4536759813705922,0.0006653359946773121,2.0,0.5100010629246226,1.5182099799345157
holdout,1570.7494158856525,M1_1.0,12024,0.5457980786697137,1.9805728993972604,6562.676097924638,22.001035169433635,0.4429474384564205,0.5563872255489022,0.4397039254823686,0.003908848968729208,4.0,0.47886246731914384,1.301079727513799
holdout,1053.0903297718542,M1_1.25,12024,0.5027459257993047,1.8916681704166833,6045.01701181084,15.571848624992072,0.43454757152361945,0.5630405854956753,0.42057551563539586,0.01638389886892881,7.0,-0.4058594062111598,1.2975223171567034
holdout,6973.427676103001,M2,12024,0.9951226179426137,3.5928107093446964,11965.354358141987,54.740939318364326,0.5917332002661344,0.34713905522288757,0.5372588157019295,0.11560212907518297,4.0,1.1976115177651598,0.28144732835061786
holdout,-893.7951020599303,M3A,12024,0.34082930638548364,1.9717495957763331,4098.1315799790555,21.502547642217223,0.27669660678642716,0.7233033932135728,0.27661343978709246,8.316699933466401e-05,2.0,-1.825303829196704e-05,1.2834655042225278
holdout,-1332.982039836379,M3B,12024,0.3043034466236366,1.7143363423452203,3658.9446422026067,16.501780027862196,0.574018629407851,0.7782767797737857,0.22164005322687957,8.316699933466401e-05,2.0,0.25427635322643016,1.3625684289267666
holdout,2067.1614040216255,M3C,12024,0.5870831741567375,2.0872505674979287,7059.088086060611,19.232208681983593,0.45392548236859614,0.5525615435795076,0.4471889554224884,0.000249500998003992,2.0,0.5467023661771826,1.3395022912922587
holdout,2089.3487572575905,M4,12024,0.5889284297485509,2.078962413201179,7081.275439296576,20.501905651680772,0.4540918163672655,0.5457418496340652,0.45384231536926145,0.00041583499667332,2.0,0.5623546451887302,1.3445541512833745
