timestamp,rtype,publisher_id,instrument_id,open,high,low,close,volume,symbol
2019-04-08 00:00:00+00:00,33,1,736,2897.75,2897.75,2897.25,2897.25,472,ES.v.0
2019-04-08 00:01:00+00:00,33,1,736,2897.25,2897.5,2897.0,2897.0,202,ES.v.0
2019-04-08 00:02:00+00:00,33,1,736,2897.0,2897.0,2896.5,2897.0,386,ES.v.0
2019-04-08 00:03:00+00:00,33,1,736,2896.75,2897.0,2896.25,2896.75,307,ES.v.0
2019-04-08 00:04:00+00:00,33,1,736,2896.75,2897.0,2896.5,2896.75,333,ES.v.0
2019-04-08 00:05:00+00:00,33,1,736,2896.75,2897.0,2896.75,2896.75,183,ES.v.0
2019-04-08 00:06:00+00:00,33,1,736,2896.75,2897.0,2896.5,2896.75,89,ES.v.0
2019-04-08 00:07:00+00:00,33,1,736,2896.75,2896.75,2896.5,2896.75,206,ES.v.0
2019-04-08 00:08:00+00:00,33,1,736,2896.5,2897.0,2896.5,2897.0,422,ES.v.0
2019-04-08 00:09:00+00:00,33,1,736,2897.0,2897.0,2897.0,2897.0,272,ES.v.0
2019-04-08 00:10:00+00:00,33,1,736,2897.0,2897.0,2896.75,2896.75,165,ES.v.0
2019-04-08 00:11:00+00:00,33,1,736,2896.75,2896.75,2896.75,2896.75,64,ES.v.0
2019-04-08 00:12:00+00:00,33,1,736,2896.75,2896.75,2896.5,2896.5,30,ES.v.0
2019-04-08 00:13:00+00:00,33,1,736,2896.5,2896.75,2896.25,2896.5,159,ES.v.0
2019-04-08 00:14:00+00:00,33,1,736,2896.5,2897.0,2896.5,2896.75,67,ES.v.0
2019-04-08 00:15:00+00:00,33,1,736,2897.0,2897.0,2896.75,2897.0,162,ES.v.0
2019-04-08 00:16:00+00:00,33,1,736,2896.75,2897.0,2896.75,2897.0,10,ES.v.0
2019-04-08 00:17:00+00:00,33,1,736,2897.0,2897.0,2896.75,2896.75,12,ES.v.0
2019-04-08 00:18:00+00:00,33,1,736,2896.75,2897.0,2896.5,2896.75,227,ES.v.0
2019-04-08 00:19:00+00:00,33,1,736,2896.75,2896.75,2896.5,2896.5,306,ES.v.0
2019-04-08 00:20:00+00:00,33,1,736,2896.5,2896.75,2896.25,2896.5,82,ES.v.0
2019-04-08 00:21:00+00:00,33,1,736,2896.5,2896.5,2896.25,2896.25,319,ES.v.0
2019-04-08 00:22:00+00:00,33,1,736,2896.25,2896.5,2896.25,2896.25,251,ES.v.0
2019-04-08 00:23:00+00:00,33,1,736,2896.25,2896.75,2896.0,2896.75,263,ES.v.0
2019-04-08 00:24:00+00:00,33,1,736,2896.5,2896.75,2896.5,2896.5,251,ES.v.0
2019-04-08 00:25:00+00:00,33,1,736,2896.5,2896.5,2896.25,2896.5,131,ES.v.0
2019-04-08 00:26:00+00:00,33,1,736,2896.5,2896.75,2896.5,2896.75,172,ES.v.0
2019-04-08 00:27:00+00:00,33,1,736,2896.5,2896.5,2896.25,2896.5,123,ES.v.0
2019-04-08 00:28:00+00:00,33,1,736,2896.75,2896.75,2896.25,2896.5,65,ES.v.0
2019-04-08 00:29:00+00:00,33,1,736,2896.5,2896.5,2896.25,2896.5,30,ES.v.0
2019-04-08 00:30:00+00:00,33,1,736,2896.5,2896.75,2896.5,2896.75,43,ES.v.0
2019-04-08 00:31:00+00:00,33,1,736,2896.5,2896.5,2896.25,2896.25,209,ES.v.0
2019-04-08 00:32:00+00:00,33,1,736,2896.25,2896.5,2896.25,2896.25,50,ES.v.0
2019-04-08 00:33:00+00:00,33,1,736,2896.25,2896.25,2895.75,2895.75,193,ES.v.0
2019-04-08 00:34:00+00:00,33,1,736,2895.75,2896.25,2895.75,2896.25,96,ES.v.0
2019-04-08 00:35:00+00:00,33,1,736,2896.25,2896.5,2896.25,2896.5,38,ES.v.0
2019-04-08 00:36:00+00:00,33,1,736,2896.5,2896.75,2896.5,2896.75,110,ES.v.0
2019-04-08 00:37:00+00:00,33,1,736,2896.5,2896.5,2896.25,2896.25,60,ES.v.0
2019-04-08 00:38:00+00:00,33,1,736,2896.25,2896.25,2896.0,2896.0,56,ES.v.0
2019-04-08 00:39:00+00:00,33,1,736,2896.0,2896.0,2896.0,2896.0,3,ES.v.0
2019-04-08 00:40:00+00:00,33,1,736,2896.25,2896.25,2895.75,2896.0,177,ES.v.0
2019-04-08 00:41:00+00:00,33,1,736,2896.0,2896.0,2896.0,2896.0,16,ES.v.0
2019-04-08 00:42:00+00:00,33,1,736,2896.0,2896.5,2896.0,2896.25,108,ES.v.0
2019-04-08 00:43:00+00:00,33,1,736,2896.0,2896.0,2896.0,2896.0,5,ES.v.0
2019-04-08 00:44:00+00:00,33,1,736,2896.0,2896.25,2896.0,2896.25,16,ES.v.0
2019-04-08 00:45:00+00:00,33,1,736,2896.25,2896.25,2896.0,2896.0,34,ES.v.0
2019-04-08 00:46:00+00:00,33,1,736,2896.0,2896.0,2895.25,2895.5,236,ES.v.0
2019-04-08 00:47:00+00:00,33,1,736,2895.25,2895.25,2894.25,2894.5,670,ES.v.0
2019-04-08 00:48:00+00:00,33,1,736,2894.75,2895.0,2894.5,2894.75,122,ES.v.0
2019-04-08 00:49:00+00:00,33,1,736,2894.75,2894.75,2894.5,2894.5,94,ES.v.0
2019-04-08 00:50:00+00:00,33,1,736,2894.5,2894.5,2893.75,2894.25,397,ES.v.0
2019-04-08 00:51:00+00:00,33,1,736,2894.5,2894.75,2894.25,2894.5,100,ES.v.0
2019-04-08 00:52:00+00:00,33,1,736,2894.75,2894.75,2894.5,2894.5,51,ES.v.0
2019-04-08 00:53:00+00:00,33,1,736,2894.75,2895.0,2894.5,2894.5,158,ES.v.0
2019-04-08 00:54:00+00:00,33,1,736,2894.5,2894.75,2894.5,2894.5,92,ES.v.0
2019-04-08 00:55:00+00:00,33,1,736,2894.75,2895.25,2894.75,2895.0,354,ES.v.0
2019-04-08 00:56:00+00:00,33,1,736,2895.0,2895.0,2895.0,2895.0,79,ES.v.0
2019-04-08 00:57:00+00:00,33,1,736,2895.0,2895.25,2895.0,2895.0,82,ES.v.0
