candidate_id,total_R_positive,profit_factor_over_1_05,avg_R_positive,at_least_200_trades,at_least_half_years_positive,no_year_over_60pct_positive_R,standard_conservative_total_R_positive,positive_years,total_years,largest_positive_year_share,standard_conservative_total_R,primary_pass,MC_probability_at_least_90pct,MC_p05_not_catastrophic,positive_after_removing_top_1pct_winners,MC_probability_terminal_positive,MC_terminal_R_p05,MC_catastrophic_threshold_R,top_1pct_removed_total_R,robust_pass,classification
C1,False,False,False,True,False,False,False,1,3,1.0,-47.99040646712679,False,False,False,False,0.2791,-57.986191613621756,0.0,-19.404166826574162,False,D — OOS FAIL
C2,True,False,True,True,True,False,False,2,3,0.8993652706352244,-44.34000061857045,False,False,False,True,0.5859,-38.33319694407623,-2.9612419130788097,1.9224838261576194,False,D — OOS FAIL
