candidate_id,scenario,slippage_ticks_per_side,round_turn_commission_usd,all_in_cost_usd_per_trade,break_even_all_in_cost_usd_per_trade,N,wins,losses,win_pct,avg_R,total_R,profit_factor,max_drawdown_R,largest_win_R,largest_loss_R,max_consecutive_wins,max_consecutive_losses,flat,expectancy_R,std_trade_R,median_trade_R,sem_R,ci95_low_R,ci95_high_R,longest_drawdown_trades,longest_drawdown_days,recovery_factor
C1,Ideal/current,0.0,0.0,0.0,-13.236159676654298,414,150,263,36.231884057971016,-0.03720813243133855,-15.404166826574162,0.937392868676579,43.25039052702116,2.0,-1.0,7,15,1,-0.03720813243133855,1.2724215708465179,-1.0,0.06253610848643254,-0.15977890506474635,0.08536264020206923,358,965.0763888888889,-0.356162490994162
C1,Modest,1.0,4.5,14.5,-13.236159676654298,414,150,264,36.231884057971016,-0.07796904295480414,-32.279183783288914,0.8742940753302169,52.05238263856829,1.988034034965133,-1.192255638612781,7,15,0,-0.07796904295480414,1.271610621932734,-1.018800825682483,0.06249625252170256,-0.20046169789734114,0.04452361198773287,364,971.2361111111111,-0.6201288422745822
C1,Standard conservative,2.0,8.0,28.0,-13.236159676654298,414,148,266,35.7487922705314,-0.11591885620078934,-47.99040646712679,0.8201742503515703,63.69326355778768,1.9768933088981882,-1.3712522676660597,7,15,0,-0.11591885620078934,1.2711933545204657,-1.0363050426972082,0.06247574494720104,-0.23837131629730338,0.006533603895724688,364,971.2361111111111,-0.7534612576977785
C1,Severe,3.0,10.0,40.0,-13.236159676654298,414,146,268,35.265700483091784,-0.14965202353055398,-61.95593774164935,0.775436070132659,74.04071326376045,1.9669904412831258,-1.5303603823800853,7,15,0,-0.14965202353055398,1.2710961456063867,-1.0518643467102975,0.062470967389718544,-0.27209511961440236,-0.02720892744670564,364,971.2361111111111,-0.8367820218173662
C1,Extreme,4.0,12.0,52.0,-13.236159676654298,414,146,268,35.265700483091784,-0.1833851908603186,-75.9214690161719,0.7335559678735882,84.38816296973322,1.9570875736680635,-1.6894684970941107,7,15,0,-0.1833851908603186,1.2712565990642894,-1.0674236507233865,0.06247885324695354,-0.30584374322434754,-0.06092663849628965,364,971.2361111111111,-0.8996696496806312
C2,Ideal/current,0.0,0.0,0.0,3.299270797383094,469,178,290,37.953091684434966,0.012627897283918166,5.922483826157619,1.0223911795448324,20.732460835176106,2.0,-1.0,5,11,1,0.012627897283918166,1.2697761033691397,-1.0,0.05863281267471138,-0.10229241555851615,0.12754821012635248,356,806.6111111111111,0.2856623665295501
C2,Modest,1.0,4.5,14.5,3.299270797383094,469,176,293,37.52665245202559,-0.0428705815805775,-20.10630276129085,0.9284052874818657,36.18608464862495,1.98745380961463,-1.1850057821750257,5,11,0,-0.0428705815805775,1.2702118439916992,-1.0187189356254245,0.05865293330718313,-0.15783033086265644,0.07208916770150142,356,806.6111111111111,-0.55563631590783
C2,Standard conservative,2.0,8.0,28.0,3.299270797383094,469,172,297,36.67377398720682,-0.09454157914407345,-44.34000061857045,0.8503704096430752,54.78637008994027,1.9757728737385958,-1.357252544889705,5,11,0,-0.09454157914407345,1.2712818461829036,-1.0361469101732332,0.05870234141769329,-0.2095981683227523,0.020515010034605388,416,959.4826388888889,-0.809325395089682
C2,Severe,3.0,10.0,40.0,3.299270797383094,469,170,299,36.24733475479744,-0.1404713547560699,-65.88106538059678,0.7876387392619654,73.72017505274148,1.9653898196265653,-1.5103607784138644,5,11,0,-0.1404713547560699,1.2727694337110282,-1.051638443104619,0.058771031827476825,-0.25566257713792445,-0.025280132374215322,416,959.4826388888889,-0.8936639845668247
C2,Extreme,4.0,12.0,52.0,3.299270797383094,469,168,301,35.82089552238806,-0.1864011303680663,-87.42213014262309,0.7303788357992537,92.65398001554266,1.9550067655145351,-1.6634690119380235,5,12,0,-0.1864011303680663,1.2747601166199232,-1.0675441065489015,0.05886295302349106,-0.3017725182941088,-0.07102974244202383,416,959.4826388888889,-0.9435334577959638
