model,direction,setup_timestamp,bos_timestamp,retest_timestamp,confirm_timestamp,entry_timestamp,exit_timestamp,entry_price,stop_price,target_price,exit_price,result_R,score,htf_regime,session_bucket,exit_reason,direction_name,session_name,score_band,stop_distance_points
C1,Short,2021-01-07 06:00:00-06:00,,,,2021-01-07 06:00:00-06:00,2021-01-07 07:00:00-06:00,12704.5,12724.462461472218,12664.575077055562,12721.75,-0.8641218931846825,75.0,-1,1,TIME,Short,Premarket,75-79,19.96246147221791
C1,Short,2021-01-08 04:35:00-06:00,,,,2021-01-08 04:35:00-06:00,2021-01-08 05:35:00-06:00,12976.0,12987.61282213046,12952.77435573908,12985.5,-0.8180612682495177,75.0,1,1,TIME,Short,Premarket,75-79,11.6128221304607
C1,Short,2021-01-11 05:00:00-06:00,,,,2021-01-11 05:00:00-06:00,2021-01-11 06:00:00-06:00,13045.75,13060.71815691957,13015.813686160856,13041.5,0.2839360933237478,75.0,1,1,TIME,Short,Premarket,75-79,14.968156919570902
C1,Short,2021-01-11 06:05:00-06:00,,,,2021-01-11 06:05:00-06:00,2021-01-11 06:15:00-06:00,13033.5,13046.551233882852,13007.397532234294,13007.397532234294,2.0,90.0,1,1,TARGET,Short,Premarket,90-94,13.051233882852102
C1,Short,2021-01-13 05:25:00-06:00,,,,2021-01-13 05:25:00-06:00,2021-01-13 05:30:00-06:00,12859.5,12873.815980421285,12830.868039157434,12873.815980421285,-1.0,90.0,-1,1,STOP,Short,Premarket,90-94,14.315980421284621
C1,Short,2021-01-13 08:15:00-06:00,,,,2021-01-13 08:15:00-06:00,2021-01-13 08:30:00-06:00,12885.0,12902.6001715419,12849.7996569162,12902.6001715419,-1.0,75.0,-1,1,STOP,Short,Premarket,75-79,17.600171541900636
C1,Short,2021-01-15 04:35:00-06:00,,,,2021-01-15 04:35:00-06:00,2021-01-15 05:00:00-06:00,12882.0,12894.04952875403,12857.90094249194,12857.90094249194,2.0,75.0,-1,1,TARGET,Short,Premarket,75-79,12.049528754030689
C1,Short,2021-01-15 05:05:00-06:00,,,,2021-01-15 05:05:00-06:00,2021-01-15 06:00:00-06:00,12854.25,12868.818174531036,12825.113650937928,12868.818174531036,-1.0,90.0,-1,1,STOP,Short,Premarket,90-94,14.568174531035766
C1,Short,2021-01-15 06:30:00-06:00,,,,2021-01-15 06:30:00-06:00,2021-01-15 07:20:00-06:00,12891.5,12906.243372627669,12862.013254744665,12906.243372627669,-1.0,75.0,-1,1,STOP,Short,Premarket,75-79,14.743372627668577
C1,Short,2021-01-21 04:55:00-06:00,,,,2021-01-21 04:55:00-06:00,2021-01-21 05:55:00-06:00,13348.25,13358.08519508973,13328.57960982054,13350.0,-0.1779324135448267,75.0,1,1,TIME,Short,Premarket,75-79,9.835195089730405
C1,Short,2021-01-21 07:45:00-06:00,,,,2021-01-21 07:45:00-06:00,2021-01-21 07:50:00-06:00,13334.0,13347.393269400603,13307.213461198791,13307.213461198791,2.0,90.0,1,1,TARGET,Short,Premarket,90-94,13.393269400603458
C1,Short,2021-01-21 08:30:00-06:00,,,,2021-01-21 08:30:00-06:00,2021-01-21 08:35:00-06:00,13294.75,13314.979385300454,13254.29122939909,13314.979385300454,-1.0,90.0,1,1,STOP,Short,Premarket,90-94,20.22938530045394
C1,Short,2021-01-26 08:40:00-06:00,,,,2021-01-26 08:40:00-06:00,2021-01-26 08:50:00-06:00,13437.0,13459.501614079698,13391.996771840602,13459.501614079698,-1.0,90.0,1,1,STOP,Short,Premarket,90-94,22.5016140796979
C1,Short,2021-02-02 08:15:00-06:00,,,,2021-02-02 08:15:00-06:00,2021-02-02 08:25:00-06:00,13326.75,13342.184378655827,13295.881242688343,13342.184378655827,-1.0,90.0,1,1,STOP,Short,Premarket,90-94,15.434378655827459
C1,Short,2021-02-04 08:30:00-06:00,,,,2021-02-04 08:30:00-06:00,2021-02-04 08:35:00-06:00,13431.5,13452.015334862092,13390.469330275811,13452.015334862092,-1.0,90.0,1,1,STOP,Short,Premarket,90-94,20.51533486209155
C1,Short,2021-02-05 04:40:00-06:00,,,,2021-02-05 04:40:00-06:00,2021-02-05 05:40:00-06:00,13592.0,13603.3782523585,13569.243495283004,13589.0,0.2636608773894114,75.0,1,1,TIME,Short,Premarket,75-79,11.378252358499594
C1,Short,2021-02-05 07:40:00-06:00,,,,2021-02-05 07:40:00-06:00,2021-02-05 08:30:00-06:00,13594.75,13608.357989661748,13567.534020676509,13567.534020676509,2.0,75.0,1,1,TARGET,Short,Premarket,75-79,13.607989661748434
C1,Short,2021-02-10 09:10:00-06:00,,,,2021-02-10 09:10:00-06:00,2021-02-10 09:20:00-06:00,13699.25,13721.354831221444,13655.040337557111,13655.040337557111,2.0,90.0,1,1,TARGET,Short,Premarket,90-94,22.10483122144433
C1,Short,2021-02-11 08:50:00-06:00,,,,2021-02-11 08:50:00-06:00,2021-02-11 09:05:00-06:00,13685.75,13706.452940160749,13644.3441196785,13706.452940160749,-1.0,90.0,1,1,STOP,Short,Premarket,90-94,20.702940160748767
C1,Short,2021-02-12 07:20:00-06:00,,,,2021-02-12 07:20:00-06:00,2021-02-12 07:55:00-06:00,13699.5,13708.494022610836,13681.511954778323,13681.511954778323,2.0,90.0,1,1,TARGET,Short,Premarket,90-94,8.9940226108356
C1,Short,2021-02-15 07:55:00-06:00,,,,2021-02-15 07:55:00-06:00,2021-02-15 08:20:00-06:00,13841.0,13844.771020736927,13833.457958526144,13844.771020736927,-1.0,75.0,1,1,STOP,Short,Premarket,75-79,3.771020736927312
C1,Short,2021-02-17 07:15:00-06:00,,,,2021-02-17 07:15:00-06:00,2021-02-17 07:30:00-06:00,13719.0,13730.614524227352,13695.770951545295,13695.770951545295,2.0,90.0,-1,1,TARGET,Short,Premarket,90-94,11.614524227352376
C1,Short,2021-02-22 09:20:00-06:00,,,,2021-02-22 09:20:00-06:00,2021-02-22 10:20:00-06:00,13344.0,13385.647966509236,13260.704066981529,13337.0,0.1680754328893263,75.0,-1,1,TIME,Short,Premarket,75-79,41.64796650923563
C1,Short,2021-02-26 04:05:00-06:00,,,,2021-02-26 04:05:00-06:00,2021-02-26 04:15:00-06:00,12811.0,12852.896481112008,12727.207037775985,12852.896481112008,-1.0,90.0,-1,1,STOP,Short,Premarket,90-94,41.89648111200768
C1,Short,2021-02-26 06:25:00-06:00,,,,2021-02-26 06:25:00-06:00,2021-02-26 06:35:00-06:00,12841.25,12888.29269608387,12747.16460783226,12888.29269608387,-1.0,75.0,-1,1,STOP,Short,Premarket,75-79,47.042696083870396
C1,Short,2021-03-01 07:30:00-06:00,,,,2021-03-01 07:30:00-06:00,2021-03-01 07:50:00-06:00,13040.5,13062.545125395216,12996.40974920957,13062.545125395216,-1.0,75.0,1,1,STOP,Short,Premarket,75-79,22.04512539521602
