candidate_id,simulations,observed_N,observed_total_R,terminal_R_p05,terminal_R_p25,terminal_R_median,terminal_R_p75,terminal_R_p95,probability_terminal_positive,max_DD_R_p05,max_DD_R_p25,max_DD_R_median,max_DD_R_p75,max_DD_R_p95,probability_DD_over_10R,probability_DD_over_20R,probability_DD_over_30R,probability_DD_over_40R,probability_DD_over_50R,losing_streak_p05,losing_streak_median,losing_streak_p95
C1,10000,414,-15.404166826574162,-57.986191613621756,-32.44152653972475,-15.44768078475944,2.5826008294104446,29.10665008313287,0.2791,17.511748342493107,26.380239577335928,35.563625210979545,47.7765931651554,68.34532350064632,0.9999,0.9038,0.6536,0.3982,0.2128,8.0,11.0,17.0
C2,10000,469,5.922483826157619,-38.33319694407623,-12.61030806139038,5.689244627464948,24.607889571685945,51.94254204413699,0.5859,14.927712756988832,21.085491916015904,27.81482302714835,37.01948215966737,54.80453008785869,0.999,0.792,0.4298,0.1981,0.0807,8.0,11.0,16.0
