model,N,wins,losses,win_pct,avg_R,total_R,profit_factor,max_drawdown_R,largest_win_R,largest_loss_R,max_consecutive_wins,max_consecutive_losses,flat,expectancy_R,std_trade_R,median_trade_R,sem_R,ci95_low_R,ci95_high_R,longest_drawdown_trades,longest_drawdown_days,recovery_factor,average_trades_per_month,positive_months,total_months,positive_quarters,total_quarters,positive_years,total_years
Control,3325,1366,1952,41.08270676691729,0.004016812904879843,13.355902908725476,1.0076919812410583,111.1036286235987,2.0,-1.0,8,15,7,0.004016812904879843,1.1827116390325354,-0.648769447168617,0.020510821065546476,-0.03618439638359125,0.04421802219335094,2518,820.3229166666666,0.12021122148920209,92.36111111111111,20,36,6,12,1,3
BOS,2283,950,1329,41.61191414805081,0.018376047024813887,41.9525153576501,1.0357224914294905,55.71690374578103,2.0,-1.0,7,18,4,0.018376047024813887,1.183369310849411,-0.5490295235537332,0.024766654544708486,-0.030166595882814742,0.06691868993244252,1371,657.5138888888889,0.7529584836419918,63.416666666666664,20,36,7,12,2,3
C1,414,150,263,36.231884057971016,-0.03720813243133855,-15.404166826574162,0.937392868676579,43.25039052702116,2.0,-1.0,7,15,1,-0.03720813243133855,1.2724215708465179,-1.0,0.06253610848643254,-0.15977890506474635,0.08536264020206923,358,965.0763888888889,-0.356162490994162,11.5,17,36,6,12,1,3
C2,469,178,290,37.953091684434966,0.012627897283918166,5.922483826157619,1.0223911795448324,20.732460835176106,2.0,-1.0,5,11,1,0.012627897283918166,1.2697761033691397,-1.0,0.05863281267471138,-0.10229241555851615,0.12754821012635248,356,806.6111111111111,0.2856623665295501,13.027777777777779,18,36,6,12,2,3
Retest,1269,517,748,40.74074074074074,-0.020309813175785823,-25.77315292007221,0.960678117909358,74.88830679708923,2.0,-1.0,8,9,4,-0.020309813175785823,1.1520987312580289,-0.580098626594205,0.03234140532624161,-0.08369896761521937,0.04307934126364772,966,821.7743055555555,-0.34415456861516286,35.25,16,36,5,12,1,3
Confirm,839,333,501,39.69010727056019,-0.043585728535789875,-36.5684262415277,0.9174386133374536,56.7434382118645,2.0,-1.0,7,14,5,-0.043585728535789875,1.152014720140915,-0.6862367248850622,0.03977196494986141,-0.12153877983751823,0.034367322765938485,723,933.0625,-0.644452070475377,23.305555555555557,14,36,4,12,1,3
