model,month,N,wins,losses,win_pct,avg_R,total_R,profit_factor,max_drawdown_R,largest_win_R,largest_loss_R,max_consecutive_wins,max_consecutive_losses,flat,expectancy_R,std_trade_R,median_trade_R,sem_R,ci95_low_R,ci95_high_R,longest_drawdown_trades,longest_drawdown_days,recovery_factor
Control,2021-01,79,36,43,45.56962025316456,0.033474115542816006,2.6444551278824644,1.066330161428157,7.452634907428939,2.0,-1.0,4,5,0,0.033474115542816006,1.1922876610256612,-0.6700012301352902,0.134142842184336,-0.22944585513848256,0.29639408622411456,58,20.052083333333332,0.3548349222429261
Control,2021-02,77,31,46,40.25974025974026,-0.05677010443955468,-4.37129804184571,0.8941403315507924,10.4570177767887,2.0,-1.0,3,7,0,-0.05677010443955468,1.1649836903523119,-1.0,0.1327622129186258,-0.31698404176006123,0.20344383288095189,60,35.236111111111114,-0.4180253046474322
Control,2021-03,92,40,52,43.47826086956522,0.14652096895631034,13.47992914398055,1.2893563859282873,7.48712387017855,2.0,-1.0,4,4,0,0.14652096895631034,1.2726759889579324,-0.44154431400963057,0.13268564406103572,-0.11354289340331969,0.40658483131594036,25,61.19097222222222,1.8004148692759756
Control,2021-04,96,43,53,44.791666666666664,0.09999918537926876,9.5999217964098,1.203350546907596,6.020257209304489,2.0,-1.0,4,6,0,0.09999918537926876,1.2332640322202262,-0.31143872346521695,0.12586948321111946,-0.14670500171452538,0.3467033724730629,30,101.04166666666667,1.5946032640553682
Control,2021-05,71,31,40,43.66197183098591,0.17167393125787317,12.188849119308994,1.3593773905080577,12.904284161798468,2.0,-1.0,5,6,0,0.17167393125787317,1.2866150140881412,-0.4130125361649936,0.1526931099876632,-0.1276045643179467,0.47095242683369304,39,121.875,0.9445583316734895
Control,2021-06,98,36,62,36.734693877551024,-0.11895840572265108,-11.657923760819806,0.7956086683310292,18.60571021184222,2.0,-1.0,4,8,0,-0.11895840572265108,1.1479652751638207,-1.0,0.11596200437643123,-0.3462439343004563,0.10832712285515413,76,158.19097222222223,-0.6265777349041873
Control,2021-07,104,45,58,43.26923076923077,0.05405283496239494,5.621494836089074,1.110400518341197,7.406304662348931,2.0,-1.0,4,6,1,0.05405283496239494,1.1888978256693519,-0.27077072270324976,0.1165810233222319,-0.17444597074917959,0.2825516406739695,39,182.57638888888889,0.7590147978474059
Control,2021-08,93,41,51,44.086021505376344,0.14335984581162017,13.332465660480677,1.3067593251468632,9.70581166598803,2.0,-1.0,7,5,1,0.14335984581162017,1.238905855952601,-0.1947832582204069,0.12846855269414978,-0.10843851746891339,0.3951582090921537,52,14.243055555555555,1.3736579813516774
Control,2021-09,107,49,58,45.794392523364486,0.05452546258534504,5.834224496631919,1.1096179123859145,10.189366001064396,2.0,-1.0,8,8,0,0.05452546258534504,1.191930276295223,-0.3408085209789706,0.11522824904928716,-0.17132190555125779,0.28037283072194785,75,21.28472222222222,0.5725797361702846
Control,2021-10,92,33,59,35.869565217391305,-0.17728537572938538,-16.310254567103456,0.6992577125722709,17.538627297799426,2.0,-1.0,4,7,0,-0.17728537572938538,1.090094149632011,-1.0,0.11365017143878198,-0.40003971174939806,0.0454689602906273,85,276.0451388888889,-0.9299618658952805
Control,2021-11,98,42,56,42.857142857142854,0.02470186431560317,2.4207827029291105,1.045656931236878,7.380257851969666,2.0,-1.0,5,4,0,0.02470186431560317,1.2354821533693459,-1.0,0.12480254409748893,-0.21991112211547514,0.2693148507466815,56,304.0833333333333,0.3280078760775336
Control,2021-12,110,26,83,23.636363636363637,-0.32902899904305927,-36.19318989473652,0.4814227291402103,36.19318989473651,2.0,-1.0,3,15,1,-0.32902899904305927,1.0119998504618402,-1.0,0.09649039977374983,-0.5181501825996089,-0.1399078154865096,110,364.625,-1.0000000000000002
Control,2022-01,87,31,56,35.632183908045974,-0.11913340451547495,-10.36460619284632,0.7913048769234392,18.89566368152702,2.0,-1.0,8,8,0,-0.11913340451547495,1.1542900019774383,-1.0,0.12375287799579544,-0.361689045387234,0.12342223635628412,73,368.22222222222223,-0.5485177111285632
Control,2022-02,86,31,54,36.04651162790697,-0.09064459220951859,-7.795434930018599,0.8271255801069346,10.147593371779479,2.0,-1.0,4,6,1,-0.09064459220951859,1.0995816366933482,-0.6397558264591918,0.11857093724821943,-0.3230436292160287,0.14175444479699148,84,396.1701388888889,-0.7682052920742521
Control,2022-03,96,47,49,48.958333333333336,0.1516488402926305,14.55828866809253,1.3216064971542525,7.750358603019766,2.0,-1.0,6,6,0,0.1516488402926305,1.2375640367625353,-0.16467145016852214,0.1263083505869656,-0.09591552685782206,0.3992132074430831,44,13.92013888888889,1.878401944191356
Control,2022-04,79,26,53,32.91139240506329,-0.14711620991544896,-11.622180583320468,0.7488159929898285,12.465076932361585,2.0,-1.0,3,6,0,-0.14711620991544896,1.153670718867613,-1.0,0.12979809674505796,-0.40152047953576253,0.10728805970486463,75,455.24305555555554,-0.9323793704912637
Control,2022-05,87,39,47,44.827586206896555,0.197574293207739,17.188963509073293,1.425756285081862,6.25571648584431,2.0,-1.0,8,7,1,0.197574293207739,1.258485908897433,-0.3488849595982754,0.13492385178456728,-0.06687645629001288,0.4620250427054909,31,7.697916666666667,2.7477209921468115
Control,2022-06,79,31,48,39.24050632911393,-0.08041230780883565,-6.352572316898017,0.8439037845435158,9.904468720302066,2.0,-1.0,4,7,0,-0.08041230780883565,1.1047245711070663,-0.648769447168617,0.12429122488082513,-0.3240231085752529,0.1631984929575816,65,516.34375,-0.6413844595093311
Control,2022-07,105,35,69,33.333333333333336,-0.17635609787531895,-18.51739027690849,0.7007972651447324,23.150138089121278,2.0,-1.0,3,13,1,-0.17635609787531895,1.1105454027905761,-1.0,0.10837813395959814,-0.38877724043613127,0.0360650446854934,101,546.0173611111111,-0.7998824977035532
